month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.8882,22139.6917,175894.55,12.59,증가,11
01,hgas,가스 사용량,0.4677,13.9173,310.49,4.48,증가,11
01,elect,전기 사용량,-0.2506,-170510.5714,19927304.0,-0.86,감소,15
01,helect,전기 사용량,0.0138,14.3042,128069.91,0.01,증가,12
01,waterCool,수도 사용량,0.9552,209891.8929,3614699.42,5.81,증가,15
01,hwaterCool,수도 사용량,0.3527,26.451,5424.77,0.49,증가,12
02,gas,가스 사용량,0.6266,20494.2857,215652.86,9.5,증가,11
02,hgas,가스 사용량,0.4395,15.2263,326.03,4.67,증가,11
02,elect,전기 사용량,-0.0725,-40467.1786,15996920.92,-0.25,감소,15
02,helect,전기 사용량,0.2391,267.8322,111222.76,0.24,증가,12
02,waterCool,수도 사용량,0.9548,181808.3571,3537897.5,5.14,증가,15
02,hwaterCool,수도 사용량,0.3666,20.479,5151.12,0.4,증가,12
03,gas,가스 사용량,0.7893,13360.8442,136428.44,9.79,증가,10
03,hgas,가스 사용량,0.554,14.3528,192.19,7.47,증가,10
03,elect,전기 사용량,-0.3951,-230491.978,17849978.57,-1.29,감소,14
03,helect,전기 사용량,-0.5085,-4553.8182,148374.0,-3.07,감소,11
03,waterCool,수도 사용량,0.3986,146372.9451,4421242.29,3.31,증가,14
03,hwaterCool,수도 사용량,-0.3964,-197.1727,7001.86,-2.82,감소,11
04,gas,가스 사용량,0.3591,5739.3715,82733.63,6.94,증가,9
04,hgas,가스 사용량,-0.3404,-8.2619,192.17,-4.3,감소,8
04,elect,전기 사용량,-0.4894,-265465.8022,16803832.0,-1.58,감소,14
04,helect,전기 사용량,-0.5109,-16293.4545,222479.09,-7.32,감소,11
04,waterCool,수도 사용량,0.9268,182836.5495,4043674.57,4.52,증가,14
04,hwaterCool,수도 사용량,0.006,0.4636,5685.41,0.01,증가,11
05,gas,가스 사용량,-0.2576,-2472.6407,75860.26,-3.26,감소,10
05,hgas,가스 사용량,-0.8177,-12.9167,138.22,-9.34,감소,9
05,elect,전기 사용량,-0.5075,-283526.7033,17369034.29,-1.63,감소,14
05,helect,전기 사용량,-0.7683,-864.0727,116189.91,-0.74,감소,11
05,waterCool,수도 사용량,-0.0651,-75161.2308,7128500.86,-1.05,감소,14
05,hwaterCool,수도 사용량,0.3305,19.0,5657.36,0.34,증가,11
06,gas,가스 사용량,-0.0177,-62.3593,21319.74,-0.29,감소,10
06,hgas,가스 사용량,-0.0693,-0.3571,26.43,-1.35,감소,10
06,elect,전기 사용량,-0.3007,-229097.6923,18227372.86,-1.26,감소,14
06,helect,전기 사용량,0.463,714.6182,110363.36,0.65,증가,11
06,waterCool,수도 사용량,0.9114,179207.4505,4274212.29,4.19,증가,14
06,hwaterCool,수도 사용량,0.104,9.2818,5797.59,0.16,증가,11
07,gas,가스 사용량,0.2401,182.2084,9929.58,1.84,증가,9
07,hgas,가스 사용량,-0.1576,-0.2866,13.83,-2.07,감소,9
07,elect,전기 사용량,-0.1359,-185399.0549,24505766.0,-0.76,감소,14
07,helect,전기 사용량,-0.1634,-1154.0909,160355.55,-0.72,감소,11
07,waterCool,수도 사용량,0.9355,193813.9121,4265007.43,4.54,증가,14
07,hwaterCool,수도 사용량,0.2705,15.2364,5873.09,0.26,증가,11
08,gas,가스 사용량,0.465,571.9048,7780.71,7.35,증가,10
08,hgas,가스 사용량,0.3037,0.4221,8.22,5.13,증가,10
08,elect,전기 사용량,0.2306,433902.6154,17659522.29,2.46,증가,14
08,helect,전기 사용량,0.7634,7598.3364,109225.41,6.96,증가,11
08,waterCool,수도 사용량,0.9492,190586.967,4385655.43,4.35,증가,14
08,hwaterCool,수도 사용량,-0.0478,-3.5545,5985.77,-0.06,감소,11
09,gas,가스 사용량,0.3205,233.4177,8708.73,2.68,증가,8
09,hgas,가스 사용량,0.1174,0.0394,9.3,0.42,증가,8
09,elect,전기 사용량,-0.0422,-52580.5357,16945988.42,-0.31,감소,15
09,helect,전기 사용량,-0.2865,-2456.6455,133309.86,-1.84,감소,11
09,waterCool,수도 사용량,0.303,106335.3214,4820770.75,2.21,증가,15
09,hwaterCool,수도 사용량,-0.5103,-276.9455,7645.0,-3.62,감소,11
10,gas,가스 사용량,-0.1371,-270.0216,20238.12,-1.33,감소,10
10,hgas,가스 사용량,0.0523,1.0498,33.33,3.15,증가,10
10,elect,전기 사용량,-0.4008,-387089.6071,19692239.92,-1.97,감소,15
10,helect,전기 사용량,-0.5565,-4768.4273,144399.14,-3.3,감소,11
10,waterCool,수도 사용량,0.3934,136922.0,4579770.67,2.99,증가,15
10,hwaterCool,수도 사용량,-0.4565,-236.7364,7407.41,-3.2,감소,11
11,gas,가스 사용량,0.1286,1473.8333,60292.44,2.44,증가,9
11,hgas,가스 사용량,-0.137,-1899.8833,20334.09,-9.34,감소,9
11,elect,전기 사용량,-0.4184,-212009.9286,17902812.83,-1.18,감소,15
11,helect,전기 사용량,-0.4636,-543.0545,116500.18,-0.47,감소,11
11,waterCool,수도 사용량,0.8837,188374.0714,3872797.5,4.86,증가,15
11,hwaterCool,수도 사용량,0.3003,22.0636,5510.59,0.4,증가,11
12,gas,가스 사용량,0.3113,5311.5,195098.44,2.72,증가,9
12,hgas,가스 사용량,-0.4401,-7.9167,302.33,-2.62,감소,9
12,elect,전기 사용량,-0.4111,-279976.7143,20530089.67,-1.36,감소,15
12,helect,전기 사용량,0.029,21.7909,125407.05,0.02,증가,11
12,waterCool,수도 사용량,0.9694,196431.2857,3644460.33,5.39,증가,15
12,hwaterCool,수도 사용량,0.2293,11.0,5539.45,0.2,증가,11
