month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.0714,29906.5574,18087896.76,0.17,증가,16
01,helect,전기 사용량,0.2642,265.9336,79894.78,0.33,증가,12
01,waterCool,수도 사용량,0.6509,526840.9412,5661464.19,9.31,증가,16
01,hwaterCool,수도 사용량,0.1418,13.5105,10285.36,0.13,증가,12
02,elect,전기 사용량,0.0622,23205.3221,18052316.15,0.13,증가,16
02,helect,전기 사용량,0.146,107.7098,80773.35,0.13,증가,12
03,elect,전기 사용량,0.1808,59577.2107,14001822.06,0.43,증가,15
03,helect,전기 사용량,0.3471,406.4636,69262.32,0.59,증가,11
03,waterCool,수도 사용량,0.9779,320428.1071,6455712.58,4.96,증가,15
03,hwaterCool,수도 사용량,0.3415,40.0455,9892.86,0.4,증가,11
04,elect,전기 사용량,-0.1156,-32850.0286,15015759.47,-0.22,감소,15
04,helect,전기 사용량,0.2597,238.6818,72725.14,0.33,증가,11
05,elect,전기 사용량,-0.066,-19201.9893,13583969.59,-0.14,감소,15
05,helect,전기 사용량,0.1479,114.4364,68822.18,0.17,증가,11
05,waterCool,수도 사용량,0.9712,341886.6742,6791920.9,5.03,증가,14
05,hwaterCool,수도 사용량,0.277,42.3818,10272.82,0.41,증가,11
06,elect,전기 사용량,0.2998,92314.8951,13848905.49,0.67,증가,14
06,helect,전기 사용량,0.4123,401.2091,71112.5,0.56,증가,11
07,elect,전기 사용량,0.5174,299471.9929,14437172.58,2.07,증가,15
07,helect,전기 사용량,0.8147,2109.9182,71037.05,2.97,증가,11
07,waterCool,수도 사용량,0.9562,302098.5714,7394074.0,4.09,증가,15
07,hwaterCool,수도 사용량,0.0963,12.7182,10954.86,0.12,증가,11
08,elect,전기 사용량,0.3633,359489.7893,21513313.47,1.67,증가,15
08,helect,전기 사용량,0.6056,3461.6091,95143.23,3.64,증가,11
09,elect,전기 사용량,0.3661,370757.3393,15013027.89,2.47,증가,15
09,helect,전기 사용량,0.7926,3349.1909,72649.95,4.61,증가,11
09,waterCool,수도 사용량,0.9481,296502.8571,7892429.33,3.76,증가,15
09,hwaterCool,수도 사용량,-0.1002,-13.1818,11563.0,-0.11,감소,11
10,elect,전기 사용량,0.3209,124400.6188,12673174.11,0.98,증가,14
10,helect,전기 사용량,0.7938,1032.3273,66226.53,1.56,증가,10
11,elect,전기 사용량,-0.0604,-19136.1286,14940847.5,-0.13,감소,15
11,helect,전기 사용량,-0.0447,-31.0273,72199.32,-0.04,감소,11
11,waterCool,수도 사용량,0.9743,337471.0,7110655.67,4.75,증가,15
11,hwaterCool,수도 사용량,0.0028,0.4091,10792.05,0.0,증가,11
12,elect,전기 사용량,0.0466,13451.5706,15965162.97,0.08,증가,16
12,helect,전기 사용량,0.3162,248.4545,74278.64,0.33,증가,11
