month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.8985,38807.4864,62198.61,62.39,증가,15
01,elect,전기 사용량,-0.1192,-114282.7353,39476023.01,-0.29,감소,16
01,helect,전기 사용량,-0.3454,-1804.0315,220286.26,-0.82,감소,12
01,waterCool,수도 사용량,-0.0074,-554.252,642970.17,-0.09,감소,13
02,gas,가스 사용량,0.2413,7249.3996,306712.83,2.36,증가,14
02,elect,전기 사용량,0.2477,197109.9774,35398073.51,0.56,증가,15
02,helect,전기 사용량,0.2775,374.3322,202297.09,0.19,증가,12
02,waterCool,수도 사용량,-0.0074,-554.0157,642967.51,-0.09,감소,13
03,gas,가스 사용량,-0.6798,-24232.8022,416130.66,-5.82,감소,13
03,elect,전기 사용량,-0.0169,-13811.7396,29465907.92,-0.05,감소,14
03,helect,전기 사용량,-0.1783,-326.4,177638.36,-0.18,감소,11
03,waterCool,수도 사용량,-0.1045,-9948.8428,876028.92,-1.14,감소,12
04,gas,가스 사용량,-0.5682,-18590.5357,243225.54,-7.64,감소,13
04,elect,전기 사용량,-0.2257,-164687.6864,33065566.38,-0.5,감소,14
04,helect,전기 사용량,0.0081,8.6636,186190.32,0.0,증가,11
04,waterCool,수도 사용량,-0.121,-12926.0265,812638.86,-1.59,감소,12
05,gas,가스 사용량,-0.2389,-1653.6598,23623.12,-7.0,감소,12
05,elect,전기 사용량,-0.0387,-25935.8929,29014592.58,-0.09,감소,15
05,helect,전기 사용량,-0.451,-578.4273,177990.5,-0.32,감소,11
05,waterCool,수도 사용량,-0.2919,-25964.3076,771530.63,-3.37,감소,12
06,gas,가스 사용량,0.859,24.8714,894.3,2.78,증가,13
06,elect,전기 사용량,-0.023,-18806.65,32450588.08,-0.06,감소,15
06,helect,전기 사용량,0.2206,639.2545,185634.64,0.34,증가,11
06,waterCool,수도 사용량,-0.2919,-25963.624,771529.23,-3.37,감소,12
07,gas,가스 사용량,0.9055,29.4381,879.06,3.35,증가,13
07,elect,전기 사용량,0.1698,195230.925,34535704.59,0.57,증가,15
07,helect,전기 사용량,0.6924,6193.4455,196244.32,3.16,증가,11
07,waterCool,수도 사용량,0.3175,23725.2836,399834.08,5.93,증가,12
08,gas,가스 사용량,-0.1653,-54.1246,1875.83,-2.89,감소,12
08,elect,전기 사용량,0.2484,595613.5857,43281315.83,1.38,증가,15
08,helect,전기 사용량,0.7657,11417.2757,229548.34,4.97,증가,10
08,waterCool,수도 사용량,0.2028,16100.4615,384379.14,4.19,증가,14
09,gas,가스 사용량,0.9229,33.3581,872.8,3.82,증가,9
09,elect,전기 사용량,0.3327,542064.1071,29533642.58,1.84,증가,15
09,helect,전기 사용량,0.7823,7374.7882,170736.52,4.32,증가,10
09,waterCool,수도 사용량,0.0124,1844.3478,624634.78,0.3,증가,12
10,gas,가스 사용량,0.272,208.7619,792.3,26.35,증가,11
10,elect,전기 사용량,0.113,79028.1978,28477043.14,0.28,증가,14
10,helect,전기 사용량,0.2468,885.3091,174366.82,0.51,증가,11
10,waterCool,수도 사용량,0.0124,1844.585,624633.04,0.3,증가,12
11,gas,가스 사용량,0.2697,1041.9013,1406.04,74.1,증가,11
11,elect,전기 사용량,-0.2401,-169203.4286,34094946.0,-0.5,감소,15
11,helect,전기 사용량,0.2624,1094.9909,185882.68,0.59,증가,11
11,waterCool,수도 사용량,-0.0876,-4856.836,564306.81,-0.86,감소,12
12,gas,가스 사용량,0.7953,30871.7262,-36363.92,-84.9,증가,13
12,elect,전기 사용량,0.0549,41621.3214,34387396.08,0.12,증가,15
12,helect,전기 사용량,-0.2786,-539.9697,197410.76,-0.27,감소,10
12,waterCool,수도 사용량,-0.0876,-4856.7344,564305.39,-0.86,감소,12
