month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,-0.6272,-16644.6512,532682.09,-3.12,감소,5
01,elect,전기 사용량,-0.4615,-306675.7179,10190005.36,-3.01,감소,15
01,helect,전기 사용량,-0.5217,-480300.3697,3112309.76,-15.43,감소,10
01,waterCool,수도 사용량,0.0992,21057.6893,2144897.38,0.98,증가,15
01,hwaterCool,수도 사용량,-0.4802,-286714.0,1618361.43,-17.72,감소,7
02,gas,가스 사용량,-0.6837,-19042.2093,527821.74,-3.61,감소,5
02,elect,전기 사용량,-0.3989,-207619.4429,8027041.43,-2.59,감소,15
02,helect,전기 사용량,-0.5224,-428150.4061,2773295.53,-15.44,감소,10
02,waterCool,수도 사용량,0.1155,19600.0714,2534651.5,0.77,증가,15
02,hwaterCool,수도 사용량,-0.5828,-325064.6604,1357670.58,-23.94,감소,5
03,gas,가스 사용량,-0.6717,-11130.5814,378341.51,-2.94,감소,5
03,elect,전기 사용량,-0.5026,-306893.3363,8822080.11,-3.48,감소,14
03,helect,전기 사용량,-0.5462,-521547.0833,3019209.33,-17.27,감소,9
03,waterCool,수도 사용량,0.1511,26779.244,2272589.77,1.18,증가,14
03,hwaterCool,수도 사용량,-0.7747,-680506.8,1591259.7,-42.77,감소,4
04,gas,가스 사용량,-0.0546,-1363.7143,275800.95,-0.49,감소,6
04,elect,전기 사용량,-0.7963,-322529.589,8836022.97,-3.65,감소,14
04,helect,전기 사용량,0.484,797.7,52884.42,1.51,증가,9
04,waterCool,수도 사용량,0.1822,9597.4066,2988619.71,0.32,증가,14
04,hwaterCool,수도 사용량,-0.4733,-85.4,3648.6,-2.34,감소,4
05,gas,가스 사용량,0.3421,5457.7143,132642.38,4.11,증가,6
05,elect,전기 사용량,-0.5598,-332072.2703,8614422.69,-3.85,감소,14
05,helect,전기 사용량,-0.4125,-324189.0595,1874469.08,-17.29,감소,8
05,waterCool,수도 사용량,0.0061,1114.5824,2561612.0,0.04,증가,14
05,hwaterCool,수도 사용량,-0.3311,-151013.0479,946974.92,-15.95,감소,5
06,gas,가스 사용량,0.8059,6029.7143,33365.71,18.07,증가,6
06,elect,전기 사용량,-0.704,-277814.8749,8756494.4,-3.17,감소,13
06,helect,전기 사용량,0.4161,1065.7381,58255.17,1.83,증가,8
06,waterCool,수도 사용량,-0.0886,-19032.1497,3132253.45,-0.61,감소,13
06,hwaterCool,수도 사용량,-0.0001,-150.5,988698.83,-0.02,감소,3
07,gas,가스 사용량,0.7024,8237.1429,6380.48,129.1,증가,6
07,elect,전기 사용량,-0.6939,-305152.1626,10669239.34,-2.86,감소,14
07,helect,전기 사용량,0.6141,3121.4643,64255.25,4.86,증가,8
07,waterCool,수도 사용량,-0.0266,-761.6044,2942519.71,-0.03,감소,14
07,hwaterCool,수도 사용량,-0.7691,-66.0,3706.67,-1.78,감소,3
08,gas,가스 사용량,0.6037,2740.5714,10601.9,25.85,증가,6
08,elect,전기 사용량,-0.3767,-269568.7319,9057797.4,-2.98,감소,14
08,helect,전기 사용량,-0.4089,-247112.8929,1461746.0,-16.91,감소,8
08,waterCool,수도 사용량,0.2333,66696.6462,2543431.37,2.62,증가,14
08,hwaterCool,수도 사용량,-0.0,-57.5,1124986.5,-0.01,감소,3
09,gas,가스 사용량,0.3889,1809.0,15214.0,11.89,증가,5
09,elect,전기 사용량,-0.5382,-232573.7679,8264299.31,-2.81,감소,15
09,helect,전기 사용량,0.2732,503.9333,59409.71,0.85,증가,9
09,waterCool,수도 사용량,0.0358,6320.1786,2748578.62,0.23,증가,15
09,hwaterCool,수도 사용량,-0.0001,-145.0,927998.33,-0.02,감소,3
10,gas,가스 사용량,0.7858,12322.0,25212.0,48.87,증가,5
10,elect,전기 사용량,-0.7715,-290358.3571,8960843.9,-3.24,감소,15
10,helect,전기 사용량,-0.3094,-835.3667,65799.47,-1.27,감소,9
10,waterCool,수도 사용량,0.0515,2410.1786,2996561.42,0.08,증가,15
10,hwaterCool,수도 사용량,-0.8584,-401.0,4194.67,-9.56,감소,3
11,gas,가스 사용량,0.846,21361.0,118890.0,17.97,증가,5
11,elect,전기 사용량,-0.7604,-277399.2036,9043526.62,-3.07,감소,15
11,helect,전기 사용량,0.2677,570.4667,63173.47,0.9,증가,9
11,waterCool,수도 사용량,0.4477,20611.5357,2538195.92,0.81,증가,15
11,hwaterCool,수도 사용량,0.6131,83.8857,3135.2,2.68,증가,4
12,gas,가스 사용량,-0.505,-21525.0,407586.0,-5.28,감소,5
12,elect,전기 사용량,-0.5389,-349528.1571,10186932.43,-3.43,감소,15
12,helect,전기 사용량,-0.2897,-191756.7455,1566801.45,-12.24,감소,10
12,waterCool,수도 사용량,0.1076,18396.1786,2553321.22,0.72,증가,15
12,hwaterCool,수도 사용량,-0.0001,-59.5,546415.8,-0.01,감소,5
