month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.2498,201658.7857,10631835.17,1.9,증가,15
01,helect,전기 사용량,0.2014,868.6623,47394.07,1.83,증가,8
01,waterCool,수도 사용량,-0.6112,-585555.0,5450072.0,-10.74,감소,5
01,hwaterCool,수도 사용량,-0.9045,-94.7,3423.4,-2.77,감소,5
02,gas,가스 사용량,-1.0,-163120.0,289820.0,-56.28,감소,2
02,elect,전기 사용량,0.2324,191014.5055,10660785.71,1.79,증가,14
02,helect,전기 사용량,0.198,1032.1153,46765.24,2.21,증가,6
02,waterCool,수도 사용량,0.1503,99876.1758,4921570.57,2.03,증가,14
02,hwaterCool,수도 사용량,-0.8712,-463.2871,7562.82,-6.13,감소,6
03,gas,가스 사용량,-1.0,-105910.0,197740.0,-53.56,감소,2
03,elect,전기 사용량,0.3133,234358.8791,8293579.43,2.83,증가,14
03,helect,전기 사용량,0.2194,1009.0965,40293.67,2.5,증가,6
03,waterCool,수도 사용량,-0.7713,-935694.0,5941541.0,-15.75,감소,4
03,hwaterCool,수도 사용량,-0.9318,-141.5,3475.17,-4.07,감소,3
04,gas,가스 사용량,-1.0,-44190.0,106010.0,-41.68,감소,2
04,elect,전기 사용량,0.2834,211690.2198,8896787.14,2.38,증가,14
04,helect,전기 사용량,0.1506,652.8585,43344.97,1.51,증가,7
04,waterCool,수도 사용량,-0.1632,-114620.3956,6994575.43,-1.64,감소,14
04,hwaterCool,수도 사용량,-0.9567,-1177.5947,13353.63,-8.82,감소,6
05,elect,전기 사용량,0.1466,105884.2747,8896156.86,1.19,증가,14
05,helect,전기 사용량,-0.1211,-668.0031,51693.73,-1.29,감소,7
05,waterCool,수도 사용량,-0.681,-828100.0,5986585.0,-13.83,감소,4
05,hwaterCool,수도 사용량,-0.7262,-89.1,3458.9,-2.58,감소,4
06,elect,전기 사용량,0.1647,92888.3736,10137637.71,0.92,증가,14
06,helect,전기 사용량,-0.8118,-3197.4211,80013.47,-4.0,감소,6
06,waterCool,수도 사용량,-0.0329,-20349.3846,6350433.14,-0.32,감소,14
06,hwaterCool,수도 사용량,-0.7213,-861.1,5778.6,-14.9,감소,5
07,elect,전기 사용량,0.316,175775.7363,10616336.29,1.66,증가,14
07,helect,전기 사용량,0.0234,93.6579,72445.95,0.13,증가,6
07,waterCool,수도 사용량,-0.7413,-957885.0,6279900.0,-15.25,감소,4
07,hwaterCool,수도 사용량,-0.7902,-105.0,3653.0,-2.87,감소,4
08,elect,전기 사용량,0.3719,526109.2967,12921603.14,4.07,증가,14
08,helect,전기 사용량,0.8988,7541.5158,17240.89,43.74,증가,6
08,waterCool,수도 사용량,-0.0494,-32176.8571,6901228.86,-0.47,감소,14
08,hwaterCool,수도 사용량,-0.7443,-845.2,5975.8,-14.14,감소,5
09,elect,전기 사용량,0.3643,465474.3736,8238488.0,5.65,증가,14
09,helect,전기 사용량,0.8313,6032.7421,15155.55,39.81,증가,6
09,waterCool,수도 사용량,0.9604,160079.0,3781714.0,4.23,증가,4
09,hwaterCool,수도 사용량,-0.7886,-93.0,3704.5,-2.51,감소,4
10,elect,전기 사용량,0.3249,209948.5934,7684893.43,2.73,증가,14
10,helect,전기 사용량,0.946,4366.9421,14242.55,30.66,증가,6
10,waterCool,수도 사용량,-0.1199,-82250.7473,6980129.14,-1.18,감소,14
10,hwaterCool,수도 사용량,-0.7195,-899.2,6096.0,-14.75,감소,5
11,elect,전기 사용량,0.2416,157426.9107,8841330.76,1.78,증가,15
11,helect,전기 사용량,0.8475,3809.2891,19534.14,19.5,증가,7
11,waterCool,수도 사용량,0.9117,112409.0,3509554.0,3.2,증가,4
11,hwaterCool,수도 사용량,-0.8365,-102.0,3471.0,-2.94,감소,4
12,elect,전기 사용량,0.1992,142668.1429,9807498.33,1.45,증가,15
12,helect,전기 사용량,0.8185,3905.6552,21476.57,18.19,증가,6
12,waterCool,수도 사용량,0.0192,14377.25,6419269.25,0.22,증가,15
12,hwaterCool,수도 사용량,-0.8111,-546.7241,8693.51,-6.29,감소,6
