month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.2463,-315057.1685,25320663.39,-1.24,감소,15
01,helect,전기 사용량,-0.3674,-6458.8671,183321.94,-3.52,감소,12
01,waterCool,수도 사용량,0.1745,76367.3397,9211171.59,0.83,증가,15
01,hwaterCool,수도 사용량,-0.4814,-562.2063,12922.22,-4.35,감소,12
02,elect,전기 사용량,-0.1752,-254970.1721,23239186.48,-1.1,감소,16
02,helect,전기 사용량,-0.0751,-754.4161,124519.04,-0.61,감소,12
02,waterCool,수도 사용량,0.0767,30567.1471,9002240.15,0.34,증가,16
02,hwaterCool,수도 사용량,-0.2096,-86.6608,8930.38,-0.97,감소,12
03,elect,전기 사용량,-0.2371,-150093.4821,19322514.11,-0.78,감소,15
03,helect,전기 사용량,-0.233,-707.7273,123403.09,-0.57,감소,11
03,waterCool,수도 사용량,0.4254,174788.0714,8043306.17,2.17,증가,15
03,hwaterCool,수도 사용량,-0.076,-54.2455,9364.5,-0.58,감소,11
04,elect,전기 사용량,-0.373,-468633.7321,21508471.92,-2.18,감소,15
04,helect,전기 사용량,-0.1864,-1811.6636,120071.5,-1.51,감소,11
04,waterCool,수도 사용량,0.0542,31204.8214,8139003.58,0.38,증가,15
04,hwaterCool,수도 사용량,-0.2442,-235.2,9851.82,-2.39,감소,11
05,elect,전기 사용량,-0.5927,-739867.4964,20898893.01,-3.54,감소,15
05,helect,전기 사용량,-0.1959,-2239.9152,118200.22,-1.9,감소,10
05,waterCool,수도 사용량,-0.3056,-223757.5,8895855.17,-2.52,감소,15
05,hwaterCool,수도 사용량,-0.1501,-161.1758,8611.89,-1.87,감소,10
06,elect,전기 사용량,-0.2906,-347973.7,21083869.9,-1.65,감소,15
06,helect,전기 사용량,-0.0836,-837.3091,118818.82,-0.7,감소,11
06,waterCool,수도 사용량,-0.1352,-81507.3214,9010023.25,-0.9,감소,15
06,hwaterCool,수도 사용량,-0.2185,-198.9545,9242.59,-2.15,감소,11
07,elect,전기 사용량,0.1817,107917.5714,21417538.93,0.5,증가,15
07,helect,전기 사용량,0.1818,1166.6382,148209.25,0.79,증가,10
07,waterCool,수도 사용량,0.4648,98391.5,8513333.5,1.16,증가,15
07,hwaterCool,수도 사용량,-0.4534,-62.1047,9310.93,-0.67,감소,10
08,elect,전기 사용량,-0.4253,-7595227.1357,100862986.68,-7.53,감소,15
08,helect,전기 사용량,0.3717,6412.7466,127744.89,5.02,증가,10
08,waterCool,수도 사용량,0.0089,4742.1071,8654560.58,0.05,증가,15
08,hwaterCool,수도 사용량,-0.1029,-78.2241,8782.54,-0.89,감소,10
09,elect,전기 사용량,-0.0597,-91994.1036,20228846.99,-0.45,감소,15
09,helect,전기 사용량,0.248,3278.9327,105202.03,3.12,증가,9
09,waterCool,수도 사용량,0.0558,29209.3214,8251124.75,0.35,증가,15
09,hwaterCool,수도 사용량,-0.0649,-51.609,8508.36,-0.61,감소,9
10,elect,전기 사용량,-0.0451,-20812.2321,17851524.42,-0.12,감소,15
10,helect,전기 사용량,-0.0499,-179.2818,117549.41,-0.15,감소,11
10,waterCool,수도 사용량,0.5154,117203.6071,7855818.75,1.49,증가,15
10,hwaterCool,수도 사용량,-0.596,-58.5364,8824.86,-0.66,감소,11
11,elect,전기 사용량,-0.243,-274962.95,21373395.32,-1.29,감소,15
11,helect,전기 사용량,-0.0156,-160.0724,116931.17,-0.14,감소,9
11,waterCool,수도 사용량,0.1705,86486.7357,7785450.32,1.11,증가,15
11,hwaterCool,수도 사용량,0.0055,3.707,7935.04,0.05,증가,9
12,elect,전기 사용량,-0.4385,-690168.3321,23736971.26,-2.91,감소,15
12,helect,전기 사용량,0.418,36708.2233,41481.07,88.49,증가,7
12,waterCool,수도 사용량,-0.1909,-97625.4286,8465116.0,-1.15,감소,15
12,hwaterCool,수도 사용량,0.4162,51324.955,-95198.47,-53.91,증가,7
