month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.5864,-346432.0857,16460780.6,-2.1,감소,15
01,helect,전기 사용량,-0.4137,-891.4021,86634.29,-1.03,감소,12
02,elect,전기 사용량,0.08,61294.6882,12200610.71,0.5,증가,16
02,helect,전기 사용량,-0.5274,-414.4021,85370.96,-0.49,감소,12
03,elect,전기 사용량,0.207,129472.3214,8619813.02,1.5,증가,15
03,helect,전기 사용량,0.2435,343.4273,68523.05,0.5,증가,11
04,elect,전기 사용량,0.0671,43885.2679,9904375.93,0.44,증가,15
04,helect,전기 사용량,-0.7095,-607.7091,76564.36,-0.79,감소,11
05,elect,전기 사용량,0.1342,75824.8036,8566286.98,0.89,증가,15
05,helect,전기 사용량,-0.7289,-687.3,71404.59,-0.96,감소,11
06,elect,전기 사용량,0.1534,94626.2893,9058703.44,1.04,증가,15
06,helect,전기 사용량,-0.3659,-357.3727,73265.59,-0.49,감소,11
07,elect,전기 사용량,-0.0267,-24046.8643,10493379.38,-0.23,감소,15
07,helect,전기 사용량,-0.2583,-1737.2818,84533.77,-2.06,감소,11
08,elect,전기 사용량,0.3805,492664.5357,12935281.85,3.81,증가,15
08,helect,전기 사용량,0.5385,2356.8545,92658.09,2.54,증가,11
09,elect,전기 사용량,-0.1293,-90276.1929,12303146.22,-0.73,감소,15
09,helect,전기 사용량,0.4614,1102.5636,70770.82,1.56,증가,11
10,elect,전기 사용량,-0.644,-226930.1929,11570751.28,-1.96,감소,15
10,helect,전기 사용량,-0.8541,-871.8273,71929.68,-1.21,감소,11
11,elect,전기 사용량,-0.6589,-274682.5036,13165598.39,-2.09,감소,15
11,helect,전기 사용량,-0.6392,-703.7909,77551.59,-0.91,감소,11
12,elect,전기 사용량,-0.5784,-267435.0,13927784.87,-1.92,감소,15
12,helect,전기 사용량,-0.3537,-318.4091,79854.23,-0.4,감소,11
