month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6586,-315216.4118,15607644.34,-2.02,감소,16
01,helect,전기 사용량,-0.4646,-554.9173,74478.88,-0.75,감소,11
01,waterCool,수도 사용량,0.7346,81591.6029,3485773.6,2.34,증가,16
01,hwaterCool,수도 사용량,-0.469,-46.2616,4150.07,-1.11,감소,11
02,elect,전기 사용량,-0.6139,-242305.7143,14291492.0,-1.7,감소,15
02,helect,전기 사용량,-0.709,-739.5492,75526.36,-0.98,감소,10
02,waterCool,수도 사용량,0.6759,86334.9286,3337679.5,2.59,증가,15
02,hwaterCool,수도 사용량,-0.3852,-39.2083,4057.08,-0.97,감소,10
03,elect,전기 사용량,-0.4115,-130383.956,10743575.71,-1.21,감소,14
03,helect,전기 사용량,-0.5663,-504.9575,63938.76,-0.79,감소,9
03,waterCool,수도 사용량,0.6964,66295.8901,3711184.57,1.79,증가,14
03,hwaterCool,수도 사용량,-0.6361,-45.9646,4180.14,-1.1,감소,9
04,elect,전기 사용량,-0.4974,-137944.6593,11255468.86,-1.23,감소,14
04,helect,전기 사용량,-0.7818,-824.7111,68077.95,-1.21,감소,9
04,waterCool,수도 사용량,0.8091,99103.4725,3461271.71,2.86,증가,14
04,hwaterCool,수도 사용량,-0.4216,-37.1238,4257.02,-0.87,감소,9
05,elect,전기 사용량,-0.4261,-116945.2527,10049992.0,-1.16,감소,14
05,helect,전기 사용량,-0.68,-789.9001,63008.47,-1.25,감소,10
05,waterCool,수도 사용량,0.5341,39221.7802,3962330.57,0.99,증가,14
05,hwaterCool,수도 사용량,-0.8711,-78.2977,4450.18,-1.76,감소,10
06,elect,전기 사용량,-0.169,-54625.9341,10313917.14,-0.53,감소,14
06,helect,전기 사용량,0.1549,141.7455,62987.0,0.23,증가,11
06,waterCool,수도 사용량,0.7838,83274.5275,3822183.43,2.18,증가,14
06,hwaterCool,수도 사용량,-0.6607,-52.1818,4583.82,-1.14,감소,11
07,elect,전기 사용량,0.2716,127531.2088,10546900.0,1.21,증가,14
07,helect,전기 사용량,0.2764,860.1727,73034.59,1.18,증가,11
07,waterCool,수도 사용량,0.5783,67429.7363,4127227.43,1.63,증가,14
07,hwaterCool,수도 사용량,-0.6376,-82.3182,4895.68,-1.68,감소,11
08,elect,전기 사용량,0.2652,222416.6357,14413752.35,1.54,증가,15
08,helect,전기 사용량,0.7581,3455.8785,75713.37,4.56,증가,9
08,waterCool,수도 사용량,0.611,45098.3571,4199149.5,1.07,증가,15
08,hwaterCool,수도 사용량,-0.6124,-74.0922,4789.87,-1.55,감소,9
09,elect,전기 사용량,0.1355,67032.1786,9909928.08,0.68,증가,15
09,helect,전기 사용량,0.6545,1263.6,59450.64,2.13,증가,11
09,waterCool,수도 사용량,0.6434,72724.2857,3664552.0,1.98,증가,15
09,hwaterCool,수도 사용량,-0.6535,-69.4091,4523.86,-1.53,감소,11
10,elect,전기 사용량,-0.318,-91068.1758,9958058.86,-0.91,감소,14
10,helect,전기 사용량,-0.4657,-481.6818,62318.5,-0.77,감소,11
10,waterCool,수도 사용량,0.2578,22017.8022,4187844.29,0.53,증가,14
10,hwaterCool,수도 사용량,-0.8348,-115.3091,4815.27,-2.39,감소,11
11,elect,전기 사용량,-0.5605,-183337.8214,12159040.08,-1.51,감소,15
11,helect,전기 사용량,-0.8133,-591.034,66706.98,-0.89,감소,10
11,waterCool,수도 사용량,0.8031,86692.6786,3406579.25,2.54,증가,15
11,hwaterCool,수도 사용량,-0.4388,-34.8182,4191.64,-0.83,감소,10
12,elect,전기 사용량,-0.53,-169403.5882,13086995.66,-1.29,감소,16
12,helect,전기 사용량,-0.4873,-371.9273,71924.45,-0.52,감소,11
12,waterCool,수도 사용량,0.8046,75762.3235,3557133.82,2.13,증가,16
12,hwaterCool,수도 사용량,-0.5241,-53.5455,4322.18,-1.24,감소,11
