month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,waterHot,급탕 사용량,0.0316,26073.1319,9154208.13,0.28,증가,13
01,elect,전기 사용량,0.0313,73069.6879,50994779.31,0.14,증가,14
01,helect,전기 사용량,0.6352,8088.0385,207071.87,3.91,증가,12
01,waterCool,수도 사용량,0.8951,661473.011,4863305.43,13.6,증가,14
01,hwaterCool,수도 사용량,0.7852,341.6818,7079.17,4.83,증가,12
02,waterHot,급탕 사용량,0.1875,122506.8571,7802216.63,1.57,증가,13
02,elect,전기 사용량,-0.2248,-485999.5033,48706050.2,-1.0,감소,14
02,helect,전기 사용량,0.4816,4713.528,204214.51,2.31,증가,12
02,waterCool,수도 사용량,0.9743,836146.6374,3238654.0,25.82,증가,14
02,hwaterCool,수도 사용량,0.7922,347.3531,6934.47,5.01,증가,12
03,waterHot,급탕 사용량,0.0003,162.8322,6390095.26,0.0,증가,12
03,elect,전기 사용량,0.7223,1378993.6154,31803068.92,4.34,증가,13
03,helect,전기 사용량,0.6631,9346.8636,180424.32,5.18,증가,11
03,waterCool,수도 사용량,0.9343,667399.8352,3995576.37,16.7,증가,13
03,hwaterCool,수도 사용량,0.6893,321.4909,6642.73,4.84,증가,11
04,waterHot,급탕 사용량,-0.3096,-133993.6364,5351261.67,-2.5,감소,12
04,elect,전기 사용량,0.4465,735374.5165,33351990.36,2.2,증가,13
04,helect,전기 사용량,0.388,7013.2,190949.18,3.67,증가,11
04,waterCool,수도 사용량,0.9547,742070.5495,3875889.01,19.15,증가,13
04,hwaterCool,수도 사용량,0.7196,323.6545,7162.55,4.52,증가,11
05,waterHot,급탕 사용량,-0.3256,-123877.8322,4389816.41,-2.82,감소,12
05,elect,전기 사용량,0.7435,1611803.9615,28724291.77,5.61,증가,13
05,helect,전기 사용량,0.6767,9336.7364,174747.41,5.34,증가,11
05,waterCool,수도 사용량,0.9714,760812.4725,4072281.32,18.68,증가,13
05,hwaterCool,수도 사용량,0.7998,377.3818,7070.55,5.34,증가,11
06,waterHot,급탕 사용량,0.6516,197463.4965,2739560.77,7.21,증가,12
06,elect,전기 사용량,0.7979,2331202.2033,34094334.09,6.84,증가,13
06,helect,전기 사용량,0.8114,13781.7455,187697.64,7.34,증가,11
06,waterCool,수도 사용량,0.9759,827369.3407,4383370.11,18.88,증가,13
06,hwaterCool,수도 사용량,0.8429,369.2364,7663.36,4.82,증가,11
07,waterHot,급탕 사용량,0.728,295977.2727,2431276.67,12.17,증가,12
07,elect,전기 사용량,0.641,4033585.8791,44553950.65,9.05,증가,13
07,helect,전기 사용량,0.7291,23418.9182,225788.05,10.37,증가,11
07,waterCool,수도 사용량,0.9736,822040.0,4293943.85,19.14,증가,13
07,hwaterCool,수도 사용량,0.7877,362.0545,7496.55,4.83,증가,11
08,waterHot,급탕 사용량,0.699,301125.0,2370075.0,12.71,증가,12
08,elect,전기 사용량,0.4343,2512826.6264,64929331.55,3.87,증가,13
08,helect,전기 사용량,0.8381,22741.2909,245498.0,9.26,증가,11
08,waterCool,수도 사용량,0.9865,826336.2637,4476497.03,18.46,증가,13
08,hwaterCool,수도 사용량,0.7436,312.2909,8055.18,3.88,증가,11
09,waterHot,급탕 사용량,0.6756,185684.1958,1848566.92,10.04,증가,12
09,elect,전기 사용량,0.6956,2308834.2198,32577197.22,7.09,증가,13
09,helect,전기 사용량,0.9016,13895.3545,181022.41,7.68,증가,11
09,waterCool,수도 사용량,0.9418,829261.8132,4556152.2,18.2,증가,13
09,hwaterCool,수도 사용량,0.6387,323.0091,8169.86,3.95,증가,11
10,waterHot,급탕 사용량,0.2065,70049.7203,3145469.87,2.23,증가,12
10,elect,전기 사용량,0.7811,1327526.989,31818972.3,4.17,증가,13
10,helect,전기 사용량,0.4735,6048.2364,200139.36,3.02,증가,11
10,waterCool,수도 사용량,0.9638,822136.2637,3917365.49,20.99,증가,13
10,hwaterCool,수도 사용량,0.7255,372.0,7197.27,5.17,증가,11
11,waterHot,급탕 사용량,0.059,31656.5385,5806333.08,0.55,증가,13
11,elect,전기 사용량,0.4567,728850.3187,37556646.7,1.94,증가,13
11,helect,전기 사용량,0.5904,7132.1727,191755.95,3.72,증가,11
11,waterCool,수도 사용량,0.9767,808666.4835,4313041.1,18.75,증가,13
11,hwaterCool,수도 사용량,0.0381,27.3,9982.14,0.27,증가,11
12,waterHot,급탕 사용량,0.1601,114202.4725,7022427.47,1.63,증가,13
12,elect,전기 사용량,-0.2031,-706286.8989,55948728.77,-1.26,감소,14
12,helect,전기 사용량,0.4384,6380.6091,207245.77,3.08,증가,11
12,waterCool,수도 사용량,0.7337,552325.956,5057704.86,10.92,증가,14
12,hwaterCool,수도 사용량,0.8473,321.2091,6858.68,4.68,증가,11
