month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6061,-893650.3515,60120449.07,-1.49,감소,16
01,helect,전기 사용량,-0.5203,-4352.1853,245824.1,-1.77,감소,12
01,waterCool,수도 사용량,0.9809,424196.9706,7267257.72,5.84,증가,16
01,hwaterCool,수도 사용량,0.2271,24.8392,11280.88,0.22,증가,12
02,elect,전기 사용량,-0.8486,-1693377.7779,61518542.27,-2.75,감소,16
02,helect,전기 사용량,-0.7501,-7440.3986,251909.53,-2.95,감소,12
02,waterCool,수도 사용량,0.9769,406133.3971,6662395.15,6.1,증가,16
02,hwaterCool,수도 사용량,0.0276,5.2517,10469.95,0.05,증가,12
03,elect,전기 사용량,-0.457,-457329.4071,44105836.98,-1.04,감소,15
03,helect,전기 사용량,-0.318,-2278.9273,212825.27,-1.07,감소,11
03,waterCool,수도 사용량,0.9621,421246.6429,7493910.83,5.62,증가,15
03,hwaterCool,수도 사용량,-0.1249,-9.1545,11475.68,-0.08,감소,11
04,elect,전기 사용량,-0.81,-1157950.575,48921501.89,-2.37,감소,15
04,helect,전기 사용량,-0.6959,-5401.3818,227475.45,-2.37,감소,11
04,waterCool,수도 사용량,0.9826,405683.5,7261524.83,5.59,증가,15
04,hwaterCool,수도 사용량,0.1556,16.1909,11172.86,0.14,증가,11
05,elect,전기 사용량,-0.6173,-732065.6179,43488802.93,-1.68,감소,15
05,helect,전기 사용량,-0.1023,-161.2727,191432.82,-0.08,감소,11
05,waterCool,수도 사용량,0.9804,396453.5,7863505.5,5.04,증가,15
05,hwaterCool,수도 사용량,-0.5562,-31.2909,11892.55,-0.26,감소,11
06,elect,전기 사용량,-0.4173,-453269.0071,46011467.32,-0.99,감소,15
06,helect,전기 사용량,0.097,725.6364,206568.27,0.35,증가,11
06,waterCool,수도 사용량,0.9585,380269.6071,8162685.42,4.66,증가,15
06,hwaterCool,수도 사용량,0.0482,8.8364,11838.36,0.07,증가,11
07,elect,전기 사용량,0.2528,527768.5357,47077443.12,1.12,증가,15
07,helect,전기 사용량,0.7729,9161.7364,200478.14,4.57,증가,11
07,waterCool,수도 사용량,0.9817,364268.1429,8589251.67,4.24,증가,15
07,hwaterCool,수도 사용량,-0.2965,-34.6455,12358.77,-0.28,감소,11
08,elect,전기 사용량,-0.3415,-1234959.8357,76636308.85,-1.61,감소,15
08,helect,전기 사용량,0.1784,1846.2727,285963.64,0.65,증가,11
08,waterCool,수도 사용량,0.9788,398226.1786,8379493.42,4.75,증가,15
08,hwaterCool,수도 사용량,-0.2934,-31.3818,12157.55,-0.26,감소,11
09,elect,전기 사용량,-0.4277,-1103868.1714,52660587.2,-2.1,감소,15
09,helect,전기 사용량,-0.3767,-2810.5273,230820.73,-1.22,감소,11
09,waterCool,수도 사용량,0.9674,385274.75,7940793.42,4.85,증가,15
09,hwaterCool,수도 사용량,-0.0691,-10.7545,11582.23,-0.09,감소,11
10,elect,전기 사용량,-0.6024,-683630.1607,43607186.46,-1.57,감소,15
10,helect,전기 사용량,-0.4812,-2969.3909,212200.77,-1.4,감소,11
10,waterCool,수도 사용량,0.9846,376087.1786,7995201.75,4.7,증가,15
10,hwaterCool,수도 사용량,-0.3079,-40.7091,11736.55,-0.35,감소,11
11,elect,전기 사용량,-0.7673,-1218411.6857,51318105.33,-2.37,감소,15
11,helect,전기 사용량,-0.9214,-1530.315,204840.24,-0.75,감소,10
11,waterCool,수도 사용량,0.9622,326830.3929,7902086.58,4.14,증가,15
11,hwaterCool,수도 사용량,-0.0524,-2.8237,11246.34,-0.03,감소,10
12,elect,전기 사용량,0.0106,26719.9429,46137753.6,0.06,증가,15
12,helect,전기 사용량,0.2486,603.3818,207866.38,0.29,증가,10
12,waterCool,수도 사용량,0.9794,366650.3646,7739194.51,4.74,증가,14
12,hwaterCool,수도 사용량,-0.008,-1.2424,11396.29,-0.01,감소,10
