month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.4654,-797297.8929,52385577.25,-1.52,감소,15
01,helect,전기 사용량,0.5116,4640.3636,251537.33,1.84,증가,12
01,waterCool,수도 사용량,0.9376,476370.5714,10030692.67,4.75,증가,15
01,hwaterCool,수도 사용량,-0.0904,-23.3881,14618.05,-0.16,감소,12
02,elect,전기 사용량,-0.2234,-281500.5,39693345.63,-0.71,감소,15
02,helect,전기 사용량,0.3535,2437.8916,231658.18,1.05,증가,12
02,waterCool,수도 사용량,0.9472,443045.6071,9568676.75,4.63,증가,15
02,hwaterCool,수도 사용량,-0.2562,-30.3462,13894.99,-0.22,감소,12
03,elect,전기 사용량,-0.4705,-632634.6462,43383980.63,-1.46,감소,14
03,helect,전기 사용량,0.76,5112.9273,221357.09,2.31,증가,11
03,waterCool,수도 사용량,0.971,473952.7692,10697409.14,4.43,증가,14
03,hwaterCool,수도 사용량,-0.3331,-62.9273,15521.91,-0.41,감소,11
04,elect,전기 사용량,-0.4894,-616679.8,41049869.67,-1.5,감소,15
04,helect,전기 사용량,0.775,4557.2636,210970.59,2.16,증가,11
04,waterCool,수도 사용량,0.9601,571251.7143,9457567.33,6.04,증가,15
04,hwaterCool,수도 사용량,0.5506,107.8273,14658.23,0.74,증가,11
05,elect,전기 사용량,-0.5192,-720251.6786,42815442.42,-1.68,감소,15
05,helect,전기 사용량,0.6686,4618.9697,212962.36,2.17,증가,10
05,waterCool,수도 사용량,0.9559,436179.6786,10952470.92,3.98,증가,15
05,hwaterCool,수도 사용량,-0.2259,-37.4697,15564.64,-0.24,감소,10
06,elect,전기 사용량,-0.186,-270669.8857,41823633.33,-0.65,감소,15
06,helect,전기 사용량,0.8557,8697.2727,211020.64,4.12,증가,11
06,waterCool,수도 사용량,0.9465,488036.0714,10974762.83,4.45,증가,15
06,hwaterCool,수도 사용량,-0.3026,-60.1182,16240.14,-0.37,감소,11
07,elect,전기 사용량,0.1633,495095.5736,53968632.2,0.92,증가,14
07,helect,전기 사용량,0.7517,14971.0818,261948.95,5.72,증가,11
07,waterCool,수도 사용량,0.9434,525325.7363,11907060.57,4.41,증가,14
07,hwaterCool,수도 사용량,-0.0766,-11.7091,16616.73,-0.07,감소,11
08,elect,전기 사용량,0.0741,236867.1846,45875496.23,0.52,증가,14
08,helect,전기 사용량,0.9288,15190.3909,226409.23,6.71,증가,11
08,waterCool,수도 사용량,0.8677,397527.6484,12529756.0,3.17,증가,14
08,hwaterCool,수도 사용량,-0.6061,-202.2091,17336.95,-1.17,감소,11
09,elect,전기 사용량,-0.0548,-94709.7286,37497476.5,-0.25,감소,15
09,helect,전기 사용량,0.7477,6930.9,207121.05,3.35,증가,11
09,waterCool,수도 사용량,0.9166,504630.8571,10692328.67,4.72,증가,15
09,hwaterCool,수도 사용량,-0.2351,-55.0636,15925.05,-0.35,감소,11
10,elect,전기 사용량,-0.4078,-544791.1786,42191995.58,-1.29,감소,15
10,helect,전기 사용량,0.7873,6353.6545,214456.05,2.96,증가,10
10,waterCool,수도 사용량,0.9664,506592.3929,10265057.25,4.94,증가,15
10,hwaterCool,수도 사용량,-0.3631,-51.5152,15693.22,-0.33,감소,10
11,elect,전기 사용량,-0.3178,-359297.6786,42321443.75,-0.85,감소,15
11,helect,전기 사용량,0.7739,5924.7091,217898.82,2.72,증가,11
11,waterCool,수도 사용량,0.9255,416376.0357,10632865.08,3.92,증가,15
11,hwaterCool,수도 사용량,-0.3761,-50.3364,15158.86,-0.33,감소,11
12,elect,전기 사용량,-0.4559,-764231.1071,51414335.08,-1.49,감소,15
12,helect,전기 사용량,0.7864,8569.8364,222842.73,3.85,증가,11
12,waterCool,수도 사용량,0.9585,540249.0357,9617888.75,5.62,증가,15
12,hwaterCool,수도 사용량,0.3818,74.3545,14563.77,0.51,증가,11
