month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.2704,2261.0977,28206.24,8.02,증가,11
01,elect,전기 사용량,-0.4098,-316298.6536,33365684.51,-0.95,감소,15
01,helect,전기 사용량,0.5439,687.2833,128649.17,0.53,증가,11
01,waterCool,수도 사용량,0.9708,210284.4643,4385754.75,4.79,증가,15
01,hwaterCool,수도 사용량,-0.3774,-34.791,6817.37,-0.51,감소,11
02,gas,가스 사용량,-0.4252,-5250.9212,83356.68,-6.3,감소,11
02,elect,전기 사용량,-0.2337,-129528.125,30842848.67,-0.42,감소,15
02,helect,전기 사용량,0.0551,43.2098,129877.51,0.03,증가,12
02,waterCool,수도 사용량,0.9365,223360.6786,4443975.25,5.03,증가,15
02,hwaterCool,수도 사용량,-0.2728,-19.4755,6861.78,-0.28,감소,12
03,gas,가스 사용량,-0.3833,-5623.0909,75971.82,-7.4,감소,11
03,elect,전기 사용량,-0.3436,-178564.189,23154858.37,-0.77,감소,14
03,helect,전기 사용량,0.3497,482.7545,112443.86,0.43,증가,11
03,waterCool,수도 사용량,0.964,211537.8462,4089742.57,5.17,증가,14
03,hwaterCool,수도 사용량,0.0123,1.2091,6203.95,0.02,증가,11
04,gas,가스 사용량,-0.3741,-4678.8711,69835.69,-6.7,감소,10
04,elect,전기 사용량,-0.2039,-95793.2,24226628.37,-0.4,감소,14
04,helect,전기 사용량,0.2591,322.7727,119948.77,0.27,증가,11
04,waterCool,수도 사용량,0.9691,221499.0549,4617881.14,4.8,증가,14
04,hwaterCool,수도 사용량,-0.0431,-3.0818,6913.32,-0.04,감소,11
05,gas,가스 사용량,-0.3533,-7282.9091,89233.64,-8.16,감소,11
05,elect,전기 사용량,-0.1522,-67751.6352,22366480.63,-0.3,감소,14
05,helect,전기 사용량,0.2101,218.9818,114913.0,0.19,증가,11
05,waterCool,수도 사용량,0.9865,210689.8462,4549491.71,4.63,증가,14
05,hwaterCool,수도 사용량,-0.0611,-4.2182,6650.64,-0.06,감소,11
06,gas,가스 사용량,-0.3108,-518.7273,25862.73,-2.01,감소,11
06,elect,전기 사용량,0.2634,164980.4066,24216893.0,0.68,증가,14
06,helect,전기 사용량,0.6517,1246.2273,121982.95,1.02,증가,11
06,waterCool,수도 사용량,0.9699,206833.5385,4940120.57,4.19,증가,14
06,hwaterCool,수도 사용량,-0.2902,-27.4636,7219.95,-0.38,감소,11
07,gas,가스 사용량,-0.0849,-130.04,20232.19,-0.64,감소,10
07,elect,전기 사용량,0.474,602192.2088,28370132.43,2.12,증가,14
07,helect,전기 사용량,0.7488,5053.9,135092.05,3.74,증가,11
07,waterCool,수도 사용량,0.9479,217647.3187,4860824.57,4.48,증가,14
07,hwaterCool,수도 사용량,-0.5272,-34.3636,7157.27,-0.48,감소,11
08,gas,가스 사용량,0.5352,4538.3636,46468.36,9.77,증가,10
08,elect,전기 사용량,0.2588,637789.6835,42743314.06,1.49,증가,14
08,helect,전기 사용량,0.7199,8710.2,167064.36,5.21,증가,11
08,waterCool,수도 사용량,0.9651,219510.2637,5049915.43,4.35,증가,14
08,hwaterCool,수도 사용량,-0.5727,-35.8727,7230.09,-0.5,감소,11
09,gas,가스 사용량,-0.5905,-1072.7273,20591.82,-5.21,감소,11
09,elect,전기 사용량,0.5008,868615.0637,23116274.51,3.76,증가,14
09,helect,전기 사용량,0.7921,5973.5273,110986.64,5.38,증가,11
09,waterCool,수도 사용량,0.7037,130394.3516,5502017.43,2.37,증가,14
09,hwaterCool,수도 사용량,-0.3529,-21.8182,7138.82,-0.31,감소,11
10,gas,가스 사용량,0.3853,390.1894,17234.09,2.26,증가,10
10,elect,전기 사용량,-0.0814,-34526.9143,22406832.23,-0.15,감소,14
10,helect,전기 사용량,-0.0485,-188.8,120977.27,-0.16,감소,11
10,waterCool,수도 사용량,0.9623,237130.4176,4575888.0,5.18,증가,14
10,hwaterCool,수도 사용량,0.4298,36.5091,6663.64,0.55,증가,11
11,gas,가스 사용량,0.087,182.1818,23856.18,0.76,증가,10
11,elect,전기 사용량,0.3578,456859.1679,20106297.03,2.27,증가,15
11,helect,전기 사용량,-0.2148,-240.2,123869.09,-0.19,감소,11
11,waterCool,수도 사용량,0.9266,194422.5275,4820174.29,4.03,증가,14
11,hwaterCool,수도 사용량,-0.5915,-58.2273,7037.59,-0.83,감소,11
12,gas,가스 사용량,-0.5363,-2386.0939,43598.64,-5.47,감소,10
12,elect,전기 사용량,0.0241,14133.7893,26256433.61,0.05,증가,15
12,helect,전기 사용량,0.1424,122.0636,125356.41,0.1,증가,11
12,waterCool,수도 사용량,0.8797,283586.5357,3612766.25,7.85,증가,15
12,hwaterCool,수도 사용량,-0.2965,-20.9091,6689.36,-0.31,감소,11
