month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.4361,-539664.1071,48330088.75,-1.12,감소,15
01,helect,전기 사용량,-0.5623,-6039.806,227358.72,-2.66,감소,11
01,waterCool,수도 사용량,0.7331,245308.6786,6926147.92,3.54,증가,15
01,hwaterCool,수도 사용량,-0.1364,-17.8053,10249.99,-0.17,감소,11
02,elect,전기 사용량,-0.7306,-1173690.7393,48053590.17,-2.44,감소,15
02,helect,전기 사용량,-0.6941,-7737.007,227751.37,-3.4,감소,12
02,waterCool,수도 사용량,0.7148,220423.3571,7370239.83,2.99,증가,15
02,hwaterCool,수도 사용량,-0.1333,-16.1399,10337.6,-0.16,감소,12
03,elect,전기 사용량,-0.1821,-137324.2857,33716218.57,-0.41,감소,14
03,helect,전기 사용량,-0.3065,-2761.4909,185654.82,-1.49,감소,11
03,waterCool,수도 사용량,0.932,291804.3297,6293294.0,4.64,증가,14
03,hwaterCool,수도 사용량,0.2445,39.0091,9168.05,0.43,증가,11
04,elect,전기 사용량,-0.7133,-905704.022,37951121.14,-2.39,감소,14
04,helect,전기 사용량,-0.5468,-5075.1091,197346.73,-2.57,감소,11
04,waterCool,수도 사용량,0.95,319124.3077,7029074.86,4.54,증가,14
04,hwaterCool,수도 사용량,0.1268,25.4182,10091.0,0.25,증가,11
05,elect,전기 사용량,-0.5389,-491334.2198,34484304.57,-1.42,감소,14
05,helect,전기 사용량,-0.6261,-4481.9182,193748.05,-2.31,감소,11
05,waterCool,수도 사용량,0.9579,305852.6154,7041373.71,4.34,증가,14
05,hwaterCool,수도 사용량,-0.3423,-65.4818,10594.5,-0.62,감소,11
06,elect,전기 사용량,-0.3297,-410814.8791,38204481.71,-1.08,감소,14
06,helect,전기 사용량,-0.1802,-1159.1909,188271.95,-0.62,감소,11
06,waterCool,수도 사용량,0.9254,260563.8901,7934476.86,3.28,증가,14
06,hwaterCool,수도 사용량,-0.3028,-45.5455,10940.36,-0.42,감소,11
07,elect,전기 사용량,0.1812,303313.2747,41669548.0,0.73,증가,14
07,helect,전기 사용량,0.4924,5035.0273,194539.05,2.59,증가,11
07,waterCool,수도 사용량,0.9717,318151.011,7342189.14,4.33,증가,14
07,hwaterCool,수도 사용량,-0.162,-25.5545,10655.59,-0.24,감소,11
08,elect,전기 사용량,-0.2945,-811549.833,58258122.49,-1.39,감소,14
08,helect,전기 사용량,0.1667,1866.0727,240307.55,0.78,증가,11
08,waterCool,수도 사용량,0.9643,295767.7363,7614732.57,3.88,증가,14
08,hwaterCool,수도 사용량,-0.3133,-53.7636,11203.55,-0.48,감소,11
09,elect,전기 사용량,-0.2627,-420586.85,38356258.68,-1.1,감소,15
09,helect,전기 사용량,-0.0959,-598.8909,182016.18,-0.33,감소,11
09,waterCool,수도 사용량,0.9261,267527.2143,7245101.5,3.69,증가,15
09,hwaterCool,수도 사용량,-0.2509,-51.5636,10776.64,-0.48,감소,11
10,elect,전기 사용량,-0.5398,-455313.1571,34489799.3,-1.32,감소,15
10,helect,전기 사용량,-0.4221,-2306.7364,175175.95,-1.32,감소,11
10,waterCool,수도 사용량,0.9362,285141.2857,6790487.0,4.2,증가,15
10,hwaterCool,수도 사용량,-0.2211,-25.7545,10286.68,-0.25,감소,11
11,elect,전기 사용량,-0.7034,-877919.5,41095491.83,-2.14,감소,15
11,helect,전기 사용량,-0.5445,-3524.0545,191006.09,-1.84,감소,11
11,waterCool,수도 사용량,0.9106,257649.6071,7067656.08,3.65,증가,15
11,hwaterCool,수도 사용량,-0.2406,-27.3727,10491.5,-0.26,감소,11
12,elect,전기 사용량,-0.1536,-145361.775,41858490.36,-0.35,감소,15
12,helect,전기 사용량,-0.3729,-2467.8996,194600.68,-1.27,감소,10
12,waterCool,수도 사용량,0.8334,251646.5357,6760021.58,3.72,증가,15
12,hwaterCool,수도 사용량,-0.0571,-7.1856,9994.77,-0.07,감소,10
