month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.255,-614261.4,26559132.6,-2.31,감소,4
01,waterHot,급탕 사용량,0.559,75300.0,2862300.0,2.63,증가,4
01,elect,전기 사용량,-0.7386,-303667.2143,9240069.83,-3.29,감소,15
01,helect,전기 사용량,-0.7623,-966.4755,56200.45,-1.72,감소,12
01,waterCool,수도 사용량,0.54,37001.8214,2752969.25,1.34,증가,15
01,hwaterCool,수도 사용량,0.0696,5.486,3400.74,0.16,증가,12
02,heat,난방 사용량,0.9888,3913537.8,16938252.8,23.1,증가,4
02,waterHot,급탕 사용량,-0.9917,-1131600.0,5852400.0,-19.34,감소,4
02,elect,전기 사용량,-0.7893,-275708.0,9132974.4,-3.02,감소,15
02,helect,전기 사용량,-0.8924,-1254.4021,58352.79,-2.15,감소,12
02,waterCool,수도 사용량,0.6837,41831.6071,2608757.42,1.6,증가,15
02,hwaterCool,수도 사용량,-0.233,-28.8601,3718.73,-0.78,감소,12
03,heat,난방 사용량,0.5435,1522979.9,16195832.9,9.4,증가,4
03,waterHot,급탕 사용량,-0.8537,-303300.0,3715200.0,-8.16,감소,4
03,elect,전기 사용량,-0.7439,-276394.4615,7634855.43,-3.62,감소,14
03,helect,전기 사용량,-0.9246,-1515.0545,53494.55,-2.83,감소,11
03,waterCool,수도 사용량,0.3421,39132.3297,2561403.43,1.53,증가,14
03,hwaterCool,수도 사용량,0.1915,15.1182,3062.5,0.49,증가,11
04,heat,난방 사용량,0.701,1625022.4,10473664.4,15.52,증가,4
04,waterHot,급탕 사용량,0.6249,512400.0,2943900.0,17.41,증가,4
04,elect,전기 사용량,-0.7276,-244795.2308,7727669.71,-3.17,감소,14
04,helect,전기 사용량,-0.7087,-947.2545,52174.27,-1.82,감소,11
04,waterCool,수도 사용량,0.5755,57768.1538,2613129.14,2.21,증가,14
04,hwaterCool,수도 사용량,0.1241,17.4727,3355.64,0.52,증가,11
05,heat,난방 사용량,0.2296,387859.7,4945104.2,7.84,증가,4
05,waterHot,급탕 사용량,0.5917,143700.0,2632200.0,5.46,증가,4
05,elect,전기 사용량,-0.7501,-211523.8901,7085913.14,-2.99,감소,14
05,helect,전기 사용량,-0.9029,-1047.5273,51200.91,-2.05,감소,11
05,waterCool,수도 사용량,0.4517,35974.7253,2842842.86,1.27,증가,14
05,hwaterCool,수도 사용량,-0.0416,-4.6364,3524.55,-0.13,감소,11
06,heat,난방 사용량,-0.5865,-285225.0,1901875.0,-15.0,감소,4
06,waterHot,급탕 사용량,-0.1255,-19500.0,2469000.0,-0.79,감소,4
06,elect,전기 사용량,-0.7544,-188071.2527,7482633.14,-2.51,감소,14
06,helect,전기 사용량,-0.8787,-802.1636,54138.91,-1.48,감소,11
06,waterCool,수도 사용량,0.552,36906.022,2892940.86,1.28,증가,14
06,hwaterCool,수도 사용량,-0.2712,-23.5545,3851.59,-0.61,감소,11
07,heat,난방 사용량,-0.5407,-422050.2,2123270.8,-19.88,감소,4
07,waterHot,급탕 사용량,-0.1072,-30000.0,2098500.0,-1.43,감소,4
07,elect,전기 사용량,-0.5088,-142682.3077,7884604.29,-1.81,감소,14
07,helect,전기 사용량,-0.3206,-405.1545,58404.59,-0.69,감소,11
07,waterCool,수도 사용량,0.4152,28825.4725,3080328.0,0.94,증가,14
07,hwaterCool,수도 사용량,-0.4889,-37.8636,3959.32,-0.96,감소,11
08,heat,난방 사용량,-0.3906,-152310.6,1211183.4,-12.58,감소,4
08,waterHot,급탕 사용량,0.1695,44400.0,1832400.0,2.42,증가,4
08,elect,전기 사용량,-0.1008,-32763.4945,8676672.0,-0.38,감소,14
08,helect,전기 사용량,0.2702,587.7364,65066.41,0.9,증가,11
08,waterCool,수도 사용량,0.641,57849.978,2875405.14,2.01,증가,14
08,hwaterCool,수도 사용량,-0.4869,-50.4909,4180.91,-1.21,감소,11
09,heat,난방 사용량,-0.654,-385433.0,2552657.2,-15.1,감소,5
09,waterHot,급탕 사용량,0.4254,59100.0,1960200.0,3.01,증가,5
09,elect,전기 사용량,-0.4291,-122892.4643,7463281.25,-1.65,감소,15
09,helect,전기 사용량,-0.0684,-79.4273,52673.68,-0.15,감소,11
09,waterCool,수도 사용량,0.4873,37988.3214,2955936.42,1.29,증가,15
09,hwaterCool,수도 사용량,-0.3971,-35.0727,3881.36,-0.9,감소,11
10,heat,난방 사용량,-0.9092,-1373406.6,7554679.4,-18.18,감소,5
10,waterHot,급탕 사용량,0.5684,164100.0,2355600.0,6.97,증가,5
10,elect,전기 사용량,-0.8333,-208998.9286,7236872.5,-2.89,감소,15
10,helect,전기 사용량,-0.9261,-1187.8636,51901.59,-2.29,감소,11
10,waterCool,수도 사용량,0.5394,35608.8214,2702932.92,1.32,증가,15
10,hwaterCool,수도 사용량,-0.4389,-33.1,3711.68,-0.89,감소,11
11,heat,난방 사용량,0.8977,3811182.5,6051610.0,62.98,증가,4
11,waterHot,급탕 사용량,-0.4638,-76800.0,3188700.0,-2.41,감소,4
11,elect,전기 사용량,-0.8548,-259974.3571,8207679.83,-3.17,감소,15
11,helect,전기 사용량,-0.9027,-1482.0727,55660.55,-2.66,감소,11
11,waterCool,수도 사용량,0.3979,25325.8929,2878982.75,0.88,증가,15
11,hwaterCool,수도 사용량,-0.2172,-16.2182,3658.73,-0.44,감소,11
12,heat,난방 사용량,-0.1204,-234980.5,23644852.0,-0.99,감소,4
12,waterHot,급탕 사용량,0.2719,43500.0,2920500.0,1.49,증가,4
12,elect,전기 사용량,-0.8197,-279078.8571,8499655.33,-3.28,감소,15
12,helect,전기 사용량,-0.9656,-1322.0545,55552.36,-2.38,감소,11
12,waterCool,수도 사용량,0.7926,55306.1429,2436692.33,2.27,증가,15
12,hwaterCool,수도 사용량,-0.3987,-30.3545,3578.59,-0.85,감소,11
