month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.4712,-1201156.2571,74309450.73,-1.62,감소,15
01,helect,전기 사용량,-0.432,-1190.2692,340077.56,-0.35,감소,12
01,waterCool,수도 사용량,0.9542,835121.1071,13572776.25,6.15,증가,15
01,hwaterCool,수도 사용량,0.3608,135.0944,20151.06,0.67,증가,12
02,elect,전기 사용량,-0.5641,-1160460.4822,64209470.65,-1.81,감소,14
02,helect,전기 사용량,-0.0304,-79.4,296828.45,-0.03,감소,11
02,waterCool,수도 사용량,0.9294,625967.7278,13675813.31,4.58,증가,14
02,hwaterCool,수도 사용량,-0.4387,-123.6273,21247.23,-0.58,감소,11
03,elect,전기 사용량,-0.5861,-1362543.6813,67929043.0,-2.01,감소,14
03,helect,전기 사용량,-0.4713,-1968.3455,322053.91,-0.61,감소,11
03,waterCool,수도 사용량,0.9745,1082458.0,11326716.57,9.56,증가,14
03,hwaterCool,수도 사용량,0.7225,393.5,18592.77,2.12,증가,11
04,elect,전기 사용량,-0.5679,-1091698.8505,59709454.46,-1.83,감소,14
04,helect,전기 사용량,-0.6253,-1496.9364,297739.14,-0.5,감소,11
04,waterCool,수도 사용량,0.9426,783496.2198,13978657.43,5.6,증가,14
04,hwaterCool,수도 사용량,0.1755,33.5545,21196.05,0.16,증가,11
05,elect,전기 사용량,-0.5443,-1063414.6242,60602329.49,-1.75,감소,14
05,helect,전기 사용량,-0.5835,-1459.2636,302927.86,-0.48,감소,11
05,waterCool,수도 사용량,0.9795,926393.7582,13412786.29,6.91,증가,14
05,hwaterCool,수도 사용량,0.6065,176.8,20812.91,0.85,증가,11
06,elect,전기 사용량,-0.2173,-441773.4945,59362341.71,-0.74,감소,14
06,helect,전기 사용량,0.6355,3125.1273,297147.82,1.05,증가,11
06,waterCool,수도 사용량,0.9651,828950.8132,14847209.71,5.58,증가,14
06,hwaterCool,수도 사용량,0.3152,55.5909,22132.95,0.25,증가,11
07,elect,전기 사용량,-0.0423,-138848.1393,79506063.24,-0.17,감소,15
07,helect,전기 사용량,0.5931,10495.1727,361715.41,2.9,증가,11
07,waterCool,수도 사용량,0.9757,842102.8214,14562051.58,5.78,증가,15
07,hwaterCool,수도 사용량,0.3443,72.9818,22224.27,0.33,증가,11
08,elect,전기 사용량,-0.1054,-492885.5393,83941432.04,-0.59,감소,15
08,helect,전기 사용량,0.6754,11843.4364,372810.18,3.18,증가,11
08,waterCool,수도 사용량,0.9787,817847.4286,14805620.67,5.52,증가,15
08,hwaterCool,수도 사용량,0.7244,149.5727,22122.41,0.68,증가,11
09,elect,전기 사용량,-0.1381,-356971.65,56295442.75,-0.63,감소,15
09,helect,전기 사용량,0.6135,4681.5818,281257.91,1.66,증가,11
09,waterCool,수도 사용량,0.944,809046.8214,14552427.58,5.56,증가,15
09,hwaterCool,수도 사용량,0.4058,128.0273,21901.5,0.58,증가,11
10,elect,전기 사용량,-0.6294,-1250881.4571,63294304.27,-1.98,감소,15
10,helect,전기 사용량,-0.4773,-1136.5818,300759.0,-0.38,감소,11
10,waterCool,수도 사용량,0.9677,763273.0714,13840849.17,5.51,증가,15
10,hwaterCool,수도 사용량,0.4325,102.9636,20881.91,0.49,증가,11
11,elect,전기 사용량,-0.6248,-1260802.2359,65494166.22,-1.93,감소,14
11,helect,전기 사용량,-0.671,-1652.5545,309704.23,-0.53,감소,11
11,waterCool,수도 사용량,0.9808,710298.6196,14350220.77,4.95,증가,14
11,hwaterCool,수도 사용량,-0.0082,-1.4545,21301.91,-0.01,감소,11
12,elect,전기 사용량,-0.5921,-1535286.9679,76071185.58,-2.02,감소,15
12,helect,전기 사용량,-0.3883,-994.3455,334890.64,-0.3,감소,11
12,waterCool,수도 사용량,0.9531,740240.3571,13536591.5,5.47,증가,15
12,hwaterCool,수도 사용량,0.1777,63.3182,21128.05,0.3,증가,11
