month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.4998,-221403.5357,15691110.08,-1.41,감소,15
01,helect,전기 사용량,-0.7176,-1905.1575,84646.08,-2.25,감소,11
01,waterCool,수도 사용량,-0.1035,-1769.2188,216683.75,-0.82,감소,8
02,elect,전기 사용량,-0.4564,-183285.0,15033538.33,-1.22,감소,15
02,helect,전기 사용량,-0.043,-41.2308,68754.44,-0.06,감소,12
02,waterCool,수도 사용량,0.075,1605.6326,146263.63,1.1,증가,9
03,elect,전기 사용량,-0.3467,-119621.1429,11483723.14,-1.04,감소,14
03,helect,전기 사용량,-0.6752,-871.1636,65555.27,-1.33,감소,11
03,waterCool,수도 사용량,-0.5127,-12514.3817,256216.77,-4.88,감소,5
04,elect,전기 사용량,-0.4542,-147248.0714,12417319.83,-1.19,감소,15
04,helect,전기 사용량,-0.3851,-332.1636,64930.27,-0.51,감소,11
04,waterCool,수도 사용량,-0.4069,-14336.8828,406927.45,-3.52,감소,12
05,elect,전기 사용량,-0.3112,-148412.8929,11272424.25,-1.32,감소,15
05,helect,전기 사용량,-0.9224,-945.7273,64472.68,-1.47,감소,10
05,waterCool,수도 사용량,-0.4886,-16495.9886,413238.16,-3.99,감소,8
06,elect,전기 사용량,-0.2786,-79052.3929,11884006.75,-0.67,감소,15
06,helect,전기 사용량,-0.1011,-55.7091,63831.64,-0.09,감소,11
06,waterCool,수도 사용량,0.554,16736.0872,64437.41,25.97,증가,13
07,elect,전기 사용량,-0.3132,-121135.5,13568655.83,-0.89,감소,15
07,helect,전기 사용량,0.4199,905.1,70518.32,1.28,증가,11
07,waterCool,수도 사용량,0.1218,3338.2712,205896.43,1.62,증가,10
08,elect,전기 사용량,0.0251,30112.25,15005729.58,0.2,증가,15
08,helect,전기 사용량,0.6828,2596.2228,78277.72,3.32,증가,10
08,waterCool,수도 사용량,0.5832,19387.6347,69323.08,27.97,증가,10
09,elect,전기 사용량,0.122,59882.5714,11220246.0,0.53,증가,15
09,helect,전기 사용량,0.5625,1063.1059,61603.24,1.73,증가,10
09,waterCool,수도 사용량,0.5042,30453.4286,177301.43,17.18,증가,6
10,elect,전기 사용량,-0.3689,-109554.4286,11381722.33,-0.96,감소,15
10,helect,전기 사용량,-0.6748,-522.9182,62790.95,-0.83,감소,11
10,waterCool,수도 사용량,0.7222,17976.25,98731.25,18.21,증가,9
11,elect,전기 사용량,-0.4214,-273281.5824,13076831.71,-2.09,감소,14
11,helect,전기 사용량,-0.8744,-921.1957,67716.04,-1.36,감소,9
11,waterCool,수도 사용량,0.7333,26199.6875,126298.71,20.74,증가,7
12,elect,전기 사용량,-0.4588,-164010.0,13875356.0,-1.18,감소,15
12,helect,전기 사용량,-0.4695,-398.2545,68414.55,-0.58,감소,11
12,waterCool,수도 사용량,0.362,9540.8813,77646.88,12.29,증가,11
