month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.4522,-907291.2143,48425573.83,-1.87,감소,15
01,hheat,난방 사용량,-0.952,-2952.8077,54853.35,-5.38,감소,3
01,waterHot,급탕 사용량,0.232,56394.2857,5539500.0,1.02,증가,15
01,hwaterHot,급탕 사용량,-0.4162,-104.2867,2966.24,-3.52,감소,12
01,elect,전기 사용량,0.0279,2573.9643,2661801.58,0.1,증가,15
01,helect,전기 사용량,1.0,842.0,27833.0,3.03,증가,2
01,waterCool,수도 사용량,0.7961,117483.6786,4544511.58,2.59,증가,15
01,hwaterCool,수도 사용량,-0.7747,-238.6294,6439.13,-3.71,감소,12
02,heat,난방 사용량,-0.4235,-691433.8868,40391884.84,-1.71,감소,16
02,hheat,난방 사용량,0.9994,2605.5,41761.83,6.24,증가,3
02,waterHot,급탕 사용량,0.2955,84822.5,5486087.5,1.55,증가,16
02,hwaterHot,급탕 사용량,-0.4497,-115.0941,3232.77,-3.56,감소,11
02,elect,전기 사용량,0.515,47342.6176,1813756.62,2.61,증가,16
02,helect,전기 사용량,0.5021,481.5,23806.17,2.02,증가,3
02,waterCool,수도 사용량,0.8667,151708.3824,4049479.63,3.75,증가,16
02,hwaterCool,수도 사용량,-0.7507,-473.735,8147.24,-5.81,감소,11
03,heat,난방 사용량,-0.6498,-1268425.7786,34140872.32,-3.72,감소,15
03,hheat,난방 사용량,0.2103,357.5,36248.5,0.99,증가,3
03,waterHot,급탕 사용량,0.2449,88091.0714,5983262.5,1.47,증가,15
03,hwaterHot,급탕 사용량,0.0898,16.8951,2106.99,0.8,증가,10
03,elect,전기 사용량,0.2064,23322.1429,1759882.67,1.33,증가,15
03,helect,전기 사용량,-1.0,-778.0,23684.0,-3.28,감소,2
03,waterCool,수도 사용량,0.8487,237934.0714,2709264.83,8.78,증가,15
03,hwaterCool,수도 사용량,-0.566,-346.4206,5468.28,-6.34,감소,10
04,heat,난방 사용량,-0.7866,-1242266.0714,23018599.83,-5.4,감소,15
04,hheat,난방 사용량,-0.5762,-1025.5,19965.83,-5.14,감소,3
04,waterHot,급탕 사용량,0.0499,13825.5714,5530359.67,0.25,증가,15
04,hwaterHot,급탕 사용량,-0.6372,-37.1091,2080.55,-1.78,감소,11
04,elect,전기 사용량,0.508,40327.9286,1455082.17,2.77,증가,15
04,helect,전기 사용량,-0.0364,-143.0,21664.0,-0.66,감소,3
04,waterCool,수도 사용량,0.8798,189931.3929,3764306.92,5.05,증가,15
04,hwaterCool,수도 사용량,-0.7796,-264.6455,6466.32,-4.09,감소,11
05,heat,난방 사용량,-0.4775,-253925.3571,7672204.17,-3.31,감소,15
05,hheat,난방 사용량,-0.8542,-625.5,11350.17,-5.51,감소,3
05,waterHot,급탕 사용량,-0.0719,-7822.5714,4649297.33,-0.17,감소,15
05,hwaterHot,급탕 사용량,-0.8921,-37.9455,1834.64,-2.07,감소,11
05,elect,전기 사용량,0.3635,33495.1786,1494583.08,2.24,증가,15
05,helect,전기 사용량,0.1764,199.0,18302.0,1.09,증가,3
