month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.5297,-4144857.7857,213271861.83,-1.94,감소,15
01,waterHot,급탕 사용량,0.0934,85766.6667,26764416.67,0.32,증가,10
01,hwaterHot,급탕 사용량,-0.7327,-284.2448,10303.01,-2.76,감소,12
01,elect,전기 사용량,-0.1976,-313648.7179,68072646.29,-0.46,감소,15
01,helect,전기 사용량,-0.4254,-5388.7622,381834.69,-1.41,감소,12
01,waterCool,수도 사용량,0.8855,1890832.4643,-327373.92,-577.58,증가,15
01,hwaterCool,수도 사용량,0.4686,824.4286,15135.0,5.45,증가,7
02,heat,난방 사용량,-0.5224,-2840358.3821,169131227.94,-1.68,감소,15
02,waterHot,급탕 사용량,-0.0993,-83335.2381,27818814.29,-0.3,감소,10
02,hwaterHot,급탕 사용량,-0.7173,-547.7091,12325.18,-4.44,감소,11
02,elect,전기 사용량,-0.1714,-230176.5821,54820460.01,-0.42,감소,15
02,helect,전기 사용량,-0.4201,-4997.7091,341514.91,-1.46,감소,11
02,waterCool,수도 사용량,0.8739,1743328.1786,-1262810.58,-138.05,증가,15
02,hwaterCool,수도 사용량,-0.6635,-1968.6,16311.0,-12.07,감소,5
03,heat,난방 사용량,-0.5591,-2294700.5357,122447108.08,-1.87,감소,15
03,waterHot,급탕 사용량,-0.2862,-112103.8095,24426428.57,-0.46,감소,10
03,hwaterHot,급탕 사용량,-0.8441,-209.4091,8227.14,-2.55,감소,11
03,elect,전기 사용량,-0.3768,-486809.7036,59225112.66,-0.82,감소,15
03,helect,전기 사용량,-0.9114,-4564.4364,343877.82,-1.33,감소,11
03,waterCool,수도 사용량,0.8729,1539357.0893,1919563.04,80.19,증가,15
03,hwaterCool,수도 사용량,-0.8523,-1070.8,17747.2,-6.03,감소,5
04,heat,난방 사용량,-0.678,-3066528.125,82329471.88,-3.72,감소,15
04,waterHot,급탕 사용량,-0.0757,-30372.381,22640242.86,-0.13,감소,10
04,hwaterHot,급탕 사용량,-0.8984,-199.2,7920.73,-2.51,감소,11
04,elect,전기 사용량,-0.2626,-311625.65,51701064.02,-0.6,감소,15
04,helect,전기 사용량,-0.9546,-5004.7818,325609.27,-1.54,감소,11
04,waterCool,수도 사용량,0.8785,1594338.5179,1797528.37,88.7,증가,15
04,hwaterCool,수도 사용량,-0.8572,-1093.6,19798.8,-5.52,감소,5
05,heat,난방 사용량,-0.5717,-1154552.3571,33217514.5,-3.48,감소,15
05,waterHot,급탕 사용량,0.5667,225558.0952,17774614.29,1.27,증가,10
05,hwaterHot,급탕 사용량,-0.794,-137.1636,6936.64,-1.98,감소,11
05,elect,전기 사용량,-0.242,-286418.7179,52323928.96,-0.55,감소,15
05,helect,전기 사용량,-0.9387,-4653.5545,333523.14,-1.4,감소,11
05,waterCool,수도 사용량,0.8824,1761744.9821,-567922.21,-310.21,증가,15
05,hwaterCool,수도 사용량,-0.98,-747.6,20316.8,-3.68,감소,5
06,heat,난방 사용량,-0.3061,-501127.0769,18419084.57,-2.72,감소,14
06,waterHot,급탕 사용량,-0.0535,-7781.6667,16423343.33,-0.05,감소,9
06,hwaterHot,급탕 사용량,-0.7807,-157.3364,5903.05,-2.67,감소,11
06,elect,전기 사용량,0.2318,360158.7538,50638129.31,0.71,증가,14
06,helect,전기 사용량,0.2739,940.9273,330660.45,0.28,증가,11
06,waterCool,수도 사용량,0.9035,2086500.989,56195.0,3712.97,증가,14
06,hwaterCool,수도 사용량,-0.1283,-251.9143,22996.62,-1.1,감소,6
07,heat,난방 사용량,-0.1711,-263744.1538,11740147.71,-2.25,감소,14
07,waterHot,급탕 사용량,-0.574,-365279.0476,16142842.86,-2.26,감소,10
07,hwaterHot,급탕 사용량,-0.771,-218.2455,5071.68,-4.3,감소,11
07,elect,전기 사용량,-0.0224,-62548.2107,72462670.01,-0.09,감소,15
07,helect,전기 사용량,0.328,4994.7455,412049.82,1.21,증가,11
07,waterCool,수도 사용량,0.8777,2037105.3786,-1576561.85,-129.21,증가,15
07,hwaterCool,수도 사용량,-0.8586,-943.3714,24631.43,-3.83,감소,6
08,heat,난방 사용량,-0.2837,-371364.0659,10058252.86,-3.69,감소,14
08,waterHot,급탕 사용량,-0.2745,-100420.0,11973400.0,-0.84,감소,10
