month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.2827,16531.5265,4051633.93,0.41,증가,16
01,waterCool,수도 사용량,-0.3669,-14264.9141,525855.99,-2.71,감소,12
02,elect,전기 사용량,-0.2531,-11103.3571,3632270.17,-0.31,감소,15
02,waterCool,수도 사용량,0.3921,31564.1658,515735.96,6.12,증가,14
03,elect,전기 사용량,-0.4002,-20697.8242,3201068.0,-0.65,감소,14
03,waterCool,수도 사용량,0.5068,44692.5427,459646.64,9.72,증가,13
04,elect,전기 사용량,-0.7796,-33041.3929,3057623.08,-1.08,감소,15
04,waterCool,수도 사용량,0.5058,58406.2971,287909.04,20.29,증가,14
05,elect,전기 사용량,-0.3978,-14669.4643,2978550.92,-0.49,감소,15
05,helect,전기 사용량,1.0,3396.2,1440.0,235.85,증가,2
05,waterCool,수도 사용량,0.5063,58480.927,287594.87,20.33,증가,14
06,elect,전기 사용량,-0.0812,-4009.1429,3254734.0,-0.12,감소,15
06,waterCool,수도 사용량,0.3469,19112.5266,439369.04,4.35,증가,13
07,elect,전기 사용량,-0.6871,-48776.7143,3906839.67,-1.25,감소,15
07,waterCool,수도 사용량,0.3465,19029.9131,439600.24,4.33,증가,13
08,elect,전기 사용량,-0.6353,-38207.75,3604149.58,-1.06,감소,15
08,waterCool,수도 사용량,0.6186,39493.9556,215976.08,18.29,증가,12
09,elect,전기 사용량,-0.5234,-28372.8143,2913244.1,-0.97,감소,15
09,waterCool,수도 사용량,0.6116,38050.0047,217788.72,17.47,증가,12
10,elect,전기 사용량,-0.5687,-31507.7143,3262313.71,-0.97,감소,14
10,waterCool,수도 사용량,0.4688,26983.9965,220411.33,12.24,증가,13
11,elect,전기 사용량,-0.3575,-22109.6786,3790828.42,-0.58,감소,15
11,waterCool,수도 사용량,0.4184,21549.2953,247229.68,8.72,증가,14
12,elect,전기 사용량,0.0205,1359.9071,4193556.92,0.03,증가,15
12,waterCool,수도 사용량,-0.3644,-15795.4723,527416.75,-2.99,감소,11
