month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.1812,550842.3214,86415165.75,0.64,증가,15
01,hheat,난방 사용량,-0.5778,-610.7902,39556.51,-1.54,감소,12
01,waterHot,급탕 사용량,-0.8773,-1500525.9789,14401373.28,-10.42,감소,10
01,hwaterHot,급탕 사용량,-0.8411,-69.8497,5947.42,-1.17,감소,12
01,elect,전기 사용량,-0.3583,-397102.2357,41284018.92,-0.96,감소,15
01,helect,전기 사용량,0.6125,1905.1259,185506.14,1.03,증가,12
01,waterCool,수도 사용량,0.2216,141246.5357,12070180.92,1.17,증가,15
01,hwaterCool,수도 사용량,-0.7929,-132.021,14735.12,-0.9,감소,12
02,heat,난방 사용량,0.343,746446.3235,66750930.07,1.12,증가,16
02,hheat,난방 사용량,-0.539,-547.7692,31723.73,-1.73,감소,12
02,waterHot,급탕 사용량,-0.9313,-1406279.563,14469241.77,-9.72,감소,9
02,hwaterHot,급탕 사용량,-0.4951,-37.3112,5449.46,-0.68,감소,12
02,elect,전기 사용량,-0.396,-388719.9191,40397346.83,-0.96,감소,16
02,helect,전기 사용량,0.3849,634.8182,186036.17,0.34,증가,12
02,waterCool,수도 사용량,0.8728,371187.4559,9840617.21,3.77,증가,16
02,hwaterCool,수도 사용량,-0.7747,-101.9441,14178.69,-0.72,감소,12
03,heat,난방 사용량,-0.3702,-599403.6071,60020329.92,-1.0,감소,15
03,hheat,난방 사용량,-0.7296,-551.2636,21879.59,-2.52,감소,11
03,waterHot,급탕 사용량,-0.8506,-1244118.2101,12003477.44,-10.36,감소,10
03,hwaterHot,급탕 사용량,-0.6193,-59.3091,5700.64,-1.04,감소,11
03,elect,전기 사용량,-0.3786,-316213.7429,31110259.0,-1.02,감소,15
03,helect,전기 사용량,0.187,382.5909,160122.23,0.24,증가,11
03,waterCool,수도 사용량,0.9331,356720.3929,9296804.58,3.84,증가,15
03,hwaterCool,수도 사용량,-0.5345,-80.1273,13447.73,-0.6,감소,11
04,heat,난방 사용량,-0.6887,-558932.8214,31176729.75,-1.79,감소,15
04,hheat,난방 사용량,-0.5181,-364.2,8120.73,-4.48,감소,11
