month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.4035,777195.3929,20508993.58,3.79,증가,15
01,helect,전기 사용량,0.1417,274.0714,111544.75,0.25,증가,8
01,waterCool,수도 사용량,0.6605,511045.1429,3178226.67,16.08,증가,15
01,hwaterCool,수도 사용량,-0.6564,-61.6429,7268.5,-0.85,감소,8
02,elect,전기 사용량,-0.1944,-275079.5824,24159998.0,-1.14,감소,14
02,helect,전기 사용량,-0.8718,-2118.5357,109380.89,-1.94,감소,7
02,waterCool,수도 사용량,0.6964,320490.4396,3582212.86,8.95,증가,14
02,hwaterCool,수도 사용량,-0.6344,-64.9286,7309.21,-0.89,감소,7
03,elect,전기 사용량,0.1616,225534.1538,18918049.43,1.19,증가,14
03,helect,전기 사용량,0.269,478.8333,98432.33,0.49,증가,8
03,waterCool,수도 사용량,0.5088,235913.5165,4463785.71,5.29,증가,14
03,hwaterCool,수도 사용량,0.3819,49.3095,6477.17,0.76,증가,8
04,elect,전기 사용량,-0.023,-36760.8791,20777531.43,-0.18,감소,14
04,helect,전기 사용량,-0.3665,-3800.619,119067.92,-3.19,감소,8
04,waterCool,수도 사용량,0.4842,283530.4396,4602901.43,6.16,증가,14
04,hwaterCool,수도 사용량,-0.1385,-15.25,7206.75,-0.21,감소,8
05,elect,전기 사용량,0.1436,188321.3187,17211401.43,1.09,증가,14
05,helect,전기 사용량,0.0102,9.6667,95322.67,0.01,증가,8
05,waterCool,수도 사용량,0.4178,276109.3187,4548315.14,6.07,증가,14
05,hwaterCool,수도 사용량,-0.4517,-50.6548,7159.17,-0.71,감소,8
06,elect,전기 사용량,0.3801,437756.0879,15978391.14,2.74,증가,14
06,helect,전기 사용량,0.432,972.0,97925.29,0.99,증가,7
06,waterCool,수도 사용량,0.6335,302690.8791,4136847.14,7.32,증가,14
06,hwaterCool,수도 사용량,-0.6547,-75.5,7580.07,-1.0,감소,7
07,elect,전기 사용량,0.6562,1155893.4945,14869718.0,7.77,증가,14
07,helect,전기 사용량,0.7613,6995.7024,102417.17,6.83,증가,8
07,waterCool,수도 사용량,0.5769,277154.5055,4545150.0,6.1,증가,14
07,hwaterCool,수도 사용량,-0.3971,-44.5119,7677.17,-0.58,감소,8
08,elect,전기 사용량,0.3979,912659.0989,23716073.71,3.85,증가,14
08,helect,전기 사용량,0.5084,3095.1667,141282.42,2.19,증가,8
08,waterCool,수도 사용량,0.6213,308596.2198,4475443.14,6.9,증가,14
08,hwaterCool,수도 사용량,-0.4125,-61.5714,8059.25,-0.76,감소,8
09,elect,전기 사용량,-0.2246,-364003.9286,24721736.83,-1.47,감소,15
09,helect,전기 사용량,0.2504,3243.3571,104745.0,3.1,증가,8
09,waterCool,수도 사용량,0.734,256935.3929,4747320.25,5.41,증가,15
09,hwaterCool,수도 사용량,-0.6526,-99.2738,8125.83,-1.22,감소,8
10,elect,전기 사용량,0.1878,187726.3214,16169553.08,1.16,증가,15
10,helect,전기 사용량,0.4408,715.8333,93105.08,0.77,증가,8
10,waterCool,수도 사용량,0.7674,280973.3571,4349879.17,6.46,증가,15
10,hwaterCool,수도 사용량,-0.3197,-35.1667,7469.08,-0.47,감소,8
11,elect,전기 사용량,0.1343,142154.0,18237661.33,0.78,증가,15
11,helect,전기 사용량,0.1466,221.4918,97666.31,0.23,증가,7
11,waterCool,수도 사용량,0.7441,249630.8214,4271728.25,5.84,증가,15
11,hwaterCool,수도 사용량,-0.5823,-54.8934,7503.95,-0.73,감소,7
12,elect,전기 사용량,0.3693,431667.2857,18633644.33,2.32,증가,15
12,helect,전기 사용량,0.6919,1422.4737,102049.0,1.39,증가,6
12,waterCool,수도 사용량,0.9618,207352.1429,4745934.33,4.37,증가,15
12,hwaterCool,수도 사용량,-0.5806,-40.5024,7177.09,-0.56,감소,6
