month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.1438,-333641.5,56341617.17,-0.59,감소,15
01,hheat,난방 사용량,0.536,588.4615,16642.13,3.54,증가,12
01,waterHot,급탕 사용량,-0.4208,-282431.7857,15104299.83,-1.87,감소,15
01,hwaterHot,급탕 사용량,-0.8147,-116.7762,3602.1,-3.24,감소,12
01,elect,전기 사용량,0.8891,440545.0714,2033982.5,21.66,증가,15
01,waterCool,수도 사용량,0.8379,303467.3571,7288883.17,4.16,증가,15
01,hwaterCool,수도 사용량,0.2343,70.535,8407.47,0.84,증가,12
02,heat,난방 사용량,-0.2178,-378938.1985,43330934.3,-0.87,감소,16
02,hheat,난방 사용량,0.6376,824.5925,12000.14,6.87,증가,11
02,waterHot,급탕 사용량,-0.4936,-275949.9706,16543583.53,-1.67,감소,16
02,hwaterHot,급탕 사용량,-0.5906,-114.4842,4223.32,-2.71,감소,11
02,elect,전기 사용량,0.8985,435466.0882,1736615.59,25.08,증가,16
02,waterCool,수도 사용량,0.8803,369403.2426,6629282.24,5.57,증가,16
02,hwaterCool,수도 사용량,-0.0414,-14.7391,8855.0,-0.17,감소,11
03,heat,난방 사용량,-0.6761,-1092256.4703,34885201.49,-3.13,감소,14
03,hheat,난방 사용량,0.4354,311.0273,5833.68,5.33,증가,11
03,waterHot,급탕 사용량,-0.0379,-39046.0879,15170918.86,-0.26,감소,14
03,hwaterHot,급탕 사용량,-0.8488,-90.5636,3500.09,-2.59,감소,11
03,elect,전기 사용량,0.8724,383660.3956,1579553.14,24.29,증가,14
03,waterCool,수도 사용량,0.917,436658.6681,6507509.94,6.71,증가,14
03,hwaterCool,수도 사용량,0.6647,327.2364,7212.64,4.54,증가,11
04,heat,난방 사용량,-0.8411,-971430.3214,17683639.58,-5.49,감소,15
04,hheat,난방 사용량,0.6178,133.9091,2251.31,5.95,증가,10
04,waterHot,급탕 사용량,-0.8363,-397145.1071,14381374.42,-2.76,감소,15
04,hwaterHot,급탕 사용량,-0.7142,-72.2424,3278.69,-2.2,감소,10
04,elect,전기 사용량,0.8419,325210.0357,1252808.42,25.96,증가,15
04,waterCool,수도 사용량,0.1141,71716.4643,7692419.42,0.93,증가,15
04,hwaterCool,수도 사용량,0.3382,140.9152,7988.18,1.76,증가,10
05,heat,난방 사용량,-0.636,-380400.1429,6141242.33,-6.19,감소,15
05,hheat,난방 사용량,0.6032,59.1697,363.44,16.28,증가,10
05,waterHot,급탕 사용량,-0.8099,-513415.3214,12865982.58,-3.99,감소,15
05,hwaterHot,급탕 사용량,-0.7617,-38.303,2727.96,-1.4,감소,10
05,elect,전기 사용량,0.8699,301640.0,1269618.67,23.76,증가,15
05,waterCool,수도 사용량,0.16,84767.0,8099548.33,1.05,증가,15
05,hwaterCool,수도 사용량,0.4076,142.097,8369.36,1.7,증가,10
06,heat,난방 사용량,-0.3058,-29687.0714,1895976.83,-1.57,감소,15
06,waterHot,급탕 사용량,-0.6605,-216669.9286,7356052.83,-2.95,감소,15
06,hwaterHot,급탕 사용량,-0.5339,-32.2909,2226.91,-1.45,감소,10
06,elect,전기 사용량,0.8678,219036.5714,1627744.67,13.46,증가,15
06,waterCool,수도 사용량,0.8766,311970.25,7257111.58,4.3,증가,15
06,hwaterCool,수도 사용량,-0.0747,-22.9394,9407.53,-0.24,감소,10
07,heat,난방 사용량,-0.0889,-7902.1429,1652411.67,-0.48,감소,15
07,waterHot,급탕 사용량,-0.4547,-107033.1786,5270879.58,-2.03,감소,15
07,hwaterHot,급탕 사용량,-0.1547,-7.7909,1786.14,-0.44,감소,11
07,elect,전기 사용량,0.8475,226078.0,1925055.33,11.74,증가,15
07,waterCool,수도 사용량,0.8226,244231.1786,8454827.75,2.89,증가,15
07,hwaterCool,수도 사용량,-0.4414,-130.1636,10640.27,-1.22,감소,11
08,heat,난방 사용량,-0.1071,-11313.5714,1634703.0,-0.69,감소,15
08,waterHot,급탕 사용량,-0.03,-10811.5714,4166163.0,-0.26,감소,15
08,hwaterHot,급탕 사용량,-0.3539,-26.0636,1625.41,-1.6,감소,11
08,elect,전기 사용량,0.7385,173897.3571,2658686.5,6.54,증가,15
08,waterCool,수도 사용량,0.8445,298751.6071,8442867.42,3.54,증가,15
08,hwaterCool,수도 사용량,-0.446,-126.3545,10831.32,-1.17,감소,11
09,heat,난방 사용량,-0.3024,-21553.8571,2061221.0,-1.05,감소,15
09,waterHot,급탕 사용량,-0.0207,-6512.2143,4812234.83,-0.14,감소,15
09,hwaterHot,급탕 사용량,-0.4298,-32.1455,1902.09,-1.69,감소,11
09,elect,전기 사용량,0.6883,148416.5357,2500696.92,5.94,증가,15
09,waterCool,수도 사용량,0.7271,182984.2857,9058757.33,2.02,증가,15
