month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.6604,-3681262.5571,76499763.9,-4.81,감소,15
01,hheat,난방 사용량,-0.1466,-349.9263,68071.47,-0.51,감소,11
01,waterHot,급탕 사용량,-0.8134,-572850.3368,21864571.77,-2.62,감소,13
01,hwaterHot,급탕 사용량,-0.9509,-277.7541,6100.27,-4.55,감소,11
01,elect,전기 사용량,0.9499,430893.0,3358988.0,12.83,증가,4
01,waterCool,수도 사용량,-0.4968,-73714.7857,1694161.17,-4.35,감소,15
02,heat,난방 사용량,-0.8452,-2689312.2321,59591498.22,-4.51,감소,15
02,hheat,난방 사용량,-0.2851,-455.4441,55556.69,-0.82,감소,12
02,waterHot,급탕 사용량,0.0678,28152.9891,18373456.79,0.15,증가,14
02,hwaterHot,급탕 사용량,-0.5067,-66.6434,5350.04,-1.25,감소,12
02,elect,전기 사용량,0.9843,448460.0,3367960.0,13.32,증가,4
02,waterCool,수도 사용량,-0.6369,-96146.35,1965815.65,-4.89,감소,15
03,heat,난방 사용량,-0.5878,-1903407.4462,42163466.97,-4.51,감소,14
03,hheat,난방 사용량,-0.2709,-541.868,44385.49,-1.22,감소,10
03,waterHot,급탕 사용량,-0.5139,-181730.5825,17226989.08,-1.05,감소,12
03,hwaterHot,급탕 사용량,-0.9024,-148.868,5261.99,-2.83,감소,10
03,elect,전기 사용량,0.9705,391612.0,2578687.0,15.19,증가,4
03,waterCool,수도 사용량,-0.052,-6463.1538,1700202.29,-0.38,감소,14
04,heat,난방 사용량,-0.6133,-1323814.9297,25446310.97,-5.2,감소,14
04,hheat,난방 사용량,-0.5845,-940.3312,30998.69,-3.03,감소,10
04,waterHot,급탕 사용량,-0.0339,-9470.3883,13294534.39,-0.07,감소,12
04,hwaterHot,급탕 사용량,-0.952,-168.8983,5132.35,-3.29,감소,10
04,elect,전기 사용량,-0.845,-185948.3679,2742646.45,-6.78,감소,5
04,waterCool,수도 사용량,-0.2071,-22157.6044,1649746.57,-1.34,감소,14
05,heat,난방 사용량,-0.4492,-534198.5253,11295790.77,-4.73,감소,14
05,hheat,난방 사용량,-0.0807,-48.7662,12109.34,-0.4,감소,10
05,waterHot,급탕 사용량,-0.3925,-160721.3592,12571203.68,-1.28,감소,12
05,hwaterHot,급탕 사용량,-0.9102,-150.1234,4500.77,-3.34,감소,10
05,elect,전기 사용량,-0.8182,-151590.2694,2342846.32,-6.47,감소,5
05,waterCool,수도 사용량,-0.5638,-83848.5934,1991795.86,-4.21,감소,14
06,heat,난방 사용량,-0.4306,-279102.2929,4847630.18,-5.76,감소,15
06,hheat,난방 사용량,0.6172,155.8571,2166.57,7.19,증가,10
06,waterHot,급탕 사용량,-0.249,-77795.5891,9299113.58,-0.84,감소,13
06,hwaterHot,급탕 사용량,-0.8229,-70.7403,3311.6,-2.14,감소,10
06,elect,전기 사용량,-0.8874,-403454.8571,2721000.48,-14.83,감소,6
06,waterCool,수도 사용량,-0.6782,-99328.0179,2132210.13,-4.66,감소,15
07,heat,난방 사용량,-0.6976,-259110.9857,3642259.37,-7.11,감소,15
07,hheat,난방 사용량,0.2268,58.8667,1500.2,3.92,증가,9
07,waterHot,급탕 사용량,0.0386,13674.4922,7129680.67,0.19,증가,13
07,hwaterHot,급탕 사용량,-0.6962,-85.6333,2647.31,-3.23,감소,9
07,elect,전기 사용량,-0.7036,-239337.0,2824664.0,-8.47,감소,5
07,waterCool,수도 사용량,-0.7772,-138208.9107,2360760.71,-5.85,감소,15
08,heat,난방 사용량,-0.6314,-208376.4071,2895100.12,-7.2,감소,15
08,hheat,난방 사용량,0.1754,34.4833,1008.18,3.42,증가,9
08,waterHot,급탕 사용량,-0.0424,-14679.0192,6335052.76,-0.23,감소,13
08,hwaterHot,급탕 사용량,0.0833,9.35,1742.49,0.54,증가,9
08,elect,전기 사용량,-0.8606,-612255.2703,4393689.59,-13.93,감소,5
08,waterCool,수도 사용량,-0.7411,-117023.8929,2055868.58,-5.69,감소,15
09,heat,난방 사용량,-0.7177,-350930.7143,5457333.2,-6.43,감소,15
09,hheat,난방 사용량,-0.0955,-58.8,4218.87,-1.39,감소,9
09,waterHot,급탕 사용량,-0.0533,-17033.9524,6958950.73,-0.24,감소,13
09,hwaterHot,급탕 사용량,-0.1998,-29.25,2328.33,-1.26,감소,9
09,elect,전기 사용량,-0.6987,-245943.4524,3207137.56,-7.67,감소,8
09,waterCool,수도 사용량,-0.7452,-124431.2321,2018332.29,-6.17,감소,15
10,heat,난방 사용량,-0.7408,-1276766.7357,17824943.55,-7.16,감소,15
10,hheat,난방 사용량,-0.262,-445.0361,22250.01,-2.0,감소,8
10,waterHot,급탕 사용량,-0.0068,-2904.6721,9468942.19,-0.03,감소,13
10,hwaterHot,급탕 사용량,-0.6427,-65.9724,3359.52,-1.96,감소,8
10,elect,전기 사용량,-0.7088,-164580.6115,2278447.99,-7.22,감소,7
10,waterCool,수도 사용량,-0.5815,-93467.8179,1569702.49,-5.95,감소,14
11,heat,난방 사용량,-0.7346,-2092542.0964,36411552.81,-5.75,감소,15
11,hheat,난방 사용량,-0.6434,-1244.4121,44317.25,-2.81,감소,10
11,waterHot,급탕 사용량,-0.2411,-83464.0159,13194997.54,-0.63,감소,14
11,hwaterHot,급탕 사용량,-0.8458,-129.6303,4326.44,-3.0,감소,10
11,elect,전기 사용량,-0.9258,-131122.9275,2844437.95,-4.61,감소,5
11,waterCool,수도 사용량,-0.3645,-47649.2643,1348249.45,-3.53,감소,15
12,heat,난방 사용량,-0.7079,-3214336.6429,65989080.43,-4.87,감소,15
12,hheat,난방 사용량,0.3241,812.2208,55013.82,1.48,증가,9
12,waterHot,급탕 사용량,-0.7018,-433610.0132,19595207.95,-2.21,감소,14
12,hwaterHot,급탕 사용량,-0.8658,-160.4167,4845.92,-3.31,감소,9
12,elect,전기 사용량,0.7852,79619.8187,2871192.62,2.77,증가,5
12,waterCool,수도 사용량,-0.5134,-77840.5893,1659961.46,-4.69,감소,15
