month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.3397,-155066.3464,15306309.89,-1.01,감소,15
01,helect,전기 사용량,-0.0442,-51.6224,72549.09,-0.07,감소,12
01,waterCool,수도 사용량,0.9657,150163.3929,2800644.92,5.36,증가,15
01,hwaterCool,수도 사용량,-0.2969,-12.5105,4150.47,-0.3,감소,12
02,elect,전기 사용량,-0.2616,-92404.1735,12459949.18,-0.74,감소,16
02,helect,전기 사용량,-0.4017,-311.2603,65995.67,-0.47,감소,11
02,waterCool,수도 사용량,0.9534,110766.0714,2855946.17,3.88,증가,15
02,hwaterCool,수도 사용량,-0.2618,-16.5688,3952.44,-0.42,감소,11
03,elect,전기 사용량,-0.4527,-170822.4536,13412751.64,-1.27,감소,15
03,helect,전기 사용량,-0.4959,-378.2254,68332.07,-0.55,감소,10
03,waterCool,수도 사용량,0.9591,147133.978,2980396.29,4.94,증가,14
03,hwaterCool,수도 사용량,-0.1334,-6.9716,4279.85,-0.16,감소,10
04,elect,전기 사용량,-0.4312,-141274.9964,11957544.58,-1.18,감소,15
04,helect,전기 사용량,-0.7139,-540.7652,64765.88,-0.83,감소,10
04,waterCool,수도 사용량,0.9627,125292.4615,3077074.0,4.07,증가,14
04,hwaterCool,수도 사용량,-0.1383,-7.2652,4179.88,-0.17,감소,10
05,elect,전기 사용량,-0.4501,-164169.3321,12321812.12,-1.33,감소,15
05,helect,전기 사용량,-0.6232,-413.5133,64975.27,-0.64,감소,10
05,waterCool,수도 사용량,0.9599,130296.1978,3257154.0,4.0,증가,14
05,hwaterCool,수도 사용량,-0.429,-25.1193,4530.42,-0.55,감소,10
06,elect,전기 사용량,-0.3036,-122896.1071,12074077.28,-1.02,감소,15
06,helect,전기 사용량,0.5433,312.1742,63056.89,0.5,증가,10
06,waterCool,수도 사용량,0.9293,133789.2747,3288019.71,4.07,증가,14
06,hwaterCool,수도 사용량,-0.4327,-24.017,4551.49,-0.53,감소,10
07,elect,전기 사용량,-0.0021,-1590.989,14873335.86,-0.01,감소,14
07,helect,전기 사용량,0.5663,1701.9356,75176.23,2.26,증가,10
07,waterCool,수도 사용량,0.9836,134380.4396,3442848.57,3.9,증가,14
07,hwaterCool,수도 사용량,-0.2077,-12.5682,4653.95,-0.27,감소,10
08,elect,전기 사용량,-0.1728,-167519.3429,15370631.4,-1.09,감소,15
08,helect,전기 사용량,0.6679,1883.6723,73720.5,2.56,증가,10
08,waterCool,수도 사용량,0.9465,128744.5055,3463245.71,3.72,증가,14
08,hwaterCool,수도 사용량,-0.6693,-48.8561,4882.15,-1.0,감소,10
09,elect,전기 사용량,-0.1527,-74476.0929,11377106.85,-0.65,감소,15
09,helect,전기 사용량,0.4845,482.5455,60971.27,0.79,증가,11
09,waterCool,수도 사용량,0.9655,138409.1071,3047039.58,4.54,증가,15
09,hwaterCool,수도 사용량,-0.3391,-16.6182,4466.55,-0.37,감소,11
10,elect,전기 사용량,-0.4898,-184214.2536,12923608.44,-1.43,감소,15
10,helect,전기 사용량,-0.684,-399.4273,66035.41,-0.6,감소,11
10,waterCool,수도 사용량,0.9712,130553.5357,3132310.58,4.17,증가,15
10,hwaterCool,수도 사용량,-0.6952,-37.1545,4554.59,-0.82,감소,11
11,elect,전기 사용량,-0.527,-200502.5679,13673158.64,-1.47,감소,15
11,helect,전기 사용량,-0.7673,-416.6636,67711.32,-0.62,감소,11
11,waterCool,수도 사용량,0.9387,120872.8929,2991449.75,4.04,증가,15
11,hwaterCool,수도 사용량,-0.4934,-24.3636,4357.55,-0.56,감소,11
12,elect,전기 사용량,-0.4954,-242992.0464,15855653.39,-1.53,감소,15
12,helect,전기 사용량,-0.2748,-236.3697,72780.96,-0.32,감소,10
12,waterCool,수도 사용량,0.9822,136965.2857,2890833.0,4.74,증가,15
12,hwaterCool,수도 사용량,-0.6206,-40.4606,4365.07,-0.93,감소,10
