month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.2392,6230.2857,151380.95,4.12,증가,6
01,elect,전기 사용량,-0.38,-269082.9536,33390703.01,-0.81,감소,15
01,helect,전기 사용량,-0.6908,-1305.2587,192761.92,-0.68,감소,12
01,waterCool,수도 사용량,0.9451,315734.3214,8335071.75,3.79,증가,15
01,hwaterCool,수도 사용량,-0.3739,-47.4476,11582.79,-0.41,감소,12
02,heat,난방 사용량,0.4167,9917.1429,155530.48,6.38,증가,6
02,elect,전기 사용량,-0.696,-608032.9574,33967837.62,-1.79,감소,16
02,helect,전기 사용량,-0.9019,-3861.993,193990.63,-1.99,감소,12
02,waterCool,수도 사용량,0.8921,354640.9706,7672617.72,4.62,증가,16
02,hwaterCool,수도 사용량,-0.2096,-36.5664,11266.78,-0.32,감소,12
03,heat,난방 사용량,0.8432,25396.0,91991.0,27.61,증가,4
03,elect,전기 사용량,0.4513,267058.1393,22972854.49,1.16,증가,15
03,helect,전기 사용량,-0.2282,-677.4,169863.18,-0.4,감소,11
03,waterCool,수도 사용량,0.804,256681.4286,8422563.33,3.05,증가,15
03,hwaterCool,수도 사용량,-0.3892,-138.6455,12552.5,-1.1,감소,11
04,heat,난방 사용량,0.9447,15891.0,68096.0,23.34,증가,4
04,elect,전기 사용량,-0.5152,-286576.4536,27146082.71,-1.06,감소,15
04,helect,전기 사용량,-0.9225,-3521.0818,182851.77,-1.93,감소,11
04,waterCool,수도 사용량,0.8094,321487.7143,8259216.0,3.89,증가,15
04,hwaterCool,수도 사용량,-0.4304,-143.3909,12305.05,-1.17,감소,11
05,heat,난방 사용량,0.4921,4433.0,32648.0,13.58,증가,4
05,elect,전기 사용량,0.1501,66278.3857,23050568.3,0.29,증가,15
05,helect,전기 사용량,-0.6819,-1975.1818,170271.55,-1.16,감소,11
05,waterCool,수도 사용량,0.8369,261236.5714,9029071.33,2.89,증가,15
05,hwaterCool,수도 사용량,0.0146,7.0364,12442.64,0.06,증가,11
06,heat,난방 사용량,0.4711,4652.0,7900.0,58.89,증가,5
06,elect,전기 사용량,-0.0239,-14325.9821,25417611.27,-0.06,감소,15
06,helect,전기 사용량,-0.4522,-1450.2727,174780.0,-0.83,감소,11
06,waterCool,수도 사용량,0.8739,308169.0357,8944268.75,3.45,증가,15
06,hwaterCool,수도 사용량,-0.5607,-126.5455,12881.91,-0.98,감소,11
07,heat,난방 사용량,-0.8058,-7045.0,13228.0,-53.26,감소,5
07,elect,전기 사용량,0.39,389958.4143,27113030.37,1.44,증가,15
07,helect,전기 사용량,0.6772,5233.4455,180987.05,2.89,증가,11
07,waterCool,수도 사용량,0.7344,235349.4643,9366301.75,2.51,증가,15
07,hwaterCool,수도 사용량,-0.4439,-104.6818,13335.14,-0.79,감소,11
08,heat,난방 사용량,-0.9537,-1976.0,9054.0,-21.82,감소,5
08,elect,전기 사용량,0.0468,80726.7143,35098221.93,0.23,증가,15
08,helect,전기 사용량,0.5495,5371.991,207523.35,2.59,증가,10
08,waterCool,수도 사용량,0.9332,271037.8929,9353561.42,2.9,증가,15
08,hwaterCool,수도 사용량,-0.5329,-88.5485,12938.21,-0.68,감소,10
09,heat,난방 사용량,-0.625,-750.0,5016.0,-14.95,감소,5
09,elect,전기 사용량,0.0908,84226.5393,24964628.02,0.34,증가,15
09,helect,전기 사용량,0.0858,364.2455,171709.23,0.21,증가,11
09,waterCool,수도 사용량,0.791,265791.75,9087922.42,2.92,증가,15
09,hwaterCool,수도 사용량,-0.4545,-137.7545,12863.5,-1.07,감소,11
10,heat,난방 사용량,-0.9303,-861.0,5388.0,-15.98,감소,5
10,elect,전기 사용량,0.1478,56700.6036,23774753.17,0.24,증가,15
10,helect,전기 사용량,-0.4527,-1068.2818,165478.32,-0.65,감소,11
10,waterCool,수도 사용량,0.7816,305624.1071,8717163.25,3.51,증가,15
10,hwaterCool,수도 사용량,-0.3921,-86.7636,12604.18,-0.69,감소,11
11,heat,난방 사용량,0.1168,630.0,22112.0,2.85,증가,5
11,elect,전기 사용량,-0.5448,-295938.8,29098297.93,-1.02,감소,15
11,helect,전기 사용량,-0.8174,-2317.9636,178626.82,-1.3,감소,11
11,waterCool,수도 사용량,0.9025,318568.9286,8267888.83,3.85,증가,15
11,hwaterCool,수도 사용량,-0.3445,-42.5818,11674.0,-0.36,감소,11
12,heat,난방 사용량,0.8047,11870.0,63150.0,18.8,증가,5
12,elect,전기 사용량,0.011,5273.1286,29400377.83,0.02,증가,15
12,helect,전기 사용량,-0.405,-867.8727,180353.36,-0.48,감소,11
12,waterCool,수도 사용량,0.87,265249.5357,8324563.92,3.19,증가,15
12,hwaterCool,수도 사용량,-0.3041,-52.8636,11585.05,-0.46,감소,11
