month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.2857,5570.7143,176282.86,3.16,증가,4
01,elect,전기 사용량,-0.4977,-265926.5714,20045402.0,-1.33,감소,15
01,helect,전기 사용량,-0.652,-2166.3636,112304.0,-1.93,감소,12
01,waterCool,수도 사용량,0.9078,74431.7143,4289921.33,1.74,증가,15
01,hwaterCool,수도 사용량,-0.8527,-92.1748,5465.29,-1.69,감소,12
02,gas,가스 사용량,0.1748,2260.0,188457.5,1.2,증가,4
02,elect,전기 사용량,-0.6051,-303073.6324,20403967.87,-1.49,감소,16
02,helect,전기 사용량,-0.1351,-699.2902,109212.85,-0.64,감소,12
02,waterCool,수도 사용량,0.6875,72355.3676,4228975.37,1.71,증가,16
02,hwaterCool,수도 사용량,0.2109,56.7308,4756.9,1.19,증가,12
03,gas,가스 사용량,0.3027,4460.7143,169497.86,2.63,증가,4
03,elect,전기 사용량,-0.5364,-201578.0,15338657.33,-1.31,감소,15
03,helect,전기 사용량,0.4428,2312.1818,77080.0,3.0,증가,11
03,waterCool,수도 사용량,0.6977,63755.0714,3998601.17,1.59,증가,15
03,hwaterCool,수도 사용량,0.2604,82.5091,4489.55,1.84,증가,11
04,gas,가스 사용량,-0.7304,-14378.5714,221070.71,-6.5,감소,4
04,elect,전기 사용량,-0.6395,-264226.1071,16416705.42,-1.61,감소,15
04,helect,전기 사용량,-0.5266,-1839.8909,96817.91,-1.9,감소,11
04,waterCool,수도 사용량,0.6973,65455.5357,4258812.58,1.54,증가,15
04,hwaterCool,수도 사용량,-0.8114,-111.8,5361.09,-2.09,감소,11
05,gas,가스 사용량,-0.8977,-13851.4286,134961.79,-10.26,감소,4
05,elect,전기 사용량,-0.6037,-221448.0357,14426488.25,-1.54,감소,15
05,helect,전기 사용량,-0.535,-1737.9545,89578.41,-1.94,감소,11
05,waterCool,수도 사용량,0.7823,80670.0357,4223816.42,1.91,증가,15
05,hwaterCool,수도 사용량,-0.7947,-107.5364,5492.14,-1.96,감소,11
06,gas,가스 사용량,-0.6125,-6549.2857,45072.86,-14.53,감소,4
06,elect,전기 사용량,0.411,413172.0357,10853047.75,3.81,증가,15
06,helect,전기 사용량,-0.8055,-2310.6,96263.45,-2.4,감소,11
06,waterCool,수도 사용량,-0.1065,-73333.6071,6740811.92,-1.09,감소,15
06,hwaterCool,수도 사용량,-0.6122,-64.3,5476.77,-1.17,감소,11
07,gas,가스 사용량,-0.7498,-1347.8571,8846.07,-15.24,감소,4
07,elect,전기 사용량,-0.0096,-4440.5607,15247839.86,-0.03,감소,15
07,helect,전기 사용량,-0.36,-761.0455,96013.41,-0.79,감소,11
07,waterCool,수도 사용량,0.634,65307.0714,4634195.83,1.41,증가,15
07,hwaterCool,수도 사용량,-0.8729,-112.9909,5715.14,-1.98,감소,11
08,gas,가스 사용량,-0.9067,-7608.5714,35173.21,-21.63,감소,4
08,elect,전기 사용량,0.0667,58069.6071,21404414.75,0.27,증가,15
08,helect,전기 사용량,0.1081,465.3182,117785.5,0.4,증가,11
08,waterCool,수도 사용량,0.4114,51732.6071,5117074.42,1.01,증가,15
08,hwaterCool,수도 사용량,-0.6479,-127.1364,6152.59,-2.07,감소,11
09,gas,가스 사용량,0.2913,111.4286,2578.21,4.32,증가,4
09,elect,전기 사용량,0.0369,33516.3214,15231625.75,0.22,증가,15
09,helect,전기 사용량,-0.0844,-198.0727,96402.09,-0.21,감소,11
09,waterCool,수도 사용량,0.6095,65384.75,4967724.75,1.32,증가,15
09,hwaterCool,수도 사용량,-0.6589,-116.7727,6106.86,-1.91,감소,11
10,gas,가스 사용량,-0.9529,-3307.1429,16161.43,-20.46,감소,4
10,elect,전기 사용량,-0.366,-140541.5714,13851056.33,-1.01,감소,15
10,helect,전기 사용량,-0.3982,-2457.5091,87977.73,-2.79,감소,11
10,waterCool,수도 사용량,0.6339,62247.0357,4611065.42,1.35,증가,15
10,hwaterCool,수도 사용량,-0.3881,-171.3455,5506.64,-3.11,감소,11
11,gas,가스 사용량,-0.8178,-14755.5224,112275.67,-13.14,감소,5
11,elect,전기 사용량,-0.5909,-225877.6786,16050382.42,-1.41,감소,15
11,helect,전기 사용량,-0.7967,-2424.5636,99098.82,-2.45,감소,11
11,waterCool,수도 사용량,0.6569,73127.75,4360710.42,1.68,증가,15
11,hwaterCool,수도 사용량,-0.9047,-119.4545,5544.55,-2.15,감소,11
12,gas,가스 사용량,0.0862,907.4699,123676.99,0.73,증가,4
12,elect,전기 사용량,-0.3174,-133952.1786,16917887.92,-0.79,감소,15
12,helect,전기 사용량,-0.6619,-1872.5636,102282.27,-1.83,감소,11
12,waterCool,수도 사용량,0.6772,50249.1071,4371416.92,1.15,증가,15
12,hwaterCool,수도 사용량,-0.8537,-94.3182,5302.68,-1.78,감소,11
