month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6856,-534391.5294,35555120.22,-1.5,감소,16
01,helect,전기 사용량,-0.7291,-916.6119,148122.78,-0.62,감소,12
01,waterCool,수도 사용량,0.9644,301482.4412,5205219.19,5.79,증가,16
01,hwaterCool,수도 사용량,0.3809,34.2028,8184.22,0.42,증가,12
02,elect,전기 사용량,-0.6517,-492754.6471,34312954.85,-1.44,감소,16
02,helect,전기 사용량,-0.8738,-1187.5175,147761.18,-0.8,감소,12
02,waterCool,수도 사용량,0.9796,311347.7353,5528968.24,5.63,증가,16
02,hwaterCool,수도 사용량,0.2537,18.7657,8388.87,0.22,증가,12
03,elect,전기 사용량,-0.4983,-293766.3214,25612001.58,-1.15,감소,15
03,helect,전기 사용량,-0.6245,-1073.2909,128003.45,-0.84,감소,11
03,waterCool,수도 사용량,0.9701,305244.5,4894445.83,6.24,증가,15
03,hwaterCool,수도 사용량,0.4058,47.6545,7517.55,0.63,증가,11
04,elect,전기 사용량,-0.6947,-472499.75,28789742.92,-1.64,감소,15
04,helect,전기 사용량,-0.9216,-1494.0455,135961.68,-1.1,감소,11
04,waterCool,수도 사용량,0.9751,324968.6429,5464014.83,5.95,증가,15
04,hwaterCool,수도 사용량,0.505,47.6182,8380.91,0.57,증가,11
05,elect,전기 사용량,-0.63,-377084.5714,25795428.67,-1.46,감소,15
05,helect,전기 사용량,-0.898,-1441.7636,128572.82,-1.12,감소,11
05,waterCool,수도 사용량,0.9643,309210.3571,5619401.5,5.5,증가,15
05,hwaterCool,수도 사용량,0.4022,32.6636,8344.14,0.39,증가,11
06,elect,전기 사용량,-0.4826,-317143.0893,26946125.16,-1.18,감소,15
06,helect,전기 사용량,-0.5562,-832.4,133497.09,-0.62,감소,11
06,waterCool,수도 사용량,0.9634,300206.1071,6096253.92,4.92,증가,15
06,hwaterCool,수도 사용량,0.1121,10.2182,9067.82,0.11,증가,11
07,elect,전기 사용량,-0.1526,-136576.3964,28521706.57,-0.48,감소,15
07,helect,전기 사용량,0.461,1708.7545,141149.59,1.21,증가,11
07,waterCool,수도 사용량,0.9799,323527.8929,6053458.08,5.34,증가,15
07,hwaterCool,수도 사용량,0.1169,9.9,8964.95,0.11,증가,11
08,elect,전기 사용량,-0.0087,-15167.8964,37315191.87,-0.04,감소,15
08,helect,전기 사용량,0.6311,4855.9182,163475.23,2.97,증가,11
08,waterCool,수도 사용량,0.9838,332405.3571,6158419.17,5.4,증가,15
08,hwaterCool,수도 사용량,0.3397,32.4364,9163.09,0.35,증가,11
09,elect,전기 사용량,-0.0181,-23303.75,25580147.58,-0.09,감소,15
09,helect,전기 사용량,0.488,2094.4727,126296.27,1.66,증가,11
09,waterCool,수도 사용량,0.9867,318796.6429,6147034.83,5.19,증가,15
09,hwaterCool,수도 사용량,0.3278,33.8818,8980.14,0.38,증가,11
10,elect,전기 사용량,-0.5217,-305553.3571,25038809.5,-1.22,감소,15
10,helect,전기 사용량,-0.8863,-1180.2455,127155.05,-0.93,감소,11
10,waterCool,수도 사용량,0.9551,304418.6786,5730725.25,5.31,증가,15
10,hwaterCool,수도 사용량,0.2876,28.6727,8480.09,0.34,증가,11
11,elect,전기 사용량,-0.6379,-474694.3571,29527473.83,-1.61,감소,15
11,helect,전기 사용량,-0.9005,-1354.0455,137018.86,-0.99,감소,11
11,waterCool,수도 사용량,0.9645,300450.5357,5774140.25,5.2,증가,15
11,hwaterCool,수도 사용량,0.2547,20.8818,8566.05,0.24,증가,11
12,elect,전기 사용량,-0.5545,-435300.9643,30350678.08,-1.43,감소,15
12,helect,전기 사용량,-0.7424,-974.5182,139593.05,-0.7,감소,11
12,waterCool,수도 사용량,0.964,289369.0357,5499063.42,5.26,증가,15
12,hwaterCool,수도 사용량,0.2124,18.9545,8084.77,0.23,증가,11
