month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.2092,-1999417.1464,193596352.36,-1.03,감소,15
01,hheat,난방 사용량,-0.5326,-3249.9021,123068.13,-2.64,감소,12
01,waterHot,급탕 사용량,0.6396,1829399.25,41419908.92,4.42,증가,15
01,hwaterHot,급탕 사용량,0.0886,19.0594,12795.42,0.15,증가,12
01,elect,전기 사용량,-0.3412,-748383.4,86969659.0,-0.86,감소,15
01,helect,전기 사용량,-0.0767,-701.3776,516615.41,-0.14,감소,12
01,waterCool,수도 사용량,0.4615,230118.1027,490475.36,46.92,증가,12
02,heat,난방 사용량,0.0024,18450.5036,136170503.68,0.01,증가,15
02,hheat,난방 사용량,-0.3797,-2037.3217,89536.44,-2.28,감소,12
02,waterHot,급탕 사용량,0.0578,164888.2143,51051502.5,0.32,증가,15
02,hwaterHot,급탕 사용량,-0.8602,-448.7168,15038.53,-2.98,감소,12
02,elect,전기 사용량,-0.3339,-728893.4286,84716128.07,-0.86,감소,15
02,helect,전기 사용량,-0.7209,-11415.9091,566790.0,-2.01,감소,12
02,waterCool,수도 사용량,0.4346,227783.4644,561641.46,40.56,증가,13
03,heat,난방 사용량,-0.4514,-2480539.0857,105261611.63,-2.36,감소,14
03,hheat,난방 사용량,-0.3961,-1022.8091,49711.41,-2.06,감소,11
03,waterHot,급탕 사용량,-0.1564,-360762.4176,55572991.43,-0.65,감소,14
03,hwaterHot,급탕 사용량,-0.738,-208.0636,13311.68,-1.56,감소,11
03,elect,전기 사용량,-0.3685,-823192.189,67903972.09,-1.21,감소,14
03,helect,전기 사용량,-0.8032,-6022.1182,460005.14,-1.31,감소,11
03,waterCool,수도 사용량,0.6087,575033.6813,-1021420.16,-56.3,증가,13
04,heat,난방 사용량,-0.7537,-2598712.3929,58673958.82,-4.43,감소,15
04,hheat,난방 사용량,0.392,5701.2182,2877.0,198.17,증가,11
04,waterHot,급탕 사용량,0.363,558981.7857,35360713.5,1.58,증가,15
04,hwaterHot,급탕 사용량,-0.3307,-48.5545,11784.86,-0.41,감소,11
04,elect,전기 사용량,-0.5559,-1018756.7821,73492096.21,-1.39,감소,15
04,helect,전기 사용량,-0.2354,-1607.6091,470309.14,-0.34,감소,11
04,waterCool,수도 사용량,-0.127,-56970.25,2538861.42,-2.24,감소,15
05,heat,난방 사용량,-0.3391,-445063.0071,18143849.98,-2.45,감소,15
05,hheat,난방 사용량,0.2587,133.7273,2409.91,5.55,증가,11
05,waterHot,급탕 사용량,0.1149,145686.7857,32310489.17,0.45,증가,15
05,hwaterHot,급탕 사용량,-0.1217,-25.9273,10191.73,-0.25,감소,11
05,elect,전기 사용량,-0.5204,-935060.6786,63751310.02,-1.47,감소,15
05,helect,전기 사용량,-0.265,-2933.5,445982.59,-0.66,감소,11
05,waterCool,수도 사용량,-0.0857,-14463.9582,1443414.36,-1.0,감소,13
06,heat,난방 사용량,0.5462,206917.1714,5402113.07,3.83,증가,15
06,hheat,난방 사용량,1.0,170.6667,244.0,69.95,증가,2
06,waterHot,급탕 사용량,-0.1058,-123214.9286,22540127.7,-0.55,감소,15
06,hwaterHot,급탕 사용량,0.0479,30.5273,7633.64,0.4,증가,11
06,elect,전기 사용량,-0.3566,-680076.1107,64876136.91,-1.05,감소,15
06,helect,전기 사용량,-0.4389,-3191.6545,467376.27,-0.68,감소,11
06,waterCool,수도 사용량,-0.1402,-63741.8047,2458202.57,-2.59,감소,14
07,heat,난방 사용량,0.3571,92670.0176,6509458.89,1.42,증가,14
07,hheat,난방 사용량,-1.0,-73.5,756.0,-9.72,감소,2
07,waterHot,급탕 사용량,-0.1947,-216426.6286,19309946.13,-1.12,감소,15
