month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.5141,-279294.4643,19296829.25,-1.45,감소,15
01,helect,전기 사용량,-0.5137,-510.5159,85406.13,-0.6,감소,11
01,waterCool,수도 사용량,0.9414,144317.1429,3664087.33,3.94,증가,15
01,hwaterCool,수도 사용량,-0.864,-63.7376,6117.64,-1.04,감소,11
02,elect,전기 사용량,-0.3709,-200283.4239,19088794.95,-1.05,감소,14
02,helect,전기 사용량,-0.6005,-428.3241,84796.75,-0.51,감소,8
02,waterCool,수도 사용량,0.924,146144.4946,3695134.4,3.96,증가,14
02,hwaterCool,수도 사용량,-0.4551,-24.9815,5820.03,-0.43,감소,8
03,elect,전기 사용량,-0.3725,-159013.7857,14709483.83,-1.08,감소,15
03,helect,전기 사용량,-0.474,-1013.75,82586.0,-1.23,감소,9
03,waterCool,수도 사용량,0.9103,123229.5714,3588899.67,3.43,증가,15
03,hwaterCool,수도 사용량,-0.7511,-91.1347,6233.99,-1.46,감소,9
04,elect,전기 사용량,-0.5624,-240243.0357,15948598.58,-1.51,감소,15
04,helect,전기 사용량,-0.4743,-299.198,77974.57,-0.38,감소,9
04,waterCool,수도 사용량,0.9063,129400.7857,3707372.5,3.49,증가,15
04,hwaterCool,수도 사용량,-0.7644,-55.9347,6197.56,-0.9,감소,9
05,elect,전기 사용량,-0.5265,-193647.1786,14119367.58,-1.37,감소,15
05,helect,전기 사용량,-0.7716,-494.9302,73022.26,-0.68,감소,10
05,waterCool,수도 사용량,0.9537,119623.7143,3802718.67,3.15,증가,15
05,hwaterCool,수도 사용량,-0.6216,-79.8191,6384.81,-1.25,감소,10
06,elect,전기 사용량,-0.5975,-243583.0,14678320.33,-1.66,감소,15
06,helect,전기 사용량,-0.6488,-487.3818,74563.45,-0.65,감소,11
06,waterCool,수도 사용량,0.9098,126079.0357,4102994.75,3.07,증가,15
06,hwaterCool,수도 사용량,-0.5535,-67.1727,6638.41,-1.01,감소,11
07,elect,전기 사용량,-0.3734,-164620.6071,14970378.92,-1.1,감소,15
07,helect,전기 사용량,0.1887,163.8396,76267.11,0.21,증가,9
07,waterCool,수도 사용량,0.9227,129247.5,4049382.17,3.19,증가,15
07,hwaterCool,수도 사용량,-0.8004,-55.8231,6708.68,-0.83,감소,9
08,elect,전기 사용량,-0.2822,-318592.8214,22902201.08,-1.39,감소,15
08,helect,전기 사용량,0.2574,1267.9455,98357.0,1.29,증가,11
08,waterCool,수도 사용량,0.9599,132037.4643,4130277.75,3.2,증가,15
08,hwaterCool,수도 사용량,-0.8746,-147.6455,7032.77,-2.1,감소,11
09,elect,전기 사용량,0.1553,169129.8214,14645493.92,1.15,증가,15
09,helect,전기 사용량,0.8505,3656.2027,73827.75,4.95,증가,10
09,waterCool,수도 사용량,0.8909,150795.5357,3990044.58,3.78,증가,15
09,hwaterCool,수도 사용량,-0.3621,-36.6837,6575.66,-0.56,감소,10
10,elect,전기 사용량,-0.0289,-12791.6429,13006652.17,-0.1,감소,15
10,helect,전기 사용량,0.5774,878.9364,68561.05,1.28,증가,11
10,waterCool,수도 사용량,0.9301,140909.6429,3718030.5,3.79,증가,15
10,hwaterCool,수도 사용량,-0.7324,-62.8909,6365.09,-0.99,감소,11
11,elect,전기 사용량,-0.4647,-320867.5357,15555560.08,-2.06,감소,15
11,helect,전기 사용량,-0.1226,-387.9502,72763.17,-0.53,감소,10
11,waterCool,수도 사용량,0.9182,125887.1071,3860759.58,3.26,증가,15
11,hwaterCool,수도 사용량,-0.716,-74.119,6206.05,-1.19,감소,10
12,elect,전기 사용량,-0.6483,-316147.3571,16851268.17,-1.88,감소,15
12,helect,전기 사용량,-0.9197,-944.4152,80918.11,-1.17,감소,7
12,waterCool,수도 사용량,0.965,125101.6071,3538038.75,3.54,증가,15
12,hwaterCool,수도 사용량,-0.4902,-39.1184,5941.5,-0.66,감소,7
