month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.4177,-1781904.6429,120999275.17,-1.47,감소,15
01,waterHot,급탕 사용량,0.0321,25084.6429,16550981.5,0.15,증가,15
01,hwaterHot,급탕 사용량,-0.2398,-49.7762,4283.27,-1.16,감소,12
01,elect,전기 사용량,-0.0481,-42428.0357,35523318.92,-0.12,감소,15
01,helect,전기 사용량,-0.4902,-4023.007,219799.04,-1.83,감소,12
01,waterCool,수도 사용량,0.0942,26324.9643,769681.58,3.42,증가,15
02,heat,난방 사용량,-0.4475,-1573491.5714,100325319.67,-1.57,감소,15
02,waterHot,급탕 사용량,0.0674,53779.7857,16213993.5,0.33,증가,15
02,hwaterHot,급탕 사용량,-0.2568,-49.1399,4250.1,-1.16,감소,12
02,elect,전기 사용량,-0.0427,-35611.25,34588194.75,-0.1,감소,15
02,helect,전기 사용량,-0.7456,-918.8741,192722.47,-0.48,감소,12
02,waterCool,수도 사용량,0.4695,120772.6607,347458.38,34.76,증가,15
03,heat,난방 사용량,-0.7422,-2920242.967,81738231.43,-3.57,감소,14
03,waterHot,급탕 사용량,0.2781,406937.4505,15532742.29,2.62,증가,14
03,hwaterHot,급탕 사용량,-0.0641,-23.8364,4742.82,-0.5,감소,11
03,elect,전기 사용량,-0.1213,-108689.4505,27772064.29,-0.39,감소,14
03,helect,전기 사용량,-0.5568,-3054.3455,185044.36,-1.65,감소,11
03,waterCool,수도 사용량,0.1708,55536.1429,519254.71,10.7,증가,14
04,heat,난방 사용량,-0.7684,-2525450.7253,48857602.57,-5.17,감소,14
04,waterHot,급탕 사용량,0.2553,214054.3516,13826647.43,1.55,증가,14
04,hwaterHot,급탕 사용량,-0.0883,-15.2818,3865.59,-0.4,감소,11
04,elect,전기 사용량,-0.2932,-226127.3407,31062134.86,-0.73,감소,14
04,helect,전기 사용량,-0.8358,-1503.8909,185150.91,-0.81,감소,11
04,waterCool,수도 사용량,0.3339,151805.978,1308157.57,11.6,증가,14
05,heat,난방 사용량,-0.4193,-556995.4505,16823189.71,-3.31,감소,14
05,waterHot,급탕 사용량,0.2091,123297.1648,13016084.86,0.95,증가,14
05,hwaterHot,급탕 사용량,-0.3226,-22.2909,3512.55,-0.63,감소,11
05,elect,전기 사용량,-0.3418,-272425.0549,29102841.43,-0.94,감소,14
05,helect,전기 사용량,-0.6259,-3311.0273,191799.68,-1.73,감소,11
05,waterCool,수도 사용량,0.4052,198494.6044,1224851.14,16.21,증가,14
06,heat,난방 사용량,-0.5055,-283212.4615,9769228.86,-2.9,감소,14
06,waterHot,급탕 사용량,0.6154,335995.956,9317436.29,3.61,증가,14
06,hwaterHot,급탕 사용량,0.6022,48.6727,2566.91,1.9,증가,11
06,elect,전기 사용량,-0.2776,-278229.3846,32889113.14,-0.85,감소,14
06,helect,전기 사용량,-0.4052,-950.1636,192812.45,-0.49,감소,11
06,waterCool,수도 사용량,0.4959,164058.1319,1041770.71,15.75,증가,14
07,heat,난방 사용량,-0.4102,-246881.8242,7335935.43,-3.37,감소,14
07,waterHot,급탕 사용량,0.4632,252468.5495,7899358.0,3.2,증가,14
07,hwaterHot,급탕 사용량,0.5516,49.0545,2014.82,2.43,증가,11
07,elect,전기 사용량,-0.2496,-311494.8791,37974691.71,-0.82,감소,14
07,helect,전기 사용량,0.4702,2616.9545,212905.95,1.23,증가,11
07,waterCool,수도 사용량,0.6192,220645.6703,962406.71,22.93,증가,14
08,heat,난방 사용량,-0.4061,-241191.0989,5868288.57,-4.11,감소,14
08,waterHot,급탕 사용량,0.5023,288887.2308,4751825.14,6.08,증가,14
08,hwaterHot,급탕 사용량,0.6483,89.1545,1141.95,7.81,증가,11
08,elect,전기 사용량,-0.2299,-544402.2857,49465949.14,-1.1,감소,14
08,helect,전기 사용량,0.3902,3331.2,266301.45,1.25,증가,11
08,waterCool,수도 사용량,0.4253,158535.2967,1473744.14,10.76,증가,14
09,heat,난방 사용량,-0.8174,-642973.3571,11914876.83,-5.4,감소,15
09,waterHot,급탕 사용량,0.7298,310685.0,6685223.0,4.65,증가,15
09,hwaterHot,급탕 사용량,0.3282,30.4545,2123.64,1.43,증가,11
09,elect,전기 사용량,0.0248,37002.0357,32430228.42,0.11,증가,15
09,helect,전기 사용량,0.5957,4000.9273,179796.18,2.23,증가,11
09,waterCool,수도 사용량,0.3696,126196.6964,1160481.12,10.87,증가,15
10,heat,난방 사용량,-0.7234,-1599767.5929,33666453.75,-4.75,감소,15
10,waterHot,급탕 사용량,0.2819,157599.4286,10763568.0,1.46,증가,15
10,hwaterHot,급탕 사용량,-0.1994,-14.6364,2959.09,-0.49,감소,11
10,elect,전기 사용량,-0.2636,-185796.3571,29015305.17,-0.64,감소,15
10,helect,전기 사용량,-0.5548,-2872.5636,191205.36,-1.5,감소,11
10,waterCool,수도 사용량,0.0532,20536.375,1316646.37,1.56,증가,15
11,heat,난방 사용량,-0.5762,-1945939.1071,75642007.75,-2.57,감소,15
11,waterHot,급탕 사용량,0.1559,86144.8214,13483569.58,0.64,증가,15
11,hwaterHot,급탕 사용량,-0.1251,-8.6545,3390.64,-0.26,감소,11
11,elect,전기 사용량,-0.3193,-249337.5714,33024116.33,-0.76,감소,15
11,helect,전기 사용량,-0.6279,-3624.1818,201757.64,-1.8,감소,11
11,waterCool,수도 사용량,-0.0775,-30519.6607,1409983.29,-2.16,감소,15
12,heat,난방 사용량,-0.3029,-1175185.9643,111125411.08,-1.06,감소,15
12,waterHot,급탕 사용량,0.0039,2811.8929,16113594.08,0.02,증가,15
