month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.3185,944147.2088,54951586.0,1.72,증가,14
01,hheat,난방 사용량,-0.7342,-2604.6818,64562.17,-4.03,감소,12
01,waterHot,급탕 사용량,-0.5604,-498318.3516,12706075.71,-3.92,감소,14
01,hwaterHot,급탕 사용량,-0.3451,-111.6958,4673.41,-2.39,감소,12
01,elect,전기 사용량,0.0249,3376.0659,5554629.14,0.06,증가,14
01,waterCool,수도 사용량,0.707,130330.6593,9524461.43,1.37,증가,14
01,hwaterCool,수도 사용량,-0.6315,-402.0979,13134.87,-3.06,감소,12
02,heat,난방 사용량,0.0809,108547.9286,43703371.17,0.25,증가,15
02,hheat,난방 사용량,-0.635,-2285.0909,50534.09,-4.52,감소,11
02,waterHot,급탕 사용량,-0.8116,-872454.2198,16339384.57,-5.34,감소,14
02,hwaterHot,급탕 사용량,-0.0877,-33.3091,4841.55,-0.69,감소,11
02,elect,전기 사용량,-0.0362,-4725.2967,5476610.86,-0.09,감소,14
02,waterCool,수도 사용량,0.4243,46419.7582,9303633.71,0.5,증가,14
02,hwaterCool,수도 사용량,-0.1133,-96.4091,11706.05,-0.82,감소,11
03,heat,난방 사용량,-0.3246,-506262.5621,37386925.46,-1.35,감소,14
03,hheat,난방 사용량,-0.8933,-2132.4091,34000.32,-6.27,감소,11
03,waterHot,급탕 사용량,-0.8855,-590321.2088,12368250.33,-4.77,감소,13
03,hwaterHot,급탕 사용량,-0.8754,-134.2727,4388.55,-3.06,감소,11
03,elect,전기 사용량,-0.2296,-23480.7751,4050498.62,-0.58,감소,14
03,waterCool,수도 사용량,0.5294,70367.426,9599762.69,0.73,증가,14
03,hwaterCool,수도 사용량,-0.1975,-1011.6545,20518.36,-4.93,감소,11
04,heat,난방 사용량,-0.1654,-130955.7143,13751665.71,-0.95,감소,14
04,hheat,난방 사용량,-0.5001,-653.7,13030.59,-5.02,감소,11
04,waterHot,급탕 사용량,-0.9182,-599660.8132,11955913.14,-5.02,감소,14
04,hwaterHot,급탕 사용량,-0.6543,-59.6909,3994.73,-1.49,감소,11
04,elect,전기 사용량,-0.3227,-23722.7033,3817649.71,-0.62,감소,14
04,waterCool,수도 사용량,0.4774,75743.4066,9485735.71,0.8,증가,14
04,hwaterCool,수도 사용량,-0.7456,-211.2455,11561.23,-1.83,감소,11
05,heat,난방 사용량,0.364,145896.6813,4239039.43,3.44,증가,14
05,hheat,난방 사용량,-0.5864,-170.4818,2948.68,-5.78,감소,11
05,waterHot,급탕 사용량,-0.6938,-407882.3077,9107584.62,-4.48,감소,13
05,hwaterHot,급탕 사용량,-0.5962,-36.7727,3575.05,-1.03,감소,11
05,elect,전기 사용량,-0.4643,-29840.5714,3366488.0,-0.89,감소,14
05,waterCool,수도 사용량,0.7159,122683.7802,9477668.29,1.29,증가,14
05,hwaterCool,수도 사용량,-0.8505,-226.9909,12146.59,-1.87,감소,11
06,heat,난방 사용량,0.6555,66599.8929,1587528.75,4.2,증가,15
06,hheat,난방 사용량,-0.1149,-5268.6842,78974.26,-6.67,감소,3
06,waterHot,급탕 사용량,-0.6458,-147174.1429,5126639.0,-2.87,감소,15
06,hwaterHot,급탕 사용량,-0.5759,-47.2,3033.91,-1.56,감소,11
06,elect,전기 사용량,-0.3131,-20536.0,3515322.0,-0.58,감소,15
06,waterCool,수도 사용량,0.4403,64569.3571,9847779.83,0.66,증가,15
06,hwaterCool,수도 사용량,-0.7951,-289.9,12232.68,-2.37,감소,11
07,heat,난방 사용량,0.6225,55779.1598,1589988.38,3.51,증가,14
07,waterHot,급탕 사용량,-0.4075,-83197.0414,3667492.31,-2.27,감소,14
07,hwaterHot,급탕 사용량,-0.1824,-26.4273,2360.32,-1.12,감소,11
07,elect,전기 사용량,-0.5839,-40593.2426,3947401.23,-1.03,감소,14
07,waterCool,수도 사용량,0.7675,129003.2781,9653522.08,1.34,증가,14
07,hwaterCool,수도 사용량,-0.5804,-464.0818,12956.59,-3.58,감소,11
08,heat,난방 사용량,0.2988,19852.0357,1692957.08,1.17,증가,15
08,waterHot,급탕 사용량,-0.507,-89498.3571,3218251.83,-2.78,감소,15
08,hwaterHot,급탕 사용량,0.2238,41.9727,2061.68,2.04,증가,11
08,elect,전기 사용량,-0.656,-70593.3571,4366170.83,-1.62,감소,15
08,waterCool,수도 사용량,0.2156,38582.9643,10214859.92,0.38,증가,15
08,hwaterCool,수도 사용량,-0.1759,-142.2545,12833.18,-1.11,감소,11
09,heat,난방 사용량,0.0245,3026.8352,2051210.57,0.15,증가,14
09,hheat,난방 사용량,1.0,102.0,59.0,172.88,증가,2
09,waterHot,급탕 사용량,-0.7047,-165914.6593,4396361.71,-3.77,감소,14
09,hwaterHot,급탕 사용량,-0.4007,-28.2,2626.73,-1.07,감소,11
09,elect,전기 사용량,-0.7323,-63145.5165,3512945.14,-1.8,감소,14
09,waterCool,수도 사용량,0.0498,7023.5824,10428761.71,0.07,증가,14
09,hwaterCool,수도 사용량,-0.8445,-255.6091,12172.95,-2.1,감소,11
10,heat,난방 사용량,-0.3932,-489520.2143,13940240.17,-3.51,감소,15
10,hheat,난방 사용량,-0.1391,-149.1636,7129.55,-2.09,감소,11
10,waterHot,급탕 사용량,-0.7226,-322625.3571,7938133.5,-4.06,감소,15
10,hwaterHot,급탕 사용량,-0.139,-12.1818,3051.36,-0.4,감소,11
10,elect,전기 사용량,-0.6251,-73705.1071,3736221.08,-1.97,감소,15
10,waterCool,수도 사용량,0.437,72825.8214,9621103.25,0.76,증가,15
