month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.261,-2594505.8252,147274688.54,-1.76,감소,12
01,hheat,난방 사용량,-0.6921,-4388.2364,209602.36,-2.09,감소,10
01,waterHot,급탕 사용량,-0.3599,-720807.6923,29207192.31,-2.47,감소,12
01,hwaterHot,급탕 사용량,-0.3599,-240.2692,9735.73,-2.47,감소,12
01,elect,전기 사용량,0.2262,82408.7738,12102518.96,0.68,증가,8
01,helect,전기 사용량,-0.5942,-1963.1786,95961.62,-2.05,감소,8
02,heat,난방 사용량,-0.5219,-4010213.4091,143108994.0,-2.8,감소,12
02,hheat,난방 사용량,-0.865,-5307.0,192271.8,-2.76,감소,10
02,waterHot,급탕 사용량,-0.0105,-29276.2238,25994769.23,-0.11,감소,12
02,hwaterHot,급탕 사용량,-0.0105,-9.7587,8664.92,-0.11,감소,12
02,elect,전기 사용량,0.1859,31358.4712,12512916.85,0.25,증가,7
02,helect,전기 사용량,-0.7381,-2402.0833,99089.46,-2.42,감소,8
03,heat,난방 사용량,-0.5575,-4856100.3636,109751094.0,-4.42,감소,11
03,hheat,난방 사용량,-0.8308,-4443.85,152863.51,-2.91,감소,9
03,waterHot,급탕 사용량,-0.143,-518236.3636,37559727.27,-1.38,감소,11
03,hwaterHot,급탕 사용량,-0.143,-172.7455,12519.91,-1.38,감소,11
03,elect,전기 사용량,-0.5772,-104655.5789,10666545.53,-0.98,감소,6
03,helect,전기 사용량,-0.6346,-2311.5674,82214.08,-2.81,감소,7
03,waterCool,수도 사용량,-1.0,-129826.25,519310.0,-25.0,감소,2
04,heat,난방 사용량,-0.6877,-3877382.5818,66919596.55,-5.79,감소,11
04,hheat,난방 사용량,-0.7545,-3304.3167,92018.27,-3.59,감소,9
04,waterHot,급탕 사용량,-0.1963,-490400.0,29619545.45,-1.66,감소,11
04,hwaterHot,급탕 사용량,-0.1957,-162.8091,9875.32,-1.65,감소,11
04,elect,전기 사용량,-0.7953,-160998.1694,8529153.22,-1.89,감소,8
04,helect,전기 사용량,-0.8181,-3524.918,80648.78,-4.37,감소,8
05,heat,난방 사용량,-0.4783,-1153267.3091,27705302.45,-4.16,감소,11
05,hheat,난방 사용량,-0.5677,-1607.1167,54041.58,-2.97,감소,9
05,waterHot,급탕 사용량,-0.2942,-113863.6364,21380045.45,-0.53,감소,11
05,hwaterHot,급탕 사용량,-0.2942,-37.9545,7126.68,-0.53,감소,11
05,elect,전기 사용량,-0.6736,-186871.5027,7459724.89,-2.51,감소,8
05,helect,전기 사용량,-0.7417,-3867.6995,68433.02,-5.65,감소,8
06,heat,난방 사용량,0.0185,25399.8273,10776394.95,0.24,증가,11
06,hheat,난방 사용량,-0.2553,-630.8667,33931.8,-1.86,감소,9
06,waterHot,급탕 사용량,-0.4891,-218611.6364,17675536.36,-1.24,감소,11
06,hwaterHot,급탕 사용량,-0.6967,-87.8545,6088.0,-1.44,감소,11
06,elect,전기 사용량,-0.6467,-213465.3005,7505482.98,-2.84,감소,8
06,helect,전기 사용량,-0.7097,-3137.5574,62107.7,-5.05,감소,8
07,heat,난방 사용량,-0.4731,-661228.5844,11582398.6,-5.71,감소,10
07,hheat,난방 사용량,-0.6088,-281.0595,24923.08,-1.13,감소,8
07,waterHot,급탕 사용량,-0.0104,-5322.6773,15025810.19,-0.04,감소,10
07,hwaterHot,급탕 사용량,-0.0084,-1.4346,5008.8,-0.03,감소,10
07,elect,전기 사용량,-0.277,-174200.3279,7499421.89,-2.32,감소,8
07,helect,전기 사용량,-0.6032,-2806.2367,55022.75,-5.1,감소,7
08,heat,난방 사용량,-0.2823,-328592.1182,7445795.41,-4.41,감소,11
