month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.212,1001765.2198,51260649.45,1.95,증가,13
01,hheat,난방 사용량,-0.5678,-1833.1776,64140.29,-2.86,감소,11
01,waterHot,급탕 사용량,-0.6527,-93403.3771,12947670.83,-0.72,감소,12
01,hwaterHot,급탕 사용량,-0.5484,-16.0674,2600.66,-0.62,감소,11
01,elect,전기 사용량,0.1155,150884.7143,25517820.53,0.59,증가,15
01,helect,전기 사용량,-0.4754,-2308.713,128270.72,-1.8,감소,11
01,waterCool,수도 사용량,0.586,266819.8214,4629047.25,5.76,증가,15
01,hwaterCool,수도 사용량,-0.7491,-80.3772,7319.71,-1.1,감소,11
02,heat,난방 사용량,0.1255,437045.9121,42403960.86,1.03,증가,14
02,hheat,난방 사용량,-0.3715,-556.3385,42256.57,-1.32,감소,11
02,waterHot,급탕 사용량,-0.8379,-179989.9625,12755196.44,-1.41,감소,12
02,hwaterHot,급탕 사용량,-0.821,-38.8124,2582.11,-1.5,감소,11
02,elect,전기 사용량,0.17,183230.3,20891619.7,0.88,증가,15
02,helect,전기 사용량,-0.5838,-2321.98,116250.79,-2.0,감소,11
02,waterCool,수도 사용량,0.4962,185072.5714,4744662.67,3.9,증가,15
02,hwaterCool,수도 사용량,-0.8694,-118.2891,7062.2,-1.67,감소,11
03,heat,난방 사용량,-0.4003,-690859.489,34788859.16,-1.99,감소,13
03,hheat,난방 사용량,-0.5956,-509.0818,26050.05,-1.95,감소,11
03,waterHot,급탕 사용량,-0.2938,-54551.049,12025730.77,-0.45,감소,12
03,hwaterHot,급탕 사용량,-0.3126,-13.4909,2458.82,-0.55,감소,11
03,elect,전기 사용량,-0.0892,-37861.3648,23281486.66,-0.16,감소,14
03,helect,전기 사용량,-0.5276,-2612.8727,120879.09,-2.16,감소,11
03,waterCool,수도 사용량,0.8888,182439.0549,5362579.71,3.4,증가,14
03,hwaterCool,수도 사용량,-0.4273,-60.4818,7150.95,-0.85,감소,11
04,heat,난방 사용량,-0.4977,-475870.989,16557912.86,-2.87,감소,13
04,hheat,난방 사용량,-0.2709,-239.3545,10179.5,-2.35,감소,11
04,waterHot,급탕 사용량,-0.586,-85701.3986,7902341.03,-1.08,감소,12
04,hwaterHot,급탕 사용량,-0.4751,-20.9091,2270.36,-0.92,감소,11
04,elect,전기 사용량,-0.1134,-41583.9286,21321246.17,-0.2,감소,15
04,helect,전기 사용량,-0.6404,-3037.0,117075.45,-2.59,감소,11
04,waterCool,수도 사용량,0.9056,168777.6429,5120842.5,3.3,증가,15
04,hwaterCool,수도 사용량,-0.4508,-50.8364,7054.91,-0.72,감소,11
05,heat,난방 사용량,0.3929,140711.8681,3837973.41,3.67,증가,13
05,hheat,난방 사용량,0.1996,66.1909,1361.32,4.86,증가,11
05,waterHot,급탕 사용량,-0.0716,-17316.7832,6447258.97,-0.27,감소,12
05,hwaterHot,급탕 사용량,-0.4828,-15.5091,2014.18,-0.77,감소,11
05,elect,전기 사용량,-0.4123,-189597.6071,23012761.25,-0.82,감소,15
05,helect,전기 사용량,-0.6201,-2747.7364,116324.32,-2.36,감소,11
05,waterCool,수도 사용량,0.899,179849.3571,5485855.83,3.28,증가,15
05,hwaterCool,수도 사용량,-0.6858,-84.2273,7541.68,-1.12,감소,11
06,heat,난방 사용량,0.3873,68168.9011,2178565.05,3.13,증가,13
06,waterHot,급탕 사용량,-0.8599,-48747.9021,3248015.13,-1.5,감소,12
06,hwaterHot,급탕 사용량,-0.7648,-25.6,1692.0,-1.51,감소,11
06,elect,전기 사용량,-0.0304,-12740.55,22908642.25,-0.06,감소,15
06,helect,전기 사용량,-0.4228,-1543.2273,113093.95,-1.36,감소,11
06,waterCool,수도 사용량,0.8965,145227.3571,5700095.17,2.55,증가,15
06,hwaterCool,수도 사용량,-0.7793,-126.0455,7964.05,-1.58,감소,11
07,heat,난방 사용량,0.3354,64660.8242,2158784.29,3.0,증가,13
07,waterHot,급탕 사용량,-0.5766,-32274.4755,2529767.95,-1.28,감소,12
07,hwaterHot,급탕 사용량,-0.4375,-12.4727,1288.09,-0.97,감소,11
07,elect,전기 사용량,0.1587,173781.0357,29998099.42,0.58,증가,15
07,helect,전기 사용량,0.1432,781.1091,134482.64,0.58,증가,11
07,waterCool,수도 사용량,0.8904,180338.4643,5747449.42,3.14,증가,15
07,hwaterCool,수도 사용량,-0.4853,-72.5636,7770.27,-0.93,감소,11
08,heat,난방 사용량,0.2729,31171.044,2080216.81,1.5,증가,13
08,waterHot,급탕 사용량,-0.2789,-25440.2098,2141429.49,-1.19,감소,12
08,hwaterHot,급탕 사용량,-0.2462,-12.6909,1117.18,-1.14,감소,11
08,elect,전기 사용량,0.0263,36368.8964,30389887.66,0.12,증가,15
08,helect,전기 사용량,0.3688,1785.2455,131032.41,1.36,증가,11
08,waterCool,수도 사용량,0.8709,183014.989,5861394.0,3.12,증가,14
08,hwaterCool,수도 사용량,-0.6631,-82.9636,7878.27,-1.05,감소,11
09,heat,난방 사용량,-0.091,-19952.1429,2966837.47,-0.67,감소,13
09,hheat,난방 사용량,-0.0518,-2.7193,224.67,-1.21,감소,4
09,waterHot,급탕 사용량,-0.555,-42635.1648,2870503.3,-1.49,감소,13
09,hwaterHot,급탕 사용량,-0.6092,-31.2273,1522.77,-2.05,감소,11
09,elect,전기 사용량,0.0737,49896.7143,20867631.87,0.24,증가,15
09,helect,전기 사용량,-0.2454,-995.1909,109306.14,-0.91,감소,11
09,waterCool,수도 사용량,0.8727,156822.75,5657404.08,2.77,증가,15
09,hwaterCool,수도 사용량,-0.8594,-109.7545,7851.59,-1.4,감소,11
10,heat,난방 사용량,-0.0344,-35027.3626,10909704.18,-0.32,감소,13
10,hheat,난방 사용량,0.067,39.0182,5467.0,0.71,증가,11
10,waterHot,급탕 사용량,-0.4576,-203831.8681,7776098.9,-2.62,감소,13
10,hwaterHot,급탕 사용량,-0.5148,-86.3636,2339.55,-3.69,감소,11
10,elect,전기 사용량,-0.2688,-96585.0893,23127259.49,-0.42,감소,15
10,helect,전기 사용량,-0.5939,-2443.7,115693.32,-2.11,감소,11
10,waterCool,수도 사용량,0.9336,177698.0,5581509.33,3.18,증가,15
10,hwaterCool,수도 사용량,-0.6097,-89.7545,7525.23,-1.19,감소,11
11,heat,난방 사용량,-0.3758,-867453.022,33807156.59,-2.57,감소,13
11,hheat,난방 사용량,-0.4818,-575.2636,24326.5,-2.36,감소,11
11,waterHot,급탕 사용량,-0.4942,-228939.5604,8968452.75,-2.55,감소,13
11,hwaterHot,급탕 사용량,-0.6168,-108.0545,2768.91,-3.9,감소,11
11,elect,전기 사용량,-0.0057,-2064.9321,24474983.92,-0.01,감소,15
11,helect,전기 사용량,-0.5739,-2709.5182,120314.41,-2.25,감소,11
11,waterCool,수도 사용량,0.9229,194023.6786,5033089.58,3.85,증가,15
11,hwaterCool,수도 사용량,-0.7292,-77.6455,7208.05,-1.08,감소,11
