month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.4095,-1238624.8143,48365069.43,-2.56,감소,15
01,hheat,난방 사용량,-0.3127,-597.5944,40160.44,-1.49,감소,12
01,waterHot,급탕 사용량,0.3877,1120737.5857,9169530.5,12.22,증가,15
01,hwaterHot,급탕 사용량,-0.5828,-49.8077,3977.69,-1.25,감소,12
01,elect,전기 사용량,-0.3391,-48899.6786,4905379.08,-1.0,감소,15
01,helect,전기 사용량,-0.7684,-1047.2,41018.2,-2.55,감소,5
01,waterCool,수도 사용량,0.7024,120984.6071,6936810.42,1.74,증가,15
01,hwaterCool,수도 사용량,0.2762,162.7937,7657.05,2.13,증가,12
02,heat,난방 사용량,-0.3591,-790425.5221,35916488.1,-2.2,감소,16
02,hheat,난방 사용량,0.2298,655.458,24577.9,2.67,증가,12
02,waterHot,급탕 사용량,0.4234,769819.9235,10216325.32,7.54,증가,16
02,hwaterHot,급탕 사용량,-0.5463,-70.9056,4335.56,-1.64,감소,12
02,elect,전기 사용량,-0.1933,-24122.7353,4111853.01,-0.59,감소,16
02,helect,전기 사용량,-0.7754,-1000.5,36484.4,-2.74,감소,5
02,waterCool,수도 사용량,0.7625,120222.2206,6267688.97,1.92,증가,16
02,hwaterCool,수도 사용량,0.4142,229.993,6705.37,3.43,증가,12
03,heat,난방 사용량,0.2048,1128524.6,20162056.87,5.6,증가,15
03,hheat,난방 사용량,-0.7535,-1226.7,26861.23,-4.57,감소,11
03,waterHot,급탕 사용량,-0.4193,-2056296.6429,20734780.5,-9.92,감소,15
03,hwaterHot,급탕 사용량,-0.3938,-57.2364,4133.27,-1.38,감소,11
03,elect,전기 사용량,-0.5304,-60225.25,3640151.42,-1.65,감소,15
03,helect,전기 사용량,-0.9517,-2539.9,37726.1,-6.73,감소,4
03,waterCool,수도 사용량,0.6351,125941.2143,6911417.5,1.82,증가,15
03,hwaterCool,수도 사용량,-0.0761,-46.1818,8587.73,-0.54,감소,11
04,heat,난방 사용량,-0.8221,-616748.95,12866834.52,-4.79,감소,15
04,hheat,난방 사용량,-0.4836,-594.1364,11739.86,-5.06,감소,11
04,waterHot,급탕 사용량,-0.4152,-121864.6429,10431805.83,-1.17,감소,15
04,hwaterHot,급탕 사용량,-0.5941,-48.8182,3666.18,-1.33,감소,11
04,elect,전기 사용량,-0.607,-64808.7857,3315256.83,-1.95,감소,15
04,helect,전기 사용량,-0.9374,-1610.9,33003.6,-4.88,감소,5
04,waterCool,수도 사용량,0.7239,119873.1429,6669282.0,1.8,증가,15
04,hwaterCool,수도 사용량,0.2681,154.7818,7641.0,2.03,증가,11
05,heat,난방 사용량,-0.7172,-165162.65,3768253.62,-4.38,감소,15
05,hheat,난방 사용량,-0.1319,-33.4156,1401.31,-2.38,감소,10
05,waterHot,급탕 사용량,-0.1746,-45479.3571,8200356.17,-0.55,감소,15
05,hwaterHot,급탕 사용량,-0.6124,-29.2909,3209.09,-0.91,감소,11
05,elect,전기 사용량,-0.5128,-51574.1071,3119308.08,-1.65,감소,15
05,helect,전기 사용량,-0.9641,-2140.3,30939.4,-6.92,감소,5
05,waterCool,수도 사용량,0.6109,144081.1429,7324836.67,1.97,증가,15
05,hwaterCool,수도 사용량,0.257,145.3455,7839.64,1.85,증가,11
06,heat,난방 사용량,-0.4969,-10961.8,1572991.53,-0.7,감소,15
06,hheat,난방 사용량,1.0,64.0,80.0,80.0,증가,2
06,waterHot,급탕 사용량,-0.2886,-45981.2786,4597279.08,-1.0,감소,15
06,hwaterHot,급탕 사용량,0.2437,14.2364,2373.09,0.6,증가,11
06,elect,전기 사용량,-0.178,-19322.0714,3199111.17,-0.6,감소,15
06,helect,전기 사용량,-0.9377,-1814.9,28811.2,-6.3,감소,5
06,waterCool,수도 사용량,0.8776,145305.9643,7263768.92,2.0,증가,15
06,hwaterCool,수도 사용량,-0.2478,-194.8818,11345.32,-1.72,감소,11
07,heat,난방 사용량,-0.4303,-603.9643,1451880.55,-0.04,감소,15
07,waterHot,급탕 사용량,-0.1708,-34094.2929,3838692.98,-0.89,감소,15
07,hwaterHot,급탕 사용량,0.0136,0.5273,2050.55,0.03,증가,11
07,elect,전기 사용량,-0.6167,-77372.8929,3977206.92,-1.95,감소,15
07,helect,전기 사용량,-0.9473,-1666.2,29591.0,-5.63,감소,5
07,waterCool,수도 사용량,0.624,142206.0714,7510983.5,1.89,증가,15
07,hwaterCool,수도 사용량,-0.3038,-269.4636,11743.23,-2.29,감소,11
08,heat,난방 사용량,-0.5301,-290.4357,1448629.18,-0.02,감소,15
08,waterHot,급탕 사용량,-0.2434,-40734.0357,3220339.18,-1.26,감소,15
08,hwaterHot,급탕 사용량,-0.0855,-7.2727,1794.45,-0.41,감소,11
08,elect,전기 사용량,-0.6187,-84442.25,3915492.42,-2.16,감소,15
08,helect,전기 사용량,-0.3001,-2015.8,25050.0,-8.05,감소,5
08,waterCool,수도 사용량,0.5847,104655.4286,7568111.33,1.38,증가,15
08,hwaterCool,수도 사용량,-0.229,-197.9727,11227.77,-1.76,감소,11
09,heat,난방 사용량,-0.6584,-40099.9071,1844035.62,-2.17,감소,15
09,waterHot,급탕 사용량,-0.3083,-47008.7429,4019454.67,-1.17,감소,15
09,hwaterHot,급탕 사용량,-0.4601,-32.9364,2325.14,-1.42,감소,11
09,elect,전기 사용량,-0.5602,-60597.6071,2998109.92,-2.02,감소,15
09,helect,전기 사용량,-0.9337,-2101.9,28646.8,-7.34,감소,5
09,waterCool,수도 사용량,0.5786,107867.8929,7368494.08,1.46,증가,15
09,hwaterCool,수도 사용량,-0.2341,-185.0727,11132.18,-1.66,감소,11
10,heat,난방 사용량,-0.7512,-449094.2929,8862130.45,-5.07,감소,15
10,hheat,난방 사용량,-0.2659,-206.9091,6544.64,-3.16,감소,11
10,waterHot,급탕 사용량,0.5554,219023.1429,5504218.0,3.98,증가,15
10,hwaterHot,급탕 사용량,-0.4786,-33.6,2946.36,-1.14,감소,11
10,elect,전기 사용량,-0.5137,-57173.0357,3348117.25,-1.71,감소,15
10,helect,전기 사용량,-0.8627,-2759.7,31836.8,-8.67,감소,4
10,waterCool,수도 사용량,0.6658,121728.6071,7290154.42,1.67,증가,15
10,hwaterCool,수도 사용량,-0.127,-101.3,10384.68,-0.98,감소,11
11,heat,난방 사용량,-0.6677,-808296.1071,21400115.68,-3.78,감소,15
11,hheat,난방 사용량,-0.379,-651.8727,22731.18,-2.87,감소,11
11,waterHot,급탕 사용량,0.4426,567506.7143,6377935.0,8.9,증가,15
11,hwaterHot,급탕 사용량,-0.5795,-41.3,3491.59,-1.18,감소,11
11,elect,전기 사용량,-0.3972,-46545.6786,4231120.42,-1.1,감소,15
11,helect,전기 사용량,-0.737,-1343.3,34883.2,-3.85,감소,4
11,waterCool,수도 사용량,0.5751,102068.3571,6915072.17,1.48,증가,15
11,hwaterCool,수도 사용량,0.5649,293.8909,6585.27,4.46,증가,11
12,heat,난방 사용량,-0.3282,-917002.1429,42439681.93,-2.16,감소,15
12,hheat,난방 사용량,-0.0733,-148.5727,33604.96,-0.44,감소,10
12,waterHot,급탕 사용량,0.3663,959612.5,9754285.83,9.84,증가,15
12,hwaterHot,급탕 사용량,-0.5785,-60.7091,3971.55,-1.53,감소,10
12,elect,전기 사용량,-0.432,-63881.5714,4901403.67,-1.3,감소,15
12,helect,전기 사용량,-0.9204,-1820.5,40193.0,-4.53,감소,4
12,waterCool,수도 사용량,0.6287,96929.25,6886932.58,1.41,증가,15
12,hwaterCool,수도 사용량,-0.0548,-30.4636,9176.12,-0.33,감소,10
