month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.0846,-365721.7143,98848102.67,-0.37,감소,15
01,hheat,난방 사용량,0.6109,702.8913,40919.09,1.72,증가,11
01,waterHot,급탕 사용량,0.1634,21972.6786,17548781.25,0.13,증가,15
01,hwaterHot,급탕 사용량,-0.5338,-43.9418,5634.93,-0.78,감소,11
01,elect,전기 사용량,-0.3789,-662083.2857,49232740.53,-1.34,감소,15
01,helect,전기 사용량,0.2785,958.6073,243314.83,0.39,증가,11
01,waterCool,수도 사용량,0.8816,571481.6786,4750714.25,12.03,증가,15
01,hwaterCool,수도 사용량,-0.9059,-93.4537,8689.73,-1.08,감소,11
02,heat,난방 사용량,0.0009,3031.6964,74487334.46,0.0,증가,15
02,hheat,난방 사용량,-0.1069,-149.0863,37116.41,-0.4,감소,11
02,waterHot,급탕 사용량,0.3014,36824.2857,16132465.33,0.23,증가,15
02,hwaterHot,급탕 사용량,-0.5869,-36.7609,5182.61,-0.71,감소,11
02,elect,전기 사용량,-0.7419,-1651224.95,51253253.45,-3.22,감소,15
02,helect,전기 사용량,-0.6561,-2822.2413,248107.91,-1.14,감소,12
02,waterCool,수도 사용량,0.8409,516124.4286,4917645.0,10.5,증가,15
02,hwaterCool,수도 사용량,-0.422,-60.2902,7933.35,-0.76,감소,12
03,heat,난방 사용량,-0.4151,-1536695.3846,60091697.69,-2.56,감소,13
03,hheat,난방 사용량,-0.4379,-558.3364,25776.59,-2.17,감소,11
03,waterHot,급탕 사용량,-0.1157,-150628.5714,19498232.97,-0.77,감소,13
03,hwaterHot,급탕 사용량,-0.6174,-48.3182,5552.05,-0.87,감소,11
03,elect,전기 사용량,-0.2974,-635696.9978,40468960.77,-1.57,감소,14
03,helect,전기 사용량,-0.2013,-3271.7636,254103.82,-1.29,감소,11
03,waterCool,수도 사용량,0.8759,443234.3077,5450212.0,8.13,증가,14
03,hwaterCool,수도 사용량,-0.7578,-64.0636,8816.86,-0.73,감소,11
04,heat,난방 사용량,-0.4152,-748206.3516,24258857.71,-3.08,감소,14
04,hheat,난방 사용량,0.2351,339.2258,5213.6,6.51,증가,10
04,waterHot,급탕 사용량,0.4317,41165.7143,13372251.43,0.31,증가,14
04,hwaterHot,급탕 사용량,-0.4879,-30.1029,4912.65,-0.61,감소,10
04,elect,전기 사용량,-0.639,-936226.8396,39015055.17,-2.4,감소,14
04,helect,전기 사용량,0.1628,319.7091,207906.82,0.15,증가,11
04,waterCool,수도 사용량,0.279,239356.8681,7955568.02,3.01,증가,13
04,hwaterCool,수도 사용량,-0.7355,-118.4545,9387.36,-1.26,감소,11
05,heat,난방 사용량,-0.3607,-260787.789,10934444.06,-2.39,감소,14
05,hheat,난방 사용량,0.1873,45.1044,1577.95,2.86,증가,9
05,waterHot,급탕 사용량,-0.0284,-10389.8352,11642668.24,-0.09,감소,13
05,hwaterHot,급탕 사용량,-0.199,-10.9574,4423.91,-0.25,감소,9
05,elect,전기 사용량,-0.7289,-1572705.4659,40405198.31,-3.89,감소,14
05,helect,전기 사용량,-0.4716,-7432.6273,229415.14,-3.24,감소,11
05,waterCool,수도 사용량,-0.1329,-463838.1978,15537389.71,-2.99,감소,14
05,hwaterCool,수도 사용량,-0.9088,-183.5333,10385.91,-1.77,감소,9
06,heat,난방 사용량,-0.3159,-50197.7473,4128643.41,-1.22,감소,13
06,hheat,난방 사용량,0.6179,13.8837,61.3,22.65,증가,5
06,waterHot,급탕 사용량,0.5031,119174.8571,8185953.43,1.46,증가,14
06,hwaterHot,급탕 사용량,-0.3265,-19.7123,3714.88,-0.53,감소,10
06,elect,전기 사용량,-0.1913,-283931.4527,35609950.94,-0.8,감소,14
06,helect,전기 사용량,0.4795,1890.3397,206916.2,0.91,증가,10
06,waterCool,수도 사용량,0.8219,320919.8242,8006041.14,4.01,증가,14
06,hwaterCool,수도 사용량,-0.9071,-196.953,11463.85,-1.72,감소,10
07,heat,난방 사용량,-0.4074,-69570.1099,4193854.29,-1.66,감소,14
07,hheat,난방 사용량,0.0026,0.0571,38.86,0.15,증가,6
07,waterHot,급탕 사용량,0.0976,46226.1758,7813794.86,0.59,증가,14
07,hwaterHot,급탕 사용량,-0.3103,-12.9364,3201.77,-0.4,감소,11
07,elect,전기 사용량,0.3968,1236597.9473,35702346.77,3.46,증가,14
07,helect,전기 사용량,0.7935,14925.4182,187169.64,7.97,증가,11
07,waterCool,수도 사용량,0.794,438665.4066,8070770.57,5.44,증가,14
07,hwaterCool,수도 사용량,-0.9468,-196.6633,12593.32,-1.56,감소,10
08,heat,난방 사용량,0.0559,7689.1363,3419857.11,0.22,증가,14
08,hheat,난방 사용량,0.5852,12.7101,9.36,135.76,증가,7
08,waterHot,급탕 사용량,0.1431,45939.011,5978600.0,0.77,증가,14
08,hwaterHot,급탕 사용량,-0.0132,-1.6543,2633.97,-0.06,감소,10
08,elect,전기 사용량,0.0843,283317.0374,55656324.26,0.51,증가,14
08,helect,전기 사용량,0.712,10359.1798,263071.05,3.94,증가,10
08,waterCool,수도 사용량,0.8327,367891.9341,8854843.14,4.15,증가,14
08,hwaterCool,수도 사용량,-0.8014,-158.7373,12504.51,-1.27,감소,10
09,heat,난방 사용량,-0.4936,-110269.2857,5092132.33,-2.17,감소,15
09,hheat,난방 사용량,0.4437,17.4048,158.83,10.96,증가,8
09,waterHot,급탕 사용량,0.323,90195.75,6720397.08,1.34,증가,15
09,hwaterHot,급탕 사용량,-0.1033,-18.0182,3140.18,-0.57,감소,11
09,elect,전기 사용량,-0.4981,-1611579.0143,51553145.5,-3.13,감소,15
09,helect,전기 사용량,0.2293,1528.2455,224803.86,0.68,증가,11
09,waterCool,수도 사용량,0.8184,377000.3214,7477546.42,5.04,증가,15
09,hwaterCool,수도 사용량,-0.7541,-130.9909,11459.59,-1.14,감소,11
10,heat,난방 사용량,-0.2524,-220985.0357,17167491.25,-1.29,감소,15
10,hheat,난방 사용량,0.1451,80.1818,5106.73,1.57,증가,11
10,waterHot,급탕 사용량,0.4676,109407.6786,10478762.92,1.04,증가,15
10,hwaterHot,급탕 사용량,0.0912,7.1909,3918.95,0.18,증가,11
