month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.0693,34592.5464,8539529.64,0.41,증가,15
01,helect,전기 사용량,0.2794,793.5839,39115.71,2.03,증가,12
01,waterCool,수도 사용량,0.7213,173166.2769,1223984.06,14.15,증가,14
01,hwaterCool,수도 사용량,0.4283,95.9965,2161.44,4.44,증가,12
02,elect,전기 사용량,0.0924,48677.3319,8308588.77,0.59,증가,14
02,helect,전기 사용량,0.2645,906.5484,38579.94,2.35,증가,9
02,waterCool,수도 사용량,0.8646,69162.1752,2241730.66,3.09,증가,13
02,hwaterCool,수도 사용량,0.5223,148.835,1845.9,8.06,증가,9
03,elect,전기 사용량,0.1213,55305.1956,6820670.09,0.81,증가,14
03,helect,전기 사용량,0.2607,702.1909,35444.41,1.98,증가,11
03,waterCool,수도 사용량,0.7455,51330.8327,2322080.52,2.21,증가,13
03,hwaterCool,수도 사용량,0.327,89.3,2073.59,4.31,증가,11
04,elect,전기 사용량,0.0782,41485.033,6890805.57,0.6,증가,14
04,helect,전기 사용량,0.2177,655.4,36046.27,1.82,증가,11
04,waterCool,수도 사용량,0.595,99005.8901,1722432.86,5.75,증가,14
04,hwaterCool,수도 사용량,0.4743,164.7182,1867.23,8.82,증가,11
05,elect,전기 사용량,0.174,95011.5868,5543575.11,1.71,증가,14
05,helect,전기 사용량,0.3154,1002.3338,32489.7,3.09,증가,9
05,waterCool,수도 사용량,0.6051,113943.0246,1834046.14,6.21,증가,13
05,hwaterCool,수도 사용량,0.4572,112.8338,2034.7,5.55,증가,9
06,elect,전기 사용량,0.1451,60528.8681,6249179.86,0.97,증가,14
06,helect,전기 사용량,0.3144,1012.4545,32728.41,3.09,증가,10
06,waterCool,수도 사용량,0.5356,96539.1209,1983154.29,4.87,증가,14
06,hwaterCool,수도 사용량,0.4782,131.9697,2080.44,6.34,증가,10
07,elect,전기 사용량,0.1172,57976.6835,6953264.2,0.83,증가,14
07,helect,전기 사용량,0.4245,1531.5182,33271.41,4.6,증가,11
07,waterCool,수도 사용량,0.4497,87609.978,2135583.71,4.1,증가,14
07,hwaterCool,수도 사용량,0.3352,89.7455,2354.91,3.81,증가,11
08,elect,전기 사용량,0.2582,195354.0154,9014462.11,2.17,증가,14
08,helect,전기 사용량,0.4381,1962.7091,42342.27,4.64,증가,11
08,waterCool,수도 사용량,0.457,85323.956,2150542.86,3.97,증가,14
08,hwaterCool,수도 사용량,0.386,104.9818,2340.0,4.49,증가,11
09,elect,전기 사용량,0.0852,60689.0857,8221780.93,0.74,증가,15
09,helect,전기 사용량,0.4826,1836.1545,37113.68,4.95,증가,11
09,waterCool,수도 사용량,0.4097,82732.9451,2226820.86,3.72,증가,14
09,hwaterCool,수도 사용량,0.3565,96.5364,2325.86,4.15,증가,11
10,elect,전기 사용량,0.1506,68916.1107,6251330.16,1.1,증가,15
10,helect,전기 사용량,-0.2559,-323.8182,42613.98,-0.76,감소,10
10,waterCool,수도 사용량,-0.331,-426113.9341,6852022.0,-6.22,감소,14
10,hwaterCool,수도 사용량,-0.5975,-57.2848,3378.18,-1.7,감소,10
11,elect,전기 사용량,-0.3451,-68995.7202,7975314.77,-0.87,감소,14
11,helect,전기 사용량,-0.2092,-96.8121,39460.85,-0.25,감소,10
11,waterCool,수도 사용량,0.7514,123739.4447,1853986.76,6.67,증가,13
11,hwaterCool,수도 사용량,-0.3804,-17.6424,2980.29,-0.59,감소,10
12,elect,전기 사용량,-0.3982,-81622.7712,8796942.06,-0.93,감소,14
12,helect,전기 사용량,-0.4142,-265.5435,42970.21,-0.62,감소,9
12,waterCool,수도 사용량,0.8288,53051.1522,2352686.51,2.25,증가,13
12,hwaterCool,수도 사용량,-0.4615,-21.1161,2949.57,-0.72,감소,9
