month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.1933,-421792.0899,76661874.22,-0.55,감소,14
01,hheat,난방 사용량,-0.4311,-384.2035,28310.32,-1.36,감소,10
01,waterHot,급탕 사용량,-0.3356,-119809.9459,12039400.32,-1.0,감소,14
01,hwaterHot,급탕 사용량,-0.8718,-121.1544,3839.45,-3.16,감소,10
01,elect,전기 사용량,0.1837,147656.4694,24263720.26,0.61,증가,14
01,helect,전기 사용량,-0.7133,-4351.0035,211466.92,-2.06,감소,10
01,waterCool,수도 사용량,0.7032,168698.8992,1273094.66,13.25,증가,10
01,hwaterCool,수도 사용량,-0.9335,-75698.7677,700811.26,-10.8,감소,6
02,heat,난방 사용량,-0.3775,-634782.8881,62555405.47,-1.01,감소,13
02,hheat,난방 사용량,-0.4626,-295.9684,24044.73,-1.23,감소,10
02,waterHot,급탕 사용량,0.6471,491563.4044,14436201.57,3.41,증가,13
02,hwaterHot,급탕 사용량,-0.8953,-229.0877,7435.78,-3.08,감소,10
02,elect,전기 사용량,0.3389,313841.8474,21919645.42,1.43,증가,13
02,helect,전기 사용량,-0.8523,-2363.8281,189369.15,-1.25,감소,10
02,waterCool,수도 사용량,0.9847,421838.391,540589.91,78.03,증가,9
02,hwaterCool,수도 사용량,0.8926,497.5613,743.29,66.94,증가,6
03,heat,난방 사용량,-0.453,-953243.4709,41818676.65,-2.28,감소,12
03,hheat,난방 사용량,-0.4939,-307.5561,13504.16,-2.28,감소,9
03,waterHot,급탕 사용량,-0.3502,-187436.5237,14162300.23,-1.32,감소,12
03,hwaterHot,급탕 사용량,-0.8444,-90.2857,4200.29,-2.15,감소,9
03,elect,전기 사용량,-0.0635,-72165.3063,18944564.72,-0.38,감소,12
03,helect,전기 사용량,-0.9661,-2985.0469,167014.12,-1.79,감소,9
03,waterCool,수도 사용량,0.9841,234589.6429,858780.64,27.32,증가,7
03,hwaterCool,수도 사용량,-0.9968,-274.7,3890.8,-7.06,감소,4
04,heat,난방 사용량,-0.6635,-909372.0294,20584358.11,-4.42,감소,13
04,hheat,난방 사용량,-0.1975,-59.9,4524.8,-1.32,감소,10
04,waterHot,급탕 사용량,0.4739,170450.147,10494514.45,1.62,증가,13
04,hwaterHot,급탕 사용량,-0.885,-140.2,4434.3,-3.16,감소,10
04,elect,전기 사용량,-0.1666,-145732.9132,20591694.14,-0.71,감소,13
04,helect,전기 사용량,-0.9561,-3134.6273,172249.64,-1.82,감소,10
04,waterCool,수도 사용량,0.9283,359473.3397,706906.81,50.85,증가,9
04,hwaterCool,수도 사용량,0.9383,337.6911,253.7,133.11,증가,5
05,heat,난방 사용량,-0.2554,-146059.4409,5740667.66,-2.54,감소,13
05,hheat,난방 사용량,-0.3702,-32.0364,1042.58,-3.07,감소,10
05,waterHot,급탕 사용량,0.5508,207044.2461,8952863.35,2.31,증가,13
05,hwaterHot,급탕 사용량,-0.9307,-111.3727,3745.46,-2.97,감소,10
05,elect,전기 사용량,-0.2801,-239990.8592,19407916.56,-1.24,감소,13
05,helect,전기 사용량,-0.9543,-3075.6545,163474.17,-1.88,감소,10
05,waterCool,수도 사용량,0.909,326433.9273,863623.78,37.8,증가,8
05,hwaterCool,수도 사용량,-0.53,-95.4,2907.1,-3.28,감소,4
06,heat,난방 사용량,-0.1547,-35155.0369,1976546.7,-1.78,감소,13
06,hheat,난방 사용량,-0.284,-25.8364,313.78,-8.23,감소,10
06,waterHot,급탕 사용량,0.6919,145029.4477,7641503.99,1.9,증가,13
06,hwaterHot,급탕 사용량,-0.7779,-58.7273,2926.64,-2.01,감소,10
06,elect,전기 사용량,-0.1296,-120287.6535,20772148.79,-0.58,감소,13
06,helect,전기 사용량,-0.7924,-2226.6636,176432.72,-1.26,감소,10
06,waterCool,수도 사용량,0.8024,197786.0175,756140.62,26.16,증가,8
06,hwaterCool,수도 사용량,-0.9994,-157.7,2707.3,-5.82,감소,4
07,heat,난방 사용량,0.08,20225.9009,1483120.09,1.36,증가,13
07,hheat,난방 사용량,-0.3033,-4.2818,80.81,-5.3,감소,10
07,waterHot,급탕 사용량,0.5371,114442.298,6194583.48,1.85,증가,13
07,hwaterHot,급탕 사용량,-0.875,-53.6455,2363.93,-2.27,감소,10
07,elect,전기 사용량,0.2095,183047.8281,22179638.64,0.83,증가,13
07,helect,전기 사용량,0.2357,753.8909,193136.75,0.39,증가,10
07,waterCool,수도 사용량,0.79,172054.0827,1031261.15,16.68,증가,8
07,hwaterCool,수도 사용량,-0.8483,-84.4,2112.0,-4.0,감소,5
08,heat,난방 사용량,0.2237,49727.6972,1226121.16,4.06,증가,13
08,hheat,난방 사용량,0.0868,1.9,84.2,2.26,증가,10
08,waterHot,급탕 사용량,0.3893,86121.544,5249787.27,1.64,증가,14
08,hwaterHot,급탕 사용량,-0.5461,-45.8727,2039.06,-2.25,감소,10
08,elect,전기 사용량,0.3419,434963.1311,25710792.17,1.69,증가,14
08,helect,전기 사용량,0.4755,3798.3818,222254.09,1.71,증가,10
08,waterCool,수도 사용량,0.7813,142181.4667,903586.8,15.74,증가,9
08,hwaterCool,수도 사용량,-0.5863,-69.7,1867.0,-3.73,감소,5
09,heat,난방 사용량,0.0643,17763.9362,1569097.49,1.13,증가,12
09,hheat,난방 사용량,-0.4314,-22.6398,247.94,-9.13,감소,9
09,waterHot,급탕 사용량,0.377,68048.546,6585333.38,1.03,증가,12
09,hwaterHot,급탕 사용량,-0.8493,-77.6582,2561.03,-3.03,감소,9
09,elect,전기 사용량,0.3009,380538.5178,19867932.64,1.92,증가,12
09,helect,전기 사용량,0.3871,1915.8745,172863.31,1.11,증가,9
09,waterCool,수도 사용량,0.8964,154048.8233,981598.91,15.69,증가,8
09,hwaterCool,수도 사용량,-0.9536,-197.9,2366.0,-8.36,감소,5
10,heat,난방 사용량,-0.2751,-195003.744,7422805.34,-2.63,감소,13
10,hheat,난방 사용량,0.2082,71.7194,970.99,7.39,증가,9
10,waterHot,급탕 사용량,0.5495,212964.24,7703148.99,2.76,증가,13
10,hwaterHot,급탕 사용량,-0.9497,-106.5306,3239.49,-3.29,감소,9
10,elect,전기 사용량,-0.3991,-285522.3603,20450568.82,-1.4,감소,13
10,helect,전기 사용량,-0.9312,-2610.7429,161491.69,-1.62,감소,9
10,waterCool,수도 사용량,0.974,153322.8897,878429.7,17.45,증가,9
10,hwaterCool,수도 사용량,-0.9631,-161.5,2743.0,-5.89,감소,5
11,heat,난방 사용량,-0.4873,-1036256.5931,35140590.78,-2.95,감소,13
11,hheat,난방 사용량,-0.559,-370.6153,10762.14,-3.44,감소,9
11,waterHot,급탕 사용량,0.3107,107921.1666,10537202.1,1.02,증가,13
11,hwaterHot,급탕 사용량,-0.9669,-141.9847,4080.26,-3.48,감소,9
11,elect,전기 사용량,-0.1646,-211704.3891,21123371.53,-1.0,감소,14
11,helect,전기 사용량,-0.9577,-2954.6827,172710.82,-1.71,감소,9
11,waterCool,수도 사용량,0.9656,195249.341,610008.28,32.01,증가,10
11,hwaterCool,수도 사용량,-0.8622,-131.7,3191.2,-4.13,감소,5
12,heat,난방 사용량,0.0674,209653.543,61974477.56,0.34,증가,12
12,hheat,난방 사용량,-0.3195,-331.3,23488.2,-1.41,감소,9
12,waterHot,급탕 사용량,0.1641,46166.4985,10953586.34,0.42,증가,12
12,hwaterHot,급탕 사용량,-0.9557,-148.7561,4002.2,-3.72,감소,9
