month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.2221,523034.25,49094828.92,1.07,증가,15
01,hheat,난방 사용량,-0.8238,-5759.8427,52405.22,-10.99,감소,12
01,waterHot,급탕 사용량,0.0601,71473.7941,19912077.79,0.36,증가,16
01,hwaterHot,급탕 사용량,0.1698,13.4895,2899.97,0.47,증가,12
01,elect,전기 사용량,0.4104,293930.175,28566009.44,1.03,증가,15
01,helect,전기 사용량,0.474,476.007,122688.79,0.39,증가,12
01,waterCool,수도 사용량,0.6264,138034.9853,8560570.74,1.61,증가,16
01,hwaterCool,수도 사용량,-0.661,-100.7902,11254.12,-0.9,감소,11
02,heat,난방 사용량,0.2866,562683.875,37443596.25,1.5,증가,16
02,hheat,난방 사용량,-0.8268,-4991.0385,45311.79,-11.01,감소,12
02,waterHot,급탕 사용량,0.1084,113337.9265,17192921.18,0.66,증가,16
02,hwaterHot,급탕 사용량,-0.0669,-3.7937,2803.78,-0.14,감소,12
02,elect,전기 사용량,0.6193,638154.5,22284016.62,2.86,증가,16
02,helect,전기 사용량,0.6404,1601.7343,107319.63,1.49,증가,12
02,hwaterCool,수도 사용량,-1.0,-120.25,11218.0,-1.07,감소,2
03,heat,난방 사용량,-0.2774,-451743.75,30822103.58,-1.47,감소,15
03,hheat,난방 사용량,-0.8551,-3363.7818,28375.64,-11.85,감소,11
03,waterHot,급탕 사용량,-0.013,-14286.9643,17621199.42,-0.08,감소,15
03,hwaterHot,급탕 사용량,0.0359,2.8455,2854.05,0.1,증가,11
03,elect,전기 사용량,0.1853,98159.3239,25834834.61,0.38,증가,14
03,helect,전기 사용량,-0.3551,-457.3864,119014.95,-0.38,감소,10
03,waterCool,수도 사용량,0.8615,218049.7036,7601113.34,2.87,증가,15
03,hwaterCool,수도 사용량,-0.6121,-88.3,10918.41,-0.81,감소,11
04,heat,난방 사용량,-0.5664,-640333.6071,18342870.58,-3.49,감소,15
04,hheat,난방 사용량,-0.8343,-1245.8364,10568.82,-11.79,감소,11
04,waterHot,급탕 사용량,0.1048,86129.4286,13051580.67,0.66,증가,15
04,hwaterHot,급탕 사용량,-0.0802,-5.1545,2567.23,-0.2,감소,11
04,elect,전기 사용량,0.35,230021.1071,23393720.52,0.98,증가,15
04,helect,전기 사용량,0.3107,290.7727,112290.77,0.26,증가,11
05,heat,난방 사용량,-0.3537,-290440.0357,8562394.25,-3.39,감소,15
05,hheat,난방 사용량,-0.6332,-250.6303,1993.84,-12.57,감소,10
05,waterHot,급탕 사용량,0.6323,255008.9643,8618639.25,2.96,증가,15
05,hwaterHot,급탕 사용량,0.3112,22.6545,2083.18,1.09,증가,11
05,elect,전기 사용량,-0.184,-241507.6464,29524634.39,-0.82,감소,15
05,helect,전기 사용량,-0.7924,-1548.2,125124.91,-1.24,감소,11
05,waterCool,수도 사용량,0.9211,278448.5272,8634720.02,3.22,증가,14
05,hwaterCool,수도 사용량,-0.6192,-78.9394,12484.77,-0.63,감소,10
06,heat,난방 사용량,-0.1201,-43069.8571,3674339.67,-1.17,감소,15
06,hheat,난방 사용량,-0.3025,-12.0366,113.32,-10.62,감소,5
06,waterHot,급탕 사용량,0.7148,358424.6429,4493693.5,7.98,증가,15
06,hwaterHot,급탕 사용량,0.2067,13.4182,1711.36,0.78,증가,11
06,elect,전기 사용량,-0.4821,-227687.6464,30191237.46,-0.75,감소,15
06,helect,전기 사용량,-0.5834,-1937.6091,138834.95,-1.4,감소,11
07,heat,난방 사용량,-0.2279,-106613.1786,4391292.25,-2.43,감소,15
07,hheat,난방 사용량,-1.0,-3.0,15.0,-20.0,감소,2
07,waterHot,급탕 사용량,0.7062,327094.0357,3670359.75,8.91,증가,15
07,hwaterHot,급탕 사용량,0.0587,3.6537,1509.37,0.24,증가,10
07,elect,전기 사용량,-0.4436,-900844.4143,45782609.83,-1.97,감소,15
07,helect,전기 사용량,-0.2044,-1867.2835,179837.33,-1.04,감소,10
07,waterCool,수도 사용량,0.9016,302314.4643,10353594.08,2.92,증가,15
07,hwaterCool,수도 사용량,-0.7591,-137.7564,14837.78,-0.93,감소,9
08,heat,난방 사용량,0.0738,19820.1786,2960450.75,0.67,증가,15
08,hheat,난방 사용량,-1.0,-82.5,171.0,-48.25,감소,2
08,waterHot,급탕 사용량,0.5886,245722.3571,2928038.83,8.39,증가,15
08,hwaterHot,급탕 사용량,0.0223,1.8485,1415.38,0.13,증가,10
08,elect,전기 사용량,0.4625,939369.2321,27496165.84,3.42,증가,15
08,helect,전기 사용량,0.7762,8139.4182,135523.42,6.01,증가,10
08,hwaterCool,수도 사용량,-1.0,-499.0,15211.0,-3.28,감소,2
09,heat,난방 사용량,-0.2407,-84617.1143,4022043.87,-2.1,감소,15
09,hheat,난방 사용량,-0.4029,-9825.8069,60041.89,-16.36,감소,6
09,waterHot,급탕 사용량,0.4999,241174.8071,4220859.48,5.71,증가,15
09,hwaterHot,급탕 사용량,-0.4001,-223405.6727,1677204.27,-13.32,감소,11
09,elect,전기 사용량,0.5305,1077177.6714,18536491.3,5.81,증가,15
09,helect,전기 사용량,-0.3956,-542275.4545,4215801.55,-12.86,감소,11
09,waterCool,수도 사용량,0.4559,350129.8357,9428657.35,3.71,증가,15
09,hwaterCool,수도 사용량,-0.5223,-642506.7636,4083204.44,-15.74,감소,10
10,heat,난방 사용량,-0.0293,-26911.1714,10011828.8,-0.27,감소,15
10,hheat,난방 사용량,-0.5237,-239449.097,1517683.44,-15.78,감소,10
10,waterHot,급탕 사용량,0.2594,226123.8786,8085132.65,2.8,증가,15
10,hwaterHot,급탕 사용량,-0.5222,-536333.5091,3398892.29,-15.78,감소,10
10,elect,전기 사용량,0.1647,190943.5393,24059863.62,0.79,증가,15
10,helect,전기 사용량,-0.5214,-898287.697,5811751.84,-15.46,감소,10
11,heat,난방 사용량,0.0959,128225.1071,25562983.58,0.5,증가,15
11,hheat,난방 사용량,-0.8467,-3437.1091,25091.49,-13.7,감소,10
11,waterHot,급탕 사용량,0.0028,2705.8929,14271990.75,0.02,증가,15
11,hwaterHot,급탕 사용량,-0.1598,-11.4909,2498.11,-0.46,감소,10
11,elect,전기 사용량,0.1274,58916.0607,27604788.44,0.21,증가,15
11,helect,전기 사용량,-0.041,-61.3758,115935.89,-0.05,감소,10
11,waterCool,수도 사용량,0.9032,228272.9286,9052296.17,2.52,증가,15
11,hwaterCool,수도 사용량,-0.8481,-141.8364,12706.56,-1.12,감소,10
12,heat,난방 사용량,0.4727,1053174.5707,39885108.45,2.64,증가,14
12,hheat,난방 사용량,-0.813,-6005.1394,44596.93,-13.47,감소,10
12,waterHot,급탕 사용량,-0.1445,-97214.3963,20563334.57,-0.47,감소,14
12,hwaterHot,급탕 사용량,0.1874,15.8,2791.4,0.57,증가,10
12,elect,전기 사용량,-0.0337,-14764.2769,30111455.28,-0.05,감소,14
12,helect,전기 사용량,-0.1977,-393.0,123306.8,-0.32,감소,10
