month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.1096,-258730.7143,52137381.0,-0.5,감소,15
01,waterHot,급탕 사용량,0.3687,136499.5714,6889377.67,1.98,증가,15
01,hwaterHot,급탕 사용량,-0.3116,-8.028,1474.32,-0.54,감소,12
01,elect,전기 사용량,-0.4295,-330371.9643,25057733.08,-1.32,감소,15
01,helect,전기 사용량,-0.2514,-188.3357,75210.35,-0.25,감소,12
01,waterCool,수도 사용량,0.8109,113912.6429,3210402.17,3.55,증가,15
01,hwaterCool,수도 사용량,-0.6585,-44.5952,4362.14,-1.02,감소,10
02,heat,난방 사용량,0.0596,118997.2143,38866045.5,0.31,증가,15
02,waterHot,급탕 사용량,0.2657,88699.1429,6750577.33,1.31,증가,15
02,hwaterHot,급탕 사용량,-0.5089,-15.3531,1421.03,-1.08,감소,12
02,elect,전기 사용량,-0.4711,-317344.6429,23874633.7,-1.33,감소,15
02,helect,전기 사용량,-0.4381,-316.3007,73364.82,-0.43,감소,12
02,waterCool,수도 사용량,0.8203,92344.0714,3107402.83,2.97,증가,15
02,hwaterCool,수도 사용량,-0.7491,-54.6397,4138.16,-1.32,감소,11
03,heat,난방 사용량,-0.2015,-332219.7802,29951088.57,-1.11,감소,14
03,waterHot,급탕 사용량,-0.0789,-19161.5385,6141720.0,-0.31,감소,14
03,hwaterHot,급탕 사용량,-0.581,-21.3545,1455.95,-1.47,감소,11
03,elect,전기 사용량,-0.5124,-277226.3033,17993454.69,-1.54,감소,14
03,helect,전기 사용량,-0.6679,-436.3273,64246.27,-0.68,감소,11
03,waterCool,수도 사용량,0.6993,76126.9231,3544905.71,2.15,증가,14
03,hwaterCool,수도 사용량,-0.7005,-57.1383,4384.86,-1.3,감소,10
04,heat,난방 사용량,-0.441,-416925.8901,16898038.29,-2.47,감소,14
04,waterHot,급탕 사용량,0.2704,47966.9451,5005077.71,0.96,증가,14
04,hwaterHot,급탕 사용량,-0.1881,-6.6909,1263.82,-0.53,감소,11
