month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.734,33724.7273,120175.45,28.06,증가,11
01,elect,전기 사용량,0.9414,2529351.5455,47475159.55,5.33,증가,11
01,helect,전기 사용량,0.7523,7591.2545,172794.18,4.39,증가,11
01,waterCool,수도 사용량,0.9784,615575.2727,4473937.27,13.76,증가,11
01,hwaterCool,수도 사용량,0.8978,378.7455,5590.55,6.77,증가,11
02,gas,가스 사용량,0.7259,55881.2727,161725.27,34.55,증가,10
02,elect,전기 사용량,0.7434,3754955.8741,35430011.03,10.6,증가,12
02,helect,전기 사용량,0.6793,11153.4126,134513.4,8.29,증가,12
02,waterCool,수도 사용량,0.8561,629761.3287,3820579.36,16.48,증가,12
02,hwaterCool,수도 사용량,0.7707,490.9056,4765.1,10.3,증가,12
03,gas,가스 사용량,0.4096,15644.3636,261420.36,5.98,증가,10
03,elect,전기 사용량,0.816,3155451.5455,29086053.18,10.85,증가,11
03,helect,전기 사용량,0.7664,10220.0909,126149.73,8.1,증가,11
03,waterCool,수도 사용량,0.9834,713957.9091,2976762.27,23.98,증가,11
03,hwaterCool,수도 사용량,0.8913,479.6182,4223.45,11.36,증가,11
04,gas,가스 사용량,0.4258,13902.4848,101681.82,13.67,증가,10
04,elect,전기 사용량,0.8766,3138624.4545,31844162.27,9.86,증가,11
04,helect,전기 사용량,0.8007,11832.5091,122771.45,9.64,증가,11
04,waterCool,수도 사용량,0.9769,674402.7273,3635499.09,18.55,증가,11
04,hwaterCool,수도 사용량,0.9106,534.3,4417.5,12.1,증가,11
05,gas,가스 사용량,0.1026,2997.4545,63743.45,4.7,증가,10
05,elect,전기 사용량,0.9186,2965978.5455,30322435.45,9.78,증가,11
05,helect,전기 사용량,0.7881,8894.5182,137921.23,6.45,증가,11
05,waterCool,수도 사용량,0.9637,656943.1727,3723266.95,17.64,증가,11
05,hwaterCool,수도 사용량,0.9331,463.2273,4649.68,9.96,증가,11
06,gas,가스 사용량,-0.2106,-1713.5758,25813.09,-6.64,감소,10
06,elect,전기 사용량,0.8456,2273478.3636,47390180.0,4.8,증가,11
06,helect,전기 사용량,0.7686,9260.5545,173253.14,5.35,증가,11
06,waterCool,수도 사용량,0.9692,652163.0909,3986600.91,16.36,증가,11
06,hwaterCool,수도 사용량,0.9188,440.0455,5133.68,8.57,증가,11
07,gas,가스 사용량,-0.3353,-653.1667,6607.11,-9.89,감소,9
07,elect,전기 사용량,0.7959,3930076.4545,60159689.55,6.53,증가,11
07,helect,전기 사용량,0.8819,18713.6455,196935.77,9.5,증가,11
07,waterCool,수도 사용량,0.9658,627551.1818,4002295.91,15.68,증가,11
07,hwaterCool,수도 사용량,0.9315,424.5364,4960.68,8.56,증가,11
08,gas,가스 사용량,0.2501,303.0909,1395.09,21.73,증가,10
08,elect,전기 사용량,0.466,5175989.1818,109554512.27,4.72,증가,11
08,helect,전기 사용량,0.7529,27071.0818,284636.59,9.51,증가,11
08,waterCool,수도 사용량,0.9768,643113.4545,4137390.0,15.54,증가,11
08,hwaterCool,수도 사용량,0.9397,425.5818,5129.64,8.3,증가,11
09,gas,가스 사용량,0.5279,1575.4545,-3046.55,-51.71,증가,10
09,elect,전기 사용량,0.8241,6968882.4545,52954184.09,13.16,증가,11
09,helect,전기 사용량,0.8719,26403.6909,180213.27,14.65,증가,11
09,waterCool,수도 사용량,0.9024,599423.4545,4087104.55,14.67,증가,11
09,hwaterCool,수도 사용량,0.9088,425.5,5249.86,8.1,증가,11
10,gas,가스 사용량,-0.3034,-1023.3333,9656.67,-10.6,감소,9
10,elect,전기 사용량,0.9042,3189843.6364,38875201.82,8.21,증가,11
10,helect,전기 사용량,0.8838,11498.4818,149076.32,7.71,증가,11
10,waterCool,수도 사용량,0.9041,578853.2727,4079821.82,14.19,증가,11
10,hwaterCool,수도 사용량,0.9249,408.1,4944.14,8.25,증가,11
11,gas,가스 사용량,-0.4013,-388.9091,4457.09,-8.73,감소,10
11,elect,전기 사용량,0.8029,1812086.7273,42904924.55,4.22,증가,11
11,helect,전기 사용량,0.6563,4983.1636,172732.36,2.88,증가,11
11,waterCool,수도 사용량,0.9576,518294.5455,4958121.82,10.45,증가,11
11,hwaterCool,수도 사용량,0.8768,335.8273,6075.86,5.53,증가,11
12,gas,가스 사용량,0.2428,4360.4242,62645.09,6.96,증가,10
12,elect,전기 사용량,0.8985,2227845.5455,42722681.36,5.21,증가,11
12,helect,전기 사용량,0.751,7088.7,160702.86,4.41,증가,11
12,waterCool,수도 사용량,0.9725,550032.0,4184824.55,13.14,증가,11
12,hwaterCool,수도 사용량,0.9317,407.9273,5222.82,7.81,증가,11
