month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.3817,1275162.0,36120357.71,3.53,증가,14
01,hheat,난방 사용량,0.0952,1010.6678,314964.24,0.32,증가,12
01,waterHot,급탕 사용량,0.0538,38385.0893,9957447.68,0.39,증가,6
01,hwaterHot,급탕 사용량,-0.4887,-27.1429,1925.52,-1.41,감소,6
01,hgas,가스 사용량,-0.9326,-71.8286,2034.9,-3.53,감소,6
01,elect,전기 사용량,0.5545,651139.9214,14922908.62,4.36,증가,15
01,helect,전기 사용량,0.55,407.3147,75190.94,0.54,증가,12
01,waterCool,수도 사용량,0.6992,123789.3187,841163.71,14.72,증가,14
01,hwaterCool,수도 사용량,-0.3558,-11.8182,1921.5,-0.62,감소,12
02,heat,난방 사용량,0.3711,850559.6264,30941197.43,2.75,증가,14
02,hheat,난방 사용량,0.0692,831.7902,247865.32,0.34,증가,12
02,waterHot,급탕 사용량,-0.1448,-99870.0595,10047321.9,-0.99,감소,7
02,hwaterHot,급탕 사용량,-0.6704,-28.5714,1730.76,-1.65,감소,6
02,hgas,가스 사용량,0.1673,6.6,1641.33,0.4,증가,6
02,elect,전기 사용량,0.5432,751050.6901,15171916.23,4.95,증가,14
02,helect,전기 사용량,-0.0197,-11.2867,76055.41,-0.01,감소,12
02,waterCool,수도 사용량,0.6311,137678.2857,900580.43,15.29,증가,14
02,hwaterCool,수도 사용량,-0.123,-2.5,1672.33,-0.15,감소,12
03,heat,난방 사용량,0.2062,290947.4176,24021573.96,1.21,증가,13
03,hheat,난방 사용량,-0.4095,-2444.8727,161019.55,-1.52,감소,11
03,waterHot,급탕 사용량,0.3713,217009.4358,5421992.38,4.0,증가,6
03,hwaterHot,급탕 사용량,-0.8433,-41.6,1846.2,-2.25,감소,5
03,hgas,가스 사용량,-0.8799,-57.7143,1902.29,-3.03,감소,6
03,elect,전기 사용량,0.5748,700910.4945,12213867.34,5.74,증가,13
03,helect,전기 사용량,-0.428,-412.0364,69646.82,-0.59,감소,11
03,waterCool,수도 사용량,0.716,211727.1978,879992.58,24.06,증가,13
03,hwaterCool,수도 사용량,-0.408,-12.2818,1821.68,-0.67,감소,11
04,heat,난방 사용량,-0.0289,-25360.5714,12942203.71,-0.2,감소,14
04,hheat,난방 사용량,-0.1985,-1275.7636,58743.64,-2.17,감소,11
04,waterHot,급탕 사용량,-0.7658,-51084.2347,7858593.93,-0.65,감소,7
04,hwaterHot,급탕 사용량,-0.1005,-2.7,1626.4,-0.17,감소,5
04,hgas,가스 사용량,-0.3316,-8.0286,1564.24,-0.51,감소,6
04,elect,전기 사용량,0.465,524941.5912,12978759.94,4.04,증가,14
04,helect,전기 사용량,-0.4484,-291.2273,71866.59,-0.41,감소,11
04,waterCool,수도 사용량,0.6984,185575.0,906660.0,20.47,증가,14
04,hwaterCool,수도 사용량,0.5125,8.9545,1534.32,0.58,증가,11
05,heat,난방 사용량,0.5608,403506.3187,3814752.86,10.58,증가,13
05,hheat,난방 사용량,0.0628,142.2788,9933.55,1.43,증가,10
05,waterHot,급탕 사용량,-0.2078,-17984.0306,6359493.93,-0.28,감소,7
05,hwaterHot,급탕 사용량,-0.6436,-57.1,1470.8,-3.88,감소,5
05,hgas,가스 사용량,-0.7457,-10.3714,1371.1,-0.76,감소,6
05,elect,전기 사용량,0.4057,443996.4264,12419344.23,3.58,증가,14
