month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.2063,796718.5714,119118219.33,0.67,증가,15
01,waterHot,급탕 사용량,0.4045,119200.0,8855200.0,1.35,증가,5
01,hwaterHot,급탕 사용량,-0.2064,-7.0699,2289.22,-0.31,감소,12
01,elect,전기 사용량,0.0437,50601.5294,31084749.78,0.16,증가,16
01,helect,전기 사용량,0.5737,1663.8392,141604.05,1.17,증가,12
01,waterCool,수도 사용량,0.9191,350982.1786,6146818.08,5.71,증가,15
01,hwaterCool,수도 사용량,-0.4164,-43.0699,8700.05,-0.5,감소,12
02,heat,난방 사용량,0.2598,906992.6429,94561150.83,0.96,증가,15
02,waterHot,급탕 사용량,0.8958,332000.0,8676000.0,3.83,증가,5
02,hwaterHot,급탕 사용량,-0.0769,-3.1888,2380.04,-0.13,감소,12
02,elect,전기 사용량,0.1208,126845.75,29093335.75,0.44,증가,15
02,helect,전기 사용량,0.0763,107.6713,147337.97,0.07,증가,12
02,waterCool,수도 사용량,0.9014,295397.4643,6274890.42,4.71,증가,15
02,hwaterCool,수도 사용량,-0.7039,-62.4336,8813.88,-0.71,감소,12
03,heat,난방 사용량,-0.5465,-1717776.7473,81464496.0,-2.11,감소,14
03,waterHot,급탕 사용량,0.6802,170400.0,7970400.0,2.14,증가,5
03,hwaterHot,급탕 사용량,0.0586,1.7818,2102.91,0.08,증가,11
03,elect,전기 사용량,0.115,101915.2747,23350361.43,0.44,증가,14
03,helect,전기 사용량,0.0069,11.3545,130650.41,0.01,증가,11
03,waterCool,수도 사용량,0.9008,411349.9341,5866851.14,7.01,증가,14
03,hwaterCool,수도 사용량,-0.2844,-36.9636,8064.18,-0.46,감소,11
04,heat,난방 사용량,-0.5614,-933960.4835,37416951.71,-2.5,감소,14
04,waterHot,급탕 사용량,0.425,100000.0,8117600.0,1.23,증가,5
04,hwaterHot,급탕 사용량,0.1338,5.4091,2101.23,0.26,증가,11
04,elect,전기 사용량,-0.3652,-281907.9341,26307072.29,-1.07,감소,14
04,helect,전기 사용량,-0.1171,-168.7364,138748.32,-0.12,감소,11
04,waterCool,수도 사용량,0.844,309591.789,6679905.66,4.63,증가,14
04,hwaterCool,수도 사용량,-0.43,-46.4636,8806.23,-0.53,감소,11
05,heat,난방 사용량,0.8096,751417.2857,7219150.86,10.41,증가,14
05,waterHot,급탕 사용량,0.7615,279600.0,6682400.0,4.18,증가,5
05,hwaterHot,급탕 사용량,-0.1318,-4.6364,1948.45,-0.24,감소,11
05,elect,전기 사용량,-0.4046,-332367.0549,23349300.86,-1.42,감소,14
05,helect,전기 사용량,-0.6509,-962.8909,135123.18,-0.71,감소,11
05,waterCool,수도 사용량,0.9129,383626.1275,6316666.17,6.07,증가,14
05,hwaterCool,수도 사용량,-0.6574,-95.3273,8986.64,-1.06,감소,11
06,heat,난방 사용량,0.8292,713343.1429,4689278.86,15.21,증가,14
06,waterHot,급탕 사용량,-0.3139,-70800.0,6385600.0,-1.11,감소,5
06,hwaterHot,급탕 사용량,0.2989,12.017,1519.82,0.79,증가,10
06,elect,전기 사용량,-0.2986,-229443.2308,23706710.29,-0.97,감소,14
06,helect,전기 사용량,-0.7587,-1209.7879,140736.18,-0.86,감소,10
06,waterCool,수도 사용량,0.8029,258844.022,7384158.86,3.51,증가,14
06,hwaterCool,수도 사용량,-0.6621,-84.9545,9326.68,-0.91,감소,10
07,heat,난방 사용량,0.7858,671380.4615,4124937.71,16.28,증가,14
07,waterHot,급탕 사용량,-0.3895,-125162.0,5352762.0,-2.34,감소,5
07,hwaterHot,급탕 사용량,0.307,10.3909,1237.05,0.84,증가,11
07,elect,전기 사용량,-0.0041,-4315.6264,25630030.86,-0.02,감소,14
07,helect,전기 사용량,0.6444,1788.6273,149841.68,1.19,증가,11
07,waterCool,수도 사용량,0.8223,326207.4549,7058268.4,4.62,증가,14
07,hwaterCool,수도 사용량,-0.7302,-78.5182,9374.77,-0.84,감소,11
08,heat,난방 사용량,0.7839,623929.6484,3462406.57,18.02,증가,14
08,waterHot,급탕 사용량,0.2622,94000.0,4367200.0,2.15,증가,5
08,hwaterHot,급탕 사용량,0.0583,3.0727,1102.45,0.28,증가,11
08,elect,전기 사용량,0.1763,390004.5495,39194068.29,1.0,증가,14
08,helect,전기 사용량,0.4975,5194.9455,201799.91,2.57,증가,11
08,waterCool,수도 사용량,0.8388,306307.4066,7376666.86,4.15,증가,14
