month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.2934,-3747844.5,236210054.83,-1.59,감소,15
01,waterHot,급탕 사용량,-0.1698,-104295.5357,17941768.75,-0.58,감소,15
01,hwaterHot,급탕 사용량,-0.6362,-521.6978,10623.19,-4.91,감소,13
01,elect,전기 사용량,-0.4424,-797132.1786,51540689.92,-1.55,감소,15
01,helect,전기 사용량,-0.8816,-4635.0549,317655.1,-1.46,감소,13
01,waterCool,수도 사용량,0.1369,17523.5881,1124791.64,1.56,증가,11
02,heat,난방 사용량,-0.2704,-2899807.5357,190108050.08,-1.53,감소,15
02,waterHot,급탕 사용량,-0.5535,-598940.6429,27961057.17,-2.14,감소,15
02,hwaterHot,급탕 사용량,-0.7328,-930.6209,15870.73,-5.86,감소,13
02,elect,전기 사용량,-0.3956,-673943.3929,49731434.42,-1.36,감소,15
02,helect,전기 사용량,-0.9101,-4657.2088,317036.71,-1.47,감소,13
02,waterCool,수도 사용량,-0.4258,-37694.5833,1141636.5,-3.3,감소,10
03,heat,난방 사용량,-0.6041,-7113639.7253,177168632.2,-4.02,감소,13
03,waterHot,급탕 사용량,-0.3988,-152300.8242,16960131.87,-0.9,감소,13
03,hwaterHot,급탕 사용량,-0.6444,-526.451,9790.73,-5.38,감소,12
03,elect,전기 사용량,-0.2265,-359522.6923,37291615.38,-0.96,감소,13
03,helect,전기 사용량,-0.6434,-3368.479,280899.88,-1.2,감소,12
03,waterCool,수도 사용량,0.4327,232552.4228,958356.93,24.27,증가,12
04,heat,난방 사용량,-0.7912,-6571910.0879,118900733.43,-5.53,감소,14
04,waterHot,급탕 사용량,-0.4857,-210036.6593,17901299.71,-1.17,감소,14
04,hwaterHot,급탕 사용량,-0.6918,-502.6049,9804.08,-5.13,감소,12
04,elect,전기 사용량,-0.3723,-483251.1209,41771973.71,-1.16,감소,14
04,helect,전기 사용량,-0.8953,-4302.5245,299860.22,-1.43,감소,12
04,waterCool,수도 사용량,0.3221,68713.4399,887787.77,7.74,증가,10
05,heat,난방 사용량,-0.5802,-1615752.022,41872378.86,-3.86,감소,14
05,waterHot,급탕 사용량,-0.2948,-218176.3736,14998521.43,-1.45,감소,14
05,hwaterHot,급탕 사용량,-0.6613,-579.2657,9266.46,-6.25,감소,12
05,elect,전기 사용량,-0.4392,-562452.1099,39756125.14,-1.41,감소,14
05,helect,전기 사용량,-0.9305,-5063.3601,297512.73,-1.7,감소,12
05,waterCool,수도 사용량,0.529,139139.2377,623364.96,22.32,증가,12
06,heat,난방 사용량,-0.4138,-728842.3736,23207824.0,-3.14,감소,14
06,waterHot,급탕 사용량,-0.279,-112028.6585,12883450.0,-0.87,감소,13
06,hwaterHot,급탕 사용량,-0.6569,-411.9948,7779.79,-5.3,감소,11
06,elect,전기 사용량,-0.2042,-266305.8242,41439617.14,-0.64,감소,14
06,helect,전기 사용량,-0.7411,-3937.3951,311755.09,-1.26,감소,12
06,waterCool,수도 사용량,0.3564,64708.1406,1048539.85,6.17,증가,10
07,heat,난방 사용량,-0.4097,-570335.2967,16166840.86,-3.53,감소,14
07,waterHot,급탕 사용량,-0.7385,-420918.8118,12408339.43,-3.39,감소,13
07,hwaterHot,급탕 사용량,-0.7855,-489.0103,6749.42,-7.25,감소,11
07,elect,전기 사용량,0.1194,169665.033,44164158.0,0.38,증가,14
07,helect,전기 사용량,0.2757,1523.1364,330007.5,0.46,증가,12
07,waterCool,수도 사용량,0.1539,28046.9754,755165.46,3.71,증가,13
08,heat,난방 사용량,-0.1237,-146382.5934,12514378.29,-1.17,감소,14
08,waterHot,급탕 사용량,0.2286,90864.5934,6113413.71,1.49,증가,14
08,hwaterHot,급탕 사용량,-0.4725,-165.6573,3893.78,-4.25,감소,12
08,elect,전기 사용량,0.0616,189584.5714,61110943.14,0.31,증가,14
08,helect,전기 사용량,0.382,5426.1259,403409.97,1.35,증가,12
08,waterCool,수도 사용량,-0.1059,-24565.3283,1545807.24,-1.59,감소,10
09,heat,난방 사용량,-0.3872,-476375.3187,19332083.14,-2.46,감소,14
09,waterHot,급탕 사용량,-0.4109,-172098.3956,10507144.57,-1.64,감소,14
09,hwaterHot,급탕 사용량,-0.6751,-340.3916,5915.99,-5.75,감소,12
09,elect,전기 사용량,0.3098,951983.4066,36290741.43,2.62,증가,14
09,helect,전기 사용량,0.4084,3861.5315,308047.08,1.25,증가,12
09,waterCool,수도 사용량,0.1321,33256.0202,1000571.5,3.32,증가,11
10,heat,난방 사용량,-0.4451,-1471042.2857,70445637.33,-2.09,감소,15
10,waterHot,급탕 사용량,-0.4398,-185114.011,13245664.84,-1.4,감소,13
10,hwaterHot,급탕 사용량,-0.672,-447.1783,7800.4,-5.73,감소,12
10,elect,전기 사용량,-0.1444,-172191.6484,36696939.12,-0.47,감소,13
10,helect,전기 사용량,-0.9162,-4297.6818,291434.5,-1.47,감소,12
10,waterCool,수도 사용량,-0.1348,-26048.7968,1061802.62,-2.45,감소,10
11,heat,난방 사용량,-0.1282,-1095737.9643,136524805.08,-0.8,감소,15
11,waterHot,급탕 사용량,-0.2867,-132136.6071,16122356.25,-0.82,감소,15
11,hwaterHot,급탕 사용량,-0.7142,-541.6084,9596.18,-5.64,감소,12
11,elect,전기 사용량,-0.4451,-577857.8929,44451235.25,-1.3,감소,15
11,helect,전기 사용량,-0.9077,-4726.6643,302378.15,-1.56,감소,12
11,waterCool,수도 사용량,0.2773,49189.4713,962831.9,5.11,증가,12
12,heat,난방 사용량,-0.1464,-1627657.0357,208741613.92,-0.78,감소,15
12,waterHot,급탕 사용량,-0.4361,-168387.2143,17616548.5,-0.96,감소,15
12,hwaterHot,급탕 사용량,-0.5461,-383.7418,9267.3,-4.14,감소,13
12,elect,전기 사용량,-0.42,-604115.4286,45954716.0,-1.31,감소,15
12,helect,전기 사용량,-0.9047,-3773.6049,297880.58,-1.27,감소,12
12,waterCool,수도 사용량,-0.2364,-34374.45,1245050.4,-2.76,감소,9
