month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.0941,-81102.7036,11581787.52,-0.7,감소,15
01,helect,전기 사용량,0.0389,14.3627,57199.72,0.03,증가,10
01,waterCool,수도 사용량,0.3927,106681.2857,2361121.0,4.52,증가,15
01,hwaterCool,수도 사용량,-0.7451,-35.6208,3715.44,-0.96,감소,10
02,elect,전기 사용량,0.0801,43921.7857,9438737.03,0.47,증가,15
02,helect,전기 사용량,0.4608,1348.1189,40752.68,3.31,증가,12
02,waterCool,수도 사용량,0.6434,119385.9286,2265633.17,5.27,증가,15
02,hwaterCool,수도 사용량,-0.6303,-41.3818,3466.73,-1.19,감소,11
03,elect,전기 사용량,-0.2782,-196786.9505,10756039.78,-1.83,감소,13
03,helect,전기 사용량,-0.4922,-74908.553,576949.95,-12.98,감소,10
03,waterCool,수도 사용량,0.1764,47069.2308,3028109.23,1.55,증가,13
03,hwaterCool,수도 사용량,-0.4747,-21448.0549,163793.36,-13.09,감소,10
04,elect,전기 사용량,-0.3399,-93736.3802,9791386.54,-0.96,감소,14
04,helect,전기 사용량,-0.651,-219.5636,50228.0,-0.44,감소,11
04,waterCool,수도 사용량,0.9586,90348.989,2916542.29,3.1,증가,14
04,hwaterCool,수도 사용량,0.0985,2834.1,18169.77,15.6,증가,11
05,elect,전기 사용량,-0.2286,-61404.9758,9633070.63,-0.64,감소,14
05,helect,전기 사용량,-0.4521,-166.7091,50479.73,-0.33,감소,11
05,waterCool,수도 사용량,0.9055,78113.5385,3179966.29,2.46,증가,14
05,hwaterCool,수도 사용량,-0.8681,-52.9636,4001.0,-1.32,감소,11
06,elect,전기 사용량,-0.0807,-46502.0725,9614678.83,-0.48,감소,14
06,helect,전기 사용량,0.8912,465.2994,49608.14,0.94,증가,8
06,waterCool,수도 사용량,0.2115,50311.1648,3108420.29,1.62,증가,14
06,hwaterCool,수도 사용량,-0.8767,-61.0276,3962.74,-1.54,감소,8
07,elect,전기 사용량,-0.0347,-14864.5143,12861454.2,-0.12,감소,14
07,helect,전기 사용량,0.5006,1192.2182,60983.0,1.96,증가,11
07,waterCool,수도 사용량,0.8544,77782.7473,3391727.14,2.29,증가,14
07,hwaterCool,수도 사용량,-0.7813,-113.1455,4400.09,-2.57,감소,11
08,elect,전기 사용량,0.0929,55303.7143,12091973.87,0.46,증가,15
08,helect,전기 사용량,0.6764,1774.4182,57619.27,3.08,증가,11
08,waterCool,수도 사용량,0.705,162711.1071,2427185.58,6.7,증가,15
08,hwaterCool,수도 사용량,-0.8814,-67.7818,4222.27,-1.61,감소,11
09,elect,전기 사용량,0.1915,71688.7802,8682061.0,0.83,증가,14
09,helect,전기 사용량,0.6115,717.2209,46661.75,1.54,증가,9
09,waterCool,수도 사용량,0.8353,76161.4286,3146977.14,2.42,증가,14
09,hwaterCool,수도 사용량,-0.9271,-51.686,4003.89,-1.29,감소,9
10,elect,전기 사용량,-0.2163,-59806.1679,9824610.51,-0.61,감소,15
10,helect,전기 사용량,-0.1003,-36.5909,50018.05,-0.07,감소,11
10,waterCool,수도 사용량,0.9296,92458.6071,2926607.75,3.16,증가,15
10,hwaterCool,수도 사용량,-0.9015,-48.7727,3968.32,-1.23,감소,11
11,elect,전기 사용량,-0.2886,-157669.8429,11036144.37,-1.43,감소,15
11,helect,전기 사용량,-0.1839,-73.9504,52044.16,-0.14,감소,10
11,waterCool,수도 사용량,0.2497,52137.3214,2882780.08,1.81,증가,15
11,hwaterCool,수도 사용량,-0.9102,-54.2672,3873.21,-1.4,감소,10
12,elect,전기 사용량,-0.3317,-216941.725,12950440.61,-1.68,감소,15
12,helect,전기 사용량,0.0018,0.5909,56798.65,0.0,증가,10
12,waterCool,수도 사용량,0.3327,70293.0,2746209.67,2.56,증가,15
12,hwaterCool,수도 사용량,-0.7936,-50.2273,3806.34,-1.32,감소,10
