month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.2214,-36841.6071,4806417.92,-0.77,감소,15
01,helect,전기 사용량,-0.8628,-1567.3482,46545.22,-3.37,감소,10
01,waterCool,수도 사용량,0.5606,20357.5,1502293.5,1.36,증가,15
01,hwaterCool,수도 사용량,-0.408,-12.1175,2166.92,-0.56,감소,10
02,elect,전기 사용량,-0.4145,-77251.25,4303486.75,-1.8,감소,15
02,helect,전기 사용량,-0.8497,-1513.6236,41797.39,-3.62,감소,9
02,waterCool,수도 사용량,0.1865,6096.6786,1419704.58,0.43,증가,15
02,hwaterCool,수도 사용량,-0.2051,-5.4195,1959.88,-0.28,감소,9
03,elect,전기 사용량,-0.6208,-121506.9231,4793155.71,-2.54,감소,14
03,helect,전기 사용량,-0.8117,-1652.3774,43196.21,-3.83,감소,9
03,waterCool,수도 사용량,0.253,11013.0549,1554956.57,0.71,증가,14
03,hwaterCool,수도 사용량,-0.0734,-5.0436,2068.46,-0.24,감소,9
04,elect,전기 사용량,-0.6438,-129117.7925,4370002.75,-2.95,감소,13
04,helect,전기 사용량,-0.7978,-1497.2957,38787.85,-3.86,감소,7
04,waterCool,수도 사용량,0.2579,6510.8507,1552645.01,0.42,증가,13
04,hwaterCool,수도 사용량,-0.7339,-824.2332,7714.66,-10.68,감소,7
05,elect,전기 사용량,-0.6516,-132058.022,4471177.14,-2.95,감소,14
05,helect,전기 사용량,-0.8455,-1633.25,41526.75,-3.93,감소,9
05,waterCool,수도 사용량,0.2007,5391.011,1705314.86,0.32,증가,14
05,hwaterCool,수도 사용량,-0.2126,-6.0491,2262.7,-0.27,감소,9
06,elect,전기 사용량,-0.6143,-135973.011,4373140.29,-3.11,감소,14
06,helect,전기 사용량,-0.7699,-1302.0179,40372.98,-3.22,감소,9
06,waterCool,수도 사용량,0.1198,3758.989,1700563.71,0.22,증가,14
06,hwaterCool,수도 사용량,-0.5952,-21.2277,2304.52,-0.92,감소,9
07,elect,전기 사용량,-0.5502,-108787.9341,5083106.57,-2.14,감소,14
07,helect,전기 사용량,-0.2993,-338.956,43235.5,-0.78,감소,8
07,waterCool,수도 사용량,-0.18,-4102.7473,1829931.43,-0.22,감소,14
07,hwaterCool,수도 사용량,-0.74,-29.9119,2418.99,-1.24,감소,8
08,elect,전기 사용량,0.1144,38123.5262,3917791.49,0.97,증가,14
08,helect,전기 사용량,0.131,209.4245,40271.93,0.52,증가,8
08,waterCool,수도 사용량,0.471,47088.9987,1363316.37,3.45,증가,14
08,hwaterCool,수도 사용량,-0.7506,-24.1069,2429.86,-0.99,감소,8
09,elect,전기 사용량,0.0637,15815.4179,3203810.14,0.49,증가,15
09,helect,전기 사용량,-0.4197,-787.0405,36799.12,-2.14,감소,9
09,waterCool,수도 사용량,0.4248,41508.25,1370588.25,3.03,증가,15
09,hwaterCool,수도 사용량,-0.3267,-12.1872,2311.64,-0.53,감소,9
10,elect,전기 사용량,-0.1317,-29755.6071,3629011.92,-0.82,감소,15
10,helect,전기 사용량,-0.7653,-1457.0209,39465.79,-3.69,감소,9
10,waterCool,수도 사용량,0.4188,41393.6429,1309993.83,3.16,증가,15
10,hwaterCool,수도 사용량,-0.7005,-26.2709,2321.79,-1.13,감소,9
11,elect,전기 사용량,0.0139,2919.8571,3509658.33,0.08,증가,15
11,helect,전기 사용량,-0.7596,-1254.2318,38628.12,-3.25,감소,9
11,waterCool,수도 사용량,0.4101,40544.8571,1282821.33,3.16,증가,15
11,hwaterCool,수도 사용량,-0.635,-30.067,2301.72,-1.31,감소,9
12,elect,전기 사용량,-0.3205,-49827.7,4691463.37,-1.06,감소,15
12,helect,전기 사용량,-0.6717,-776.3464,38439.22,-2.02,감소,9
12,waterCool,수도 사용량,0.3055,9557.7857,1561232.83,0.61,증가,15
12,hwaterCool,수도 사용량,-0.2679,-9.6872,2186.64,-0.44,감소,9
