month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.3554,-645069.475,33102739.92,-1.95,감소,15
01,helect,전기 사용량,-0.8076,-5939.0815,199101.17,-2.98,감소,11
02,elect,전기 사용량,-0.3728,-336297.3714,27637915.0,-1.22,감소,15
02,helect,전기 사용량,-0.8584,-5592.7552,180767.32,-3.09,감소,12
02,waterCool,수도 사용량,0.4029,415926.9643,13755821.25,3.02,증가,15
02,hwaterCool,수도 사용량,-0.7857,-144.5909,18595.17,-0.78,감소,12
03,elect,전기 사용량,-0.5232,-494182.5253,29112301.2,-1.7,감소,14
03,helect,전기 사용량,-0.9175,-6400.4886,189495.55,-3.38,감소,10
04,elect,전기 사용량,-0.5576,-518500.1209,26998157.86,-1.92,감소,14
04,helect,전기 사용량,-0.9221,-6033.6364,177368.91,-3.4,감소,11
04,waterCool,수도 사용량,0.2356,365252.7473,16762596.59,2.18,증가,13
04,hwaterCool,수도 사용량,-0.2239,-372.3455,22059.09,-1.69,감소,11
05,elect,전기 사용량,-0.3507,-311538.8022,25214999.81,-1.24,감소,13
05,helect,전기 사용량,-0.9329,-6428.0545,180389.36,-3.56,감소,11
06,elect,전기 사용량,-0.2993,-276232.1319,25922142.0,-1.07,감소,14
06,helect,전기 사용량,-0.711,-3894.8182,163707.18,-2.38,감소,11
06,waterCool,수도 사용량,0.3784,463614.3956,15632012.86,2.97,증가,14
06,hwaterCool,수도 사용량,-0.8482,-267.9818,20880.73,-1.28,감소,11
07,elect,전기 사용량,-0.0242,-35692.1143,30655186.89,-0.12,감소,14
07,helect,전기 사용량,-0.2935,-2659.2636,194205.05,-1.37,감소,11
08,elect,전기 사용량,0.323,1465388.7033,26365074.57,5.56,증가,14
08,helect,전기 사용량,-0.0059,-35.8239,200861.28,-0.02,감소,10
08,waterCool,수도 사용량,0.6909,1316071.9121,11851706.86,11.1,증가,14
08,hwaterCool,수도 사용량,-0.8615,-181.892,20859.24,-0.87,감소,10
09,elect,전기 사용량,0.1185,130975.1099,22282171.0,0.59,증가,14
09,helect,전기 사용량,-0.6875,-3286.7538,166088.72,-1.98,감소,10
10,elect,전기 사용량,-0.3307,-257885.6549,25569403.26,-1.01,감소,14
10,helect,전기 사용량,-0.8991,-5432.6217,177937.35,-3.05,감소,10
10,waterCool,수도 사용량,0.9465,394142.3297,14123510.57,2.79,증가,14
10,hwaterCool,수도 사용량,-0.769,-234.1947,20812.75,-1.13,감소,10
11,elect,전기 사용량,-0.3334,-284899.1209,26733418.86,-1.07,감소,14
11,helect,전기 사용량,-0.8416,-5310.4091,170193.59,-3.12,감소,11
12,elect,전기 사용량,-0.4517,-432082.3536,31923560.21,-1.35,감소,15
12,helect,전기 사용량,-0.8006,-5479.9818,187590.73,-2.92,감소,11
12,waterCool,수도 사용량,0.9417,387111.2143,13173197.5,2.94,증가,15
12,hwaterCool,수도 사용량,-0.7078,-232.5545,19683.77,-1.18,감소,11
