month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.3361,800456.1214,21075760.35,3.8,증가,15
01,helect,전기 사용량,0.1461,1200.451,120837.1,0.99,증가,12
01,waterCool,수도 사용량,0.7895,631908.8315,3429802.8,18.42,증가,14
01,hwaterCool,수도 사용량,0.2199,12.3636,7889.91,0.16,증가,11
02,elect,전기 사용량,0.3501,889560.5571,21421432.03,4.15,증가,15
02,helect,전기 사용량,0.1546,1244.486,122129.24,1.02,증가,12
02,waterCool,수도 사용량,0.7644,544986.7717,3524585.66,15.46,증가,14
02,hwaterCool,수도 사용량,-0.1854,-16.8909,7363.55,-0.23,감소,11
03,elect,전기 사용량,0.1536,279118.4429,19008164.17,1.47,증가,15
03,helect,전기 사용량,0.1795,1534.1818,108286.18,1.42,증가,11
03,waterCool,수도 사용량,0.7562,454209.9683,4112473.09,11.04,증가,14
03,hwaterCool,수도 사용량,0.1338,16.7515,7945.02,0.21,증가,10
04,elect,전기 사용량,0.1976,399548.7055,18722464.63,2.13,증가,14
04,helect,전기 사용량,0.1651,1397.0364,111599.18,1.25,증가,11
04,waterCool,수도 사용량,0.7176,459778.7796,4426702.41,10.39,증가,13
04,hwaterCool,수도 사용량,0.227,20.9758,7765.71,0.27,증가,10
05,elect,전기 사용량,0.1383,245605.0536,17429076.82,1.41,증가,15
05,helect,전기 사용량,-0.5101,-110590.7364,886120.59,-12.48,감소,11
05,waterCool,수도 사용량,0.7175,427028.2404,4648441.27,9.19,증가,14
05,hwaterCool,수도 사용량,-0.2696,-23.6121,8467.65,-0.28,감소,10
06,elect,전기 사용량,0.1341,229969.5607,17650783.94,1.3,증가,15
06,helect,전기 사용량,-0.5011,-1047753.1182,7444383.95,-14.07,감소,11
06,waterCool,수도 사용량,0.655,497409.5714,3940285.0,12.62,증가,15
06,hwaterCool,수도 사용량,-0.5,-293891.8364,2065629.45,-14.23,감소,11
07,elect,전기 사용량,0.2028,423729.5104,19506071.32,2.17,증가,14
07,helect,전기 사용량,0.2376,1365.3091,120750.71,1.13,증가,10
07,waterCool,수도 사용량,0.6693,415630.9934,5318049.98,7.82,증가,14
07,hwaterCool,수도 사용량,-0.379,-36.0424,9091.49,-0.4,감소,10
08,elect,전기 사용량,0.2666,690837.0692,27358470.93,2.53,증가,14
08,helect,전기 사용량,0.1706,1112.3091,157894.31,0.7,증가,10
08,waterCool,수도 사용량,0.66,408165.3606,5376014.9,7.59,증가,14
08,hwaterCool,수도 사용량,-0.2866,-30.8121,8908.45,-0.35,감소,10
09,elect,전기 사용량,0.226,822491.2464,20356680.41,4.04,증가,15
09,helect,전기 사용량,0.5398,7139.3545,103263.86,6.91,증가,11
09,waterCool,수도 사용량,0.6932,437518.4597,4860083.25,9.0,증가,14
09,hwaterCool,수도 사용량,-0.1363,-11.5152,8508.02,-0.14,감소,10
10,elect,전기 사용량,0.2673,558009.1679,15797325.29,3.53,증가,15
10,helect,전기 사용량,0.4035,3680.8273,89582.59,4.11,증가,11
10,waterCool,수도 사용량,0.6709,394854.3963,4827505.43,8.18,증가,14
10,hwaterCool,수도 사용량,-0.2849,-28.3818,8420.42,-0.34,감소,10
11,gas,가스 사용량,-1.0,-10600.0,19380.0,-54.7,감소,2
11,hgas,가스 사용량,1.0,6.0,18.0,33.33,증가,2
11,elect,전기 사용량,0.1086,168415.3286,19159072.23,0.88,증가,15
11,helect,전기 사용량,0.2521,2265.1364,96824.05,2.34,증가,11
11,waterCool,수도 사용량,0.7007,425023.0013,4187411.2,10.15,증가,14
11,hwaterCool,수도 사용량,-0.0767,-7.5758,7959.89,-0.1,감소,10
12,gas,가스 사용량,-1.0,-27700.0,206270.0,-13.43,감소,2
12,hgas,가스 사용량,-1.0,-90.0,210.0,-42.86,감소,2
12,elect,전기 사용량,0.1031,167929.9714,20633421.53,0.81,증가,15
12,helect,전기 사용량,0.2559,2594.2489,100720.85,2.58,증가,10
12,waterCool,수도 사용량,0.7364,434418.5231,4087187.08,10.63,증가,14
12,hwaterCool,수도 사용량,0.027,2.8645,7915.89,0.04,증가,9
