month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.2679,-233013.6912,23581855.81,-0.99,감소,16
01,helect,전기 사용량,0.393,213952.9615,-517371.04,-41.35,증가,12
01,waterCool,수도 사용량,-0.091,-1818.1169,295182.34,-0.62,감소,10
02,elect,전기 사용량,-0.5873,-402699.4706,23781928.53,-1.69,감소,16
02,helect,전기 사용량,0.1621,166.4607,89599.68,0.19,증가,11
02,waterCool,수도 사용량,-0.091,-1818.1169,295182.34,-0.62,감소,10
03,elect,전기 사용량,-0.5453,-290481.4286,17691578.67,-1.64,감소,15
03,helect,전기 사용량,-0.1275,-119.5455,80155.18,-0.15,감소,11
03,waterCool,수도 사용량,0.4563,14324.5455,214435.45,6.68,증가,11
04,elect,전기 사용량,-0.6437,-340183.9643,18596661.08,-1.83,감소,15
04,helect,전기 사용량,-0.372,-357.2455,85149.23,-0.42,감소,11
04,waterCool,수도 사용량,0.4563,14324.5455,214435.45,6.68,증가,11
05,elect,전기 사용량,-0.5861,-275924.3571,16511682.5,-1.67,감소,15
05,helect,전기 사용량,-0.4596,-411.8455,80531.05,-0.51,감소,11
05,waterCool,수도 사용량,-0.3239,-10833.1818,365245.0,-2.97,감소,11
06,elect,전기 사용량,-0.014,-14067.7357,14568427.75,-0.1,감소,15
06,helect,전기 사용량,-0.2078,-209.1091,84741.45,-0.25,감소,11
06,waterCool,수도 사용량,-0.3239,-10833.1818,365245.0,-2.97,감소,11
07,elect,전기 사용량,0.0412,47685.8429,15744583.5,0.3,증가,15
07,helect,전기 사용량,0.773,1765.7909,86188.14,2.05,증가,11
07,waterCool,수도 사용량,0.2595,11656.0909,226183.18,5.15,증가,11
08,elect,전기 사용량,-0.3226,-366238.0357,27800372.92,-1.32,감소,15
08,helect,전기 사용량,0.5543,3110.6636,110782.05,2.81,증가,11
08,waterCool,수도 사용량,0.2595,11656.0909,226183.18,5.15,증가,11
09,elect,전기 사용량,-0.0781,-97288.1429,18345068.33,-0.53,감소,15
09,helect,전기 사용량,0.7085,2771.2364,84480.64,3.28,증가,11
09,waterCool,수도 사용량,0.2066,7331.6818,217383.86,3.37,증가,11
10,elect,전기 사용량,-0.4574,-200325.2143,15899416.5,-1.26,감소,15
10,helect,전기 사용량,0.2992,217.7636,78651.82,0.28,증가,11
10,waterCool,수도 사용량,0.2066,7331.6818,217383.86,3.37,증가,11
11,elect,전기 사용량,-0.6418,-329680.7228,18333410.27,-1.8,감소,14
11,helect,전기 사용량,-0.7085,-610.8142,85603.82,-0.71,감소,10
11,waterCool,수도 사용량,-0.0729,-3155.3636,332772.64,-0.95,감소,10
12,elect,전기 사용량,-0.7861,-485665.8929,20917709.92,-2.32,감소,15
12,helect,전기 사용량,-0.3928,-317.7056,87306.95,-0.36,감소,10
12,waterCool,수도 사용량,-0.0729,-3155.3636,332772.64,-0.95,감소,10
