month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.7224,-1052522.3529,13188322.65,-7.98,감소,16
01,waterHot,급탕 사용량,0.775,369143.0,3543148.0,10.42,증가,4
01,elect,전기 사용량,-0.8247,-2420449.4779,56767098.77,-4.26,감소,16
01,helect,전기 사용량,-0.4562,-786.4161,106819.87,-0.74,감소,12
01,waterCool,수도 사용량,-0.5413,-83286.8088,6478069.19,-1.29,감소,16
01,hwaterCool,수도 사용량,-0.4201,-29.4301,5038.28,-0.58,감소,12
02,heat,난방 사용량,-0.7068,-917943.5882,11093789.41,-8.27,감소,16
02,waterHot,급탕 사용량,0.9691,416625.0,3336515.0,12.49,증가,4
02,elect,전기 사용량,-0.8818,-2603739.7853,55709882.01,-4.67,감소,16
02,helect,전기 사용량,-0.9223,-2141.7308,110141.1,-1.94,감소,12
02,waterCool,수도 사용량,-0.1956,-22048.5,5829821.25,-0.38,감소,16
02,hwaterCool,수도 사용량,-0.4161,-35.7867,5071.41,-0.71,감소,12
03,heat,난방 사용량,-0.7714,-666245.8571,6966736.33,-9.56,감소,15
03,waterHot,급탕 사용량,0.3355,146206.0,3371546.0,4.34,증가,4
03,elect,전기 사용량,-0.7388,-1292305.9429,37818364.8,-3.42,감소,15
03,helect,전기 사용량,0.2645,353.4273,88234.23,0.4,증가,11
03,waterCool,수도 사용량,-0.5107,-69310.75,5802569.92,-1.19,감소,15
03,hwaterCool,수도 사용량,-0.4082,-54.8364,4603.64,-1.19,감소,11
04,heat,난방 사용량,-0.7534,-338206.8214,3514998.42,-9.62,감소,15
04,waterHot,급탕 사용량,0.3756,130463.0,3028463.0,4.31,증가,4
04,elect,전기 사용량,-0.8446,-1710474.525,41200287.94,-4.15,감소,15
04,helect,전기 사용량,-0.8815,-1242.7182,95721.77,-1.3,감소,11
04,waterCool,수도 사용량,-0.3596,-65199.2143,6349374.5,-1.03,감소,15
04,hwaterCool,수도 사용량,-0.2537,-15.8364,4973.82,-0.32,감소,11
05,heat,난방 사용량,-0.624,-30438.7857,337661.5,-9.01,감소,15
05,waterHot,급탕 사용량,0.5587,216839.0,2081154.0,10.42,증가,4
05,elect,전기 사용량,-0.7611,-1215444.9893,36329180.33,-3.35,감소,15
05,helect,전기 사용량,-0.0076,-4.8909,89266.0,-0.01,감소,11
05,waterCool,수도 사용량,-0.6192,-127908.2143,6347262.83,-2.02,감소,15
