month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.4982,-6085569.9036,321671932.39,-1.89,감소,15
01,hheat,난방 사용량,-0.6508,-76496339.6004,622010544.28,-12.3,감소,10
01,waterHot,급탕 사용량,-0.6753,-209431.2153,17144826.21,-1.22,감소,13
01,hwaterHot,급탕 사용량,-0.7549,-82.9385,4159.81,-1.99,감소,10
01,elect,전기 사용량,-0.3424,-700956.8041,99259832.17,-0.71,감소,13
01,helect,전기 사용량,-0.3041,-1981.6388,482400.52,-0.41,감소,10
01,waterCool,수도 사용량,0.3953,163715.2194,11400822.15,1.44,증가,13
01,hwaterCool,수도 사용량,-0.9579,-595.5255,17852.21,-3.34,감소,10
02,heat,난방 사용량,-0.752,-7573158.3692,266445729.11,-2.84,감소,14
02,hheat,난방 사용량,-0.5325,-524884.6548,11916006.67,-4.4,감소,8
02,waterHot,급탕 사용량,-0.382,-136468.7178,18559229.52,-0.74,감소,11
02,hwaterHot,급탕 사용량,-0.3157,-47.0833,4248.17,-1.11,감소,8
02,elect,전기 사용량,-0.4725,-926417.1912,93444528.65,-0.99,감소,11
02,helect,전기 사용량,-0.4951,-5193.3333,466972.42,-1.11,감소,8
02,waterCool,수도 사용량,0.7442,299078.28,11395828.26,2.62,증가,11
02,hwaterCool,수도 사용량,-0.7472,-481.9643,16547.25,-2.91,감소,8
03,heat,난방 사용량,-0.6751,-9065577.8527,220554844.26,-4.11,감소,14
03,hheat,난방 사용량,-0.2512,-97388.0476,7955711.92,-1.22,감소,8
03,waterHot,급탕 사용량,-0.3281,-123930.0271,18180794.92,-0.68,감소,11
03,hwaterHot,급탕 사용량,-0.3426,-57.2143,4236.5,-1.35,감소,8
03,elect,전기 사용량,-0.3248,-569547.4671,66693421.45,-0.85,감소,11
03,helect,전기 사용량,0.0337,196.7857,352788.5,0.06,증가,8
03,waterCool,수도 사용량,0.6853,289473.5406,11284952.12,2.57,증가,11
03,hwaterCool,수도 사용량,-0.7137,-527.2262,16681.17,-3.16,감소,8
04,heat,난방 사용량,-0.7113,-5547978.6176,97675729.23,-5.68,감소,14
04,hheat,난방 사용량,-0.5483,-55958142.1333,320046129.53,-17.48,감소,9
04,waterHot,급탕 사용량,-0.5569,-174004.1942,16101997.36,-1.08,감소,12
04,hwaterHot,급탕 사용량,-0.6107,-71.65,3752.49,-1.91,감소,9
04,elect,전기 사용량,-0.6888,-1398546.068,74603766.39,-1.87,감소,12
