month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.0913,-9520.5357,3726587.08,-0.26,감소,15
01,waterCool,수도 사용량,0.6749,104376.5,5414864.5,1.93,증가,15
01,hwaterCool,수도 사용량,-0.4582,-75.6119,6482.78,-1.17,감소,12
02,elect,전기 사용량,-0.1046,-10710.5698,3708271.82,-0.29,감소,15
02,waterCool,수도 사용량,0.9315,184758.8215,5121997.94,3.61,증가,15
02,hwaterCool,수도 사용량,-0.4351,-43.0019,6541.83,-0.66,감소,11
03,elect,전기 사용량,-0.3058,-25404.8571,2886951.33,-0.88,감소,15
03,waterCool,수도 사용량,0.892,101555.5714,4898041.0,2.07,증가,15
03,hwaterCool,수도 사용량,-0.5961,-70.6364,5887.76,-1.2,감소,10
04,elect,전기 사용량,-0.3713,-34545.0357,2932391.25,-1.18,감소,15
04,waterCool,수도 사용량,0.6691,141960.3571,5287478.17,2.68,증가,15
04,hwaterCool,수도 사용량,-0.1473,-22.9818,6291.0,-0.37,감소,11
05,elect,전기 사용량,-0.4547,-34564.3571,2547909.83,-1.36,감소,15
05,waterCool,수도 사용량,0.5695,314993.3214,4596134.75,6.85,증가,15
05,hwaterCool,수도 사용량,-0.4108,-64.9091,6558.09,-0.99,감소,11
06,elect,전기 사용량,-0.0069,-444.5,2458711.5,-0.02,감소,15
06,waterCool,수도 사용량,0.8342,130996.8571,5691480.67,2.3,증가,15
06,hwaterCool,수도 사용량,-0.8235,-122.3091,7174.73,-1.7,감소,11
07,elect,전기 사용량,-0.4481,-37912.75,2982666.58,-1.27,감소,15
07,waterCool,수도 사용량,0.7183,112273.8571,5795177.0,1.94,증가,15
07,hwaterCool,수도 사용량,-0.7664,-78.9152,6799.62,-1.16,감소,10
08,elect,전기 사용량,-0.5461,-63074.8929,3282482.92,-1.92,감소,15
08,waterCool,수도 사용량,0.7716,151959.8929,5954456.75,2.55,증가,15
08,hwaterCool,수도 사용량,-0.3807,-73.6727,7299.18,-1.01,감소,11
09,elect,전기 사용량,-0.3246,-29982.8214,2540639.08,-1.18,감소,15
09,waterCool,수도 사용량,0.8265,126073.8214,5734188.58,2.2,증가,15
09,hwaterCool,수도 사용량,-0.5368,-59.7455,6886.27,-0.87,감소,11
10,elect,전기 사용량,-0.5327,-39682.3571,2543847.17,-1.56,감소,15
10,waterCool,수도 사용량,0.7131,125999.9286,5810255.17,2.17,증가,15
10,hwaterCool,수도 사용량,-0.1132,-18.1926,6751.19,-0.27,감소,10
11,elect,전기 사용량,-0.372,-28628.0714,3109133.17,-0.92,감소,15
11,waterCool,수도 사용량,0.6681,314881.9286,4787681.17,6.58,증가,15
11,hwaterCool,수도 사용량,-0.6981,-100.0455,7006.68,-1.43,감소,11
12,elect,전기 사용량,-0.2064,-17714.9853,3555406.76,-0.5,감소,16
12,waterCool,수도 사용량,0.802,114929.5294,5292278.53,2.17,증가,16
12,hwaterCool,수도 사용량,-0.7341,-76.0455,6505.95,-1.17,감소,11
