month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.004,2361.4286,16048158.2,0.01,증가,15
01,helect,전기 사용량,-0.2476,-268.9825,96580.82,-0.28,감소,12
01,waterCool,수도 사용량,0.8882,144194.0,5278991.33,2.73,증가,15
01,hwaterCool,수도 사용량,-0.8883,-125.1713,6893.19,-1.82,감소,12
02,elect,전기 사용량,0.1092,59596.0214,14883585.58,0.4,증가,15
02,helect,전기 사용량,-0.5724,-385.9056,94315.73,-0.41,감소,12
02,waterCool,수도 사용량,0.9498,152051.7857,5120640.17,2.97,증가,15
02,hwaterCool,수도 사용량,-0.5047,-50.958,6317.77,-0.81,감소,12
03,elect,전기 사용량,-0.2103,-162915.2967,12758129.86,-1.28,감소,14
03,helect,전기 사용량,-0.5185,-1459.5838,90267.02,-1.62,감소,9
03,waterCool,수도 사용량,-0.0366,-15134.1319,5723895.43,-0.26,감소,14
03,hwaterCool,수도 사용량,-0.8279,-185.0559,6979.35,-2.65,감소,9
04,elect,전기 사용량,-0.3642,-126206.1802,14280330.46,-0.88,감소,14
04,helect,전기 사용량,-0.744,-1972.1837,97874.66,-2.02,감소,10
04,waterCool,수도 사용량,0.9223,144357.0769,5573311.14,2.59,증가,14
04,hwaterCool,수도 사용량,-0.8737,-132.375,7075.75,-1.87,감소,10
05,elect,전기 사용량,-0.5763,-187142.1964,13651356.44,-1.37,감소,15
05,helect,전기 사용량,-0.5746,-1410.9182,88985.14,-1.59,감소,11
05,waterCool,수도 사용량,0.5914,233503.5714,5161313.67,4.52,증가,15
05,hwaterCool,수도 사용량,-0.9137,-142.2909,7198.0,-1.98,감소,11
06,elect,전기 사용량,0.2445,99115.0055,13051161.66,0.76,증가,13
06,helect,전기 사용량,0.0334,31.9182,87202.95,0.04,증가,11
06,waterCool,수도 사용량,0.7946,125130.3846,6125207.69,2.04,증가,13
06,hwaterCool,수도 사용량,-0.8077,-130.2455,7302.14,-1.78,감소,11
07,elect,전기 사용량,0.2356,257766.7341,15265404.94,1.69,증가,14
07,helect,전기 사용량,0.5558,1782.8455,98226.86,1.82,증가,11
07,waterCool,수도 사용량,0.3821,152014.4643,6008935.42,2.53,증가,15
07,hwaterCool,수도 사용량,-0.8967,-154.2182,7537.91,-2.05,감소,11
08,elect,전기 사용량,0.2973,287197.6321,18986714.17,1.51,증가,15
08,helect,전기 사용량,0.674,4246.2091,113075.86,3.76,증가,11
08,waterCool,수도 사용량,0.8658,136064.2143,5538378.5,2.46,증가,15
08,hwaterCool,수도 사용량,-0.5854,-77.6091,7076.05,-1.1,감소,11
09,elect,전기 사용량,0.1209,97199.5,14285452.97,0.68,증가,15
09,helect,전기 사용량,0.6634,2777.9113,82190.11,3.38,증가,10
09,waterCool,수도 사용량,0.7221,151392.6786,5508803.92,2.75,증가,15
09,hwaterCool,수도 사용량,-0.6694,-150.9719,7223.77,-2.09,감소,10
10,elect,전기 사용량,-0.2263,-73960.8714,12942504.7,-0.57,감소,15
10,helect,전기 사용량,-0.6276,-523.039,82294.28,-0.64,감소,10
10,waterCool,수도 사용량,0.7998,141701.2143,5348376.17,2.65,증가,15
10,hwaterCool,수도 사용량,-0.7605,-153.3831,7173.66,-2.14,감소,10
11,elect,전기 사용량,0.1962,178678.95,13417718.35,1.33,증가,15
11,helect,전기 사용량,-0.5482,-535.6364,88640.55,-0.6,감소,11
11,waterCool,수도 사용량,0.6174,279922.5,4731632.5,5.92,증가,15
11,hwaterCool,수도 사용량,-0.8738,-95.5909,6734.95,-1.42,감소,11
12,elect,전기 사용량,-0.0854,-37169.5214,14912200.52,-0.25,감소,15
12,helect,전기 사용량,-0.4609,-481.0182,90958.55,-0.53,감소,11
12,waterCool,수도 사용량,0.8048,103233.8901,5413644.0,1.91,증가,14
12,hwaterCool,수도 사용량,-0.916,-130.4,6767.18,-1.93,감소,11
