month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.378,1531970.3464,56853470.64,2.69,증가,15
01,hheat,난방 사용량,-0.5256,-26841.3718,714291.59,-3.76,감소,8
01,waterHot,급탕 사용량,0.2573,789842.2063,27517862.81,2.87,증가,6
01,hwaterHot,급탕 사용량,-0.4617,-1065987.947,9526231.46,-11.19,감소,9
01,hgas,가스 사용량,-0.6004,-100.4857,5668.05,-1.77,감소,6
01,elect,전기 사용량,-0.4812,-610747.0607,35345805.89,-1.73,감소,15
01,helect,전기 사용량,-0.4854,-387907.8039,3789188.83,-10.24,감소,8
01,waterCool,수도 사용량,0.5306,246442.8791,7043533.43,3.5,증가,14
01,hwaterCool,수도 사용량,-0.5158,-413.4934,9522.52,-4.34,감소,8
02,heat,난방 사용량,0.3953,1282093.9941,44195600.17,2.9,증가,16
02,hheat,난방 사용량,-0.4786,-16544.7856,527098.17,-3.14,감소,9
02,waterHot,급탕 사용량,0.2192,548329.9161,23200220.99,2.36,증가,8
02,hwaterHot,급탕 사용량,-0.5449,-201.5575,4829.15,-4.17,감소,9
02,hgas,가스 사용량,-0.661,-82.9429,4944.86,-1.68,감소,6
02,elect,전기 사용량,-0.5765,-675038.8324,35919859.12,-1.88,감소,16
02,helect,전기 사용량,-0.457,-387826.5031,3662935.35,-10.59,감소,9
02,waterCool,수도 사용량,0.5106,219541.0735,5875568.82,3.74,증가,16
02,hwaterCool,수도 사용량,-0.5083,-432.0136,9030.2,-4.78,감소,9
03,heat,난방 사용량,0.212,551896.9604,32637262.26,1.69,증가,14
03,hheat,난방 사용량,-0.797,-10037.4615,284994.46,-3.52,감소,8
03,waterHot,급탕 사용량,0.1368,94730.3333,21516244.29,0.44,증가,8
03,hwaterHot,급탕 사용량,-0.8062,-60.7104,3637.3,-1.67,감소,8
03,hgas,가스 사용량,-0.8064,-160.2,5397.6,-2.97,감소,5
03,elect,전기 사용량,-0.7464,-784551.4549,28553904.46,-2.75,감소,14
03,helect,전기 사용량,-0.4556,-409365.3982,3615487.34,-11.32,감소,8
03,waterCool,수도 사용량,0.7034,253178.6374,6226154.57,4.07,증가,14
03,hwaterCool,수도 사용량,-0.5431,-155.1026,7242.1,-2.14,감소,8
04,heat,난방 사용량,0.4075,509842.6923,12322372.86,4.14,증가,14
04,hheat,난방 사용량,-0.5596,-5168.786,111526.49,-4.63,감소,7
04,waterHot,급탕 사용량,0.245,113614.7778,15145176.51,0.75,증가,8
04,hwaterHot,급탕 사용량,-0.7976,-61.2404,3251.09,-1.88,감소,7
04,hgas,가스 사용량,-0.8942,-169.4,5177.4,-3.27,감소,4
04,elect,전기 사용량,-0.6055,-496158.2747,28462343.14,-1.74,감소,14
04,helect,전기 사용량,-0.4452,-288943.7509,2680325.72,-10.78,감소,7
04,waterCool,수도 사용량,0.7498,281975.1868,5655490.57,4.99,증가,14
04,hwaterCool,수도 사용량,-0.3287,-47.8061,6387.94,-0.75,감소,6
05,heat,난방 사용량,0.5617,755736.4967,4475735.77,16.89,증가,14
05,hheat,난방 사용량,0.0011,341.454,390709.96,0.09,증가,8
05,waterHot,급탕 사용량,0.0626,78365.7258,12171394.56,0.64,증가,7
05,hwaterHot,급탕 사용량,-0.6325,-49.9744,2894.97,-1.73,감소,9
05,hgas,가스 사용량,-0.8364,-152.2,5957.6,-2.55,감소,5
05,elect,전기 사용량,-0.6367,-857307.7179,29530907.23,-2.9,감소,15
05,helect,전기 사용량,-0.3475,-181154.8141,1710964.56,-10.59,감소,9
05,waterCool,수도 사용량,0.4999,196155.4286,7005156.86,2.8,증가,14
05,hwaterCool,수도 사용량,-0.546,-88.6038,7265.35,-1.22,감소,8
06,heat,난방 사용량,0.5724,389171.5993,3132333.14,12.42,증가,13
06,hheat,난방 사용량,-0.6981,-659.5,1932.5,-34.13,감소,3
06,waterHot,급탕 사용량,0.6035,98828.1553,5288542.35,1.87,증가,6
06,hwaterHot,급탕 사용량,-0.7126,-37.9668,2332.56,-1.63,감소,8
06,hgas,가스 사용량,-0.8383,-127.6,6290.8,-2.03,감소,5
06,elect,전기 사용량,-0.1251,-187469.225,23395533.38,-0.8,감소,15
06,helect,전기 사용량,-0.5199,-3091.8733,146838.76,-2.11,감소,8
06,waterCool,수도 사용량,0.8807,268573.9121,6446596.0,4.17,증가,14
06,hwaterCool,수도 사용량,-0.5304,-95.8783,7683.22,-1.25,감소,7
07,heat,난방 사용량,0.8927,517459.6972,671606.37,77.05,증가,13
07,waterHot,급탕 사용량,-0.0517,-66997.8611,7391212.44,-0.91,감소,8
07,hwaterHot,급탕 사용량,-0.644,-27.3942,1992.1,-1.38,감소,9
07,hgas,가스 사용량,-0.6754,-143.0,6737.8,-2.12,감소,5
07,elect,전기 사용량,-0.4923,-1146359.9802,35300688.37,-3.25,감소,14
07,helect,전기 사용량,-0.5585,-351085.5353,2766890.41,-12.69,감소,9
07,waterCool,수도 사용량,0.2503,127005.7582,8647871.14,1.47,증가,14
07,hwaterCool,수도 사용량,-0.7269,-123.9973,8519.11,-1.46,감소,8
08,heat,난방 사용량,0.7981,382921.4437,1505516.99,25.43,증가,13
08,waterHot,급탕 사용량,0.1759,121250.3481,4625939.45,2.62,증가,7
08,hwaterHot,급탕 사용량,-0.8247,-61.2842,2095.63,-2.92,감소,8
08,hgas,가스 사용량,-0.8906,-276.7,6599.0,-4.19,감소,5
08,elect,전기 사용량,-0.3587,-768139.4714,44089201.5,-1.74,감소,15
