month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.5885,9627190.6429,73476219.5,13.1,증가,15
01,hheat,난방 사용량,0.5891,19868.549,916830.56,2.17,증가,12
01,waterHot,급탕 사용량,0.5066,1730283.9286,33791251.83,5.12,증가,15
01,hwaterHot,급탕 사용량,0.1583,9.3741,6935.69,0.14,증가,12
01,elect,전기 사용량,0.352,1574997.3893,56663712.74,2.78,증가,15
01,helect,전기 사용량,-0.7339,-10138.6364,371047.17,-2.73,감소,12
01,waterCool,수도 사용량,0.6887,1884919.5,8575043.5,21.98,증가,15
01,hwaterCool,수도 사용량,-0.4533,-177.2308,21706.44,-0.82,감소,12
02,heat,난방 사용량,0.4567,3927327.8571,72150692.33,5.44,증가,15
02,hheat,난방 사용량,0.376,11440.7091,822219.82,1.39,증가,11
02,waterHot,급탕 사용량,0.2159,450363.8214,36974479.92,1.22,증가,15
02,hwaterHot,급탕 사용량,0.0877,15.7091,6572.55,0.24,증가,11
02,elect,전기 사용량,0.0999,386256.4893,62397398.44,0.62,증가,15
02,helect,전기 사용량,-0.5558,-7231.3727,344077.5,-2.1,감소,11
02,waterCool,수도 사용량,0.7109,1392863.0643,10470615.68,13.3,증가,15
02,hwaterCool,수도 사용량,-0.1866,-55.1727,21106.86,-0.26,감소,11
03,heat,난방 사용량,0.2535,2115241.5,56770802.83,3.73,증가,15
03,hheat,난방 사용량,-0.1905,-3625.1091,532627.0,-0.68,감소,11
03,waterHot,급탕 사용량,0.1804,318946.6429,35876297.5,0.89,증가,15
03,hwaterHot,급탕 사용량,-0.4947,-52.0273,6626.77,-0.79,감소,11
03,elect,전기 사용량,0.2769,1093622.525,48713137.79,2.25,증가,15
03,helect,전기 사용량,-0.528,-6440.6091,311149.86,-2.07,감소,11
03,waterCool,수도 사용량,0.6952,1308988.8571,10176206.0,12.86,증가,15
03,hwaterCool,수도 사용량,-0.2021,-61.6636,20389.59,-0.3,감소,11
04,heat,난방 사용량,-0.1897,-362765.9643,30378588.42,-1.19,감소,15
04,hheat,난방 사용량,-0.0201,-376.3727,232421.5,-0.16,감소,11
04,waterHot,급탕 사용량,0.1408,299184.9286,27982710.17,1.07,증가,15
04,hwaterHot,급탕 사용량,0.3886,44.4818,5892.5,0.75,증가,11
04,elect,전기 사용량,0.0626,197742.9071,56165303.32,0.35,증가,15
04,helect,전기 사용량,-0.6084,-7796.0818,331485.05,-2.35,감소,11
04,waterCool,수도 사용량,0.7412,1313495.0,10068805.0,13.05,증가,15
04,hwaterCool,수도 사용량,-0.5848,-222.0909,20908.82,-1.06,감소,11
05,heat,난방 사용량,0.2343,305382.6071,8399538.42,3.64,증가,15
05,hheat,난방 사용량,0.1091,645.8545,53168.0,1.21,증가,11
05,waterHot,급탕 사용량,0.3516,527942.3956,20094009.43,2.63,증가,14
05,hwaterHot,급탕 사용량,-0.1392,-11.9545,5417.14,-0.22,감소,11
05,elect,전기 사용량,0.2266,751787.7107,50340939.22,1.49,증가,15
05,helect,전기 사용량,-0.566,-6825.0909,316576.82,-2.16,감소,11
05,waterCool,수도 사용량,0.693,1395085.5357,10510830.58,13.27,증가,15
05,hwaterCool,수도 사용량,0.1416,48.0091,20613.59,0.23,증가,11
06,heat,난방 사용량,-0.7165,-44140.0714,4545864.5,-0.97,감소,15
06,hheat,난방 사용량,-0.5709,-200.5665,4060.72,-4.94,감소,4
06,waterHot,급탕 사용량,0.2607,209493.7143,11049038.0,1.9,증가,15
06,hwaterHot,급탕 사용량,0.1908,34.7182,4510.77,0.77,증가,11
06,elect,전기 사용량,0.1865,652723.6929,52116314.88,1.25,증가,15
06,helect,전기 사용량,-0.6035,-5303.6545,306464.18,-1.73,감소,11
06,waterCool,수도 사용량,0.6571,1211005.6071,11650656.08,10.39,증가,15
06,hwaterCool,수도 사용량,-0.7063,-266.9727,22407.41,-1.19,감소,11
07,heat,난방 사용량,0.3024,108.7446,4040968.43,0.0,증가,14
07,waterHot,급탕 사용량,0.5381,468601.4511,6747438.11,6.94,증가,14
07,hwaterHot,급탕 사용량,0.311,30.8383,3509.49,0.88,증가,9
07,elect,전기 사용량,0.109,572748.3,58727209.1,0.98,증가,15
07,helect,전기 사용량,-0.3041,-2233.2767,306588.37,-0.73,감소,10
07,waterCool,수도 사용량,0.6862,1169199.75,12352569.08,9.47,증가,15
07,hwaterCool,수도 사용량,0.0631,22.5744,21421.46,0.11,증가,10
08,heat,난방 사용량,-0.407,-42802.6848,4510106.6,-0.95,감소,14
08,waterHot,급탕 사용량,0.3606,233338.9946,6556033.18,3.56,증가,14
08,hwaterHot,급탕 사용량,0.2104,25.7784,3032.36,0.85,증가,10
08,elect,전기 사용량,0.3468,2196749.2893,69120208.17,3.18,증가,15
08,helect,전기 사용량,0.3611,5782.5091,363279.82,1.59,증가,11
08,waterCool,수도 사용량,0.6208,1134879.5357,12928295.25,8.78,증가,15
08,hwaterCool,수도 사용량,-0.7883,-437.9545,23981.68,-1.83,감소,11
09,heat,난방 사용량,-0.6547,-121200.125,5330930.12,-2.27,감소,14
09,waterHot,급탕 사용량,0.1465,118833.2857,8853073.0,1.34,증가,15
09,hwaterHot,급탕 사용량,-0.2584,-74.2727,3878.73,-1.91,감소,11
