month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.2325,450152.8214,45659377.58,0.99,증가,15
01,hheat,난방 사용량,0.2234,1.7238,295.6,0.58,증가,12
01,waterHot,급탕 사용량,0.8028,1776559.6491,4949315.79,35.9,증가,7
01,hwaterHot,급탕 사용량,-0.7458,-38.9545,3052.83,-1.28,감소,12
01,elect,전기 사용량,0.0439,27143.0821,22898167.96,0.12,증가,15
01,helect,전기 사용량,0.3914,340.7692,96149.1,0.35,증가,12
01,waterCool,수도 사용량,0.9382,210958.0,4927097.33,4.28,증가,15
01,hwaterCool,수도 사용량,0.0117,8.7413,7761.76,0.11,증가,12
02,heat,난방 사용량,0.0417,57749.9341,37178218.29,0.16,증가,14
02,hheat,난방 사용량,-0.1948,-2.1727,252.95,-0.86,감소,11
02,waterHot,급탕 사용량,0.7791,1428905.2632,5488263.16,26.04,증가,7
02,hwaterHot,급탕 사용량,-0.5325,-38.5364,2899.32,-1.33,감소,11
02,elect,전기 사용량,-0.4298,-248120.1692,21236349.03,-1.17,감소,14
02,helect,전기 사용량,-0.0693,-100.2364,89991.0,-0.11,감소,11
02,waterCool,수도 사용량,0.9102,188058.3516,4836154.29,3.89,증가,14
02,hwaterCool,수도 사용량,-0.6318,-80.4,7146.82,-1.12,감소,11
03,heat,난방 사용량,-0.1417,-193489.1209,29355017.14,-0.66,감소,14
03,hheat,난방 사용량,-0.2898,-1.7,142.5,-1.19,감소,11
03,waterHot,급탕 사용량,0.7954,1543478.9474,5041947.37,30.61,증가,7
03,hwaterHot,급탕 사용량,-0.5077,-18.7818,2811.18,-0.67,감소,11
03,elect,전기 사용량,-0.0579,-26436.989,19929102.14,-0.13,감소,14
03,helect,전기 사용량,0.6088,619.5727,88643.77,0.7,증가,11
03,waterCool,수도 사용량,0.9213,201441.8901,5199349.14,3.87,증가,14
03,hwaterCool,수도 사용량,-0.7301,-54.5818,7454.64,-0.73,감소,11
04,heat,난방 사용량,0.0005,424.7033,12718779.43,0.0,증가,14
04,hheat,난방 사용량,0.3865,3.4545,40.73,8.48,증가,11
04,waterHot,급탕 사용량,0.8096,793988.5768,4580172.47,17.34,증가,8
04,hwaterHot,급탕 사용량,-0.4624,-18.0,2663.91,-0.68,감소,11
