month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.2481,-1736160.1985,162608816.8,-1.07,감소,16
01,hheat,난방 사용량,-0.1102,-3.7622,1334.19,-0.28,감소,12
01,waterHot,급탕 사용량,0.5499,1518042.3824,35584652.13,4.27,증가,16
01,hwaterHot,급탕 사용량,0.5805,243.7448,8308.99,2.93,증가,12
01,elect,전기 사용량,0.3845,668472.7103,53953132.36,1.24,증가,16
01,helect,전기 사용량,0.125,316.5839,348438.37,0.09,증가,12
01,waterCool,수도 사용량,0.7859,801883.8166,1069981.17,74.94,증가,14
01,hwaterCool,수도 사용량,1.0,313.0,15958.0,1.96,증가,2
02,heat,난방 사용량,0.2786,1336549.1703,99789493.86,1.34,증가,15
02,hheat,난방 사용량,-0.2142,-8.542,1137.4,-0.75,감소,12
02,waterHot,급탕 사용량,-0.2457,-666815.5589,56852908.4,-1.17,감소,15
02,hwaterHot,급탕 사용량,-0.4877,-210.6923,11291.64,-1.87,감소,12
02,elect,전기 사용량,-0.0166,-28029.9697,53962258.43,-0.05,감소,15
02,helect,전기 사용량,-0.679,-3495.9615,343488.87,-1.02,감소,12
02,waterCool,수도 사용량,0.7201,854049.9418,2341222.6,36.48,증가,14
02,hwaterCool,수도 사용량,1.0,1230.0,12393.0,9.92,증가,2
03,heat,난방 사용량,-0.6079,-2791013.3929,97092175.08,-2.87,감소,15
03,hheat,난방 사용량,-0.636,-15.5818,757.0,-2.06,감소,11
03,waterHot,급탕 사용량,-0.2869,-425990.5357,50904493.08,-0.84,감소,15
03,hwaterHot,급탕 사용량,0.3404,70.5,9209.14,0.77,증가,11
03,elect,전기 사용량,0.5748,926260.3214,44472770.95,2.08,증가,15
03,helect,전기 사용량,0.2276,1419.1909,326197.68,0.44,증가,11
03,waterCool,수도 사용량,0.6537,735945.6391,2398309.54,30.69,증가,14
03,hwaterCool,수도 사용량,1.0,154.0,15256.0,1.01,증가,2
04,heat,난방 사용량,-0.7161,-2295418.2143,49086393.5,-4.68,감소,15
04,hheat,난방 사용량,-0.3791,-8.6636,333.68,-2.6,감소,11
04,waterHot,급탕 사용량,-0.3581,-380262.3929,36850971.42,-1.03,감소,15
04,hwaterHot,급탕 사용량,0.3752,84.1727,8121.23,1.04,증가,11
04,elect,전기 사용량,-0.0343,-49430.0357,51488919.45,-0.1,감소,15
04,helect,전기 사용량,-0.749,-2800.5,335122.86,-0.84,감소,11
04,waterCool,수도 사용량,0.7183,754893.1786,2358142.42,32.01,증가,15
04,hwaterCool,수도 사용량,0.739,231.5,15995.17,1.45,증가,3
05,heat,난방 사용량,-0.4685,-655824.7143,17504952.33,-3.75,감소,15
05,hheat,난방 사용량,-0.1536,-1.0182,102.91,-0.99,감소,11
05,waterHot,급탕 사용량,-0.1721,-147734.1071,28111831.42,-0.53,감소,15
05,hwaterHot,급탕 사용량,0.4197,74.6273,7367.32,1.01,증가,11
05,elect,전기 사용량,0.2131,274905.7821,48067703.12,0.57,증가,15
05,helect,전기 사용량,-0.2756,-587.0727,327957.55,-0.18,감소,11
05,waterCool,수도 사용량,0.6908,576186.2857,2781640.67,20.71,증가,15
05,hwaterCool,수도 사용량,-0.9851,-354.0,18301.33,-1.93,감소,3
06,heat,난방 사용량,-0.1236,-60374.1786,4913855.25,-1.23,감소,15
06,hheat,난방 사용량,-0.511,-0.8545,14.45,-5.91,감소,11
06,waterHot,급탕 사용량,-0.5192,-390799.8929,17125828.58,-2.28,감소,15
06,hwaterHot,급탕 사용량,0.4516,68.6636,5985.77,1.15,증가,11
06,elect,전기 사용량,0.0872,145277.0464,51378020.74,0.28,증가,15
06,helect,전기 사용량,0.12,475.9636,342750.91,0.14,증가,11
06,waterCool,수도 사용량,0.7705,534380.6391,2040014.54,26.19,증가,14
06,hwaterCool,수도 사용량,1.0,143.0,18928.0,0.76,증가,2
07,heat,난방 사용량,-0.1083,-89547.6786,5576367.08,-1.61,감소,15
07,hheat,난방 사용량,0.3487,0.0811,1.51,5.36,증가,6
07,waterHot,급탕 사용량,-0.1657,-118393.886,12760853.47,-0.93,감소,14
07,hwaterHot,급탕 사용량,0.4466,74.0182,5202.55,1.42,증가,11
07,elect,전기 사용량,0.4456,1235855.2143,55596336.97,2.22,증가,15
07,helect,전기 사용량,0.6726,12966.4818,381229.14,3.4,증가,11
07,waterCool,수도 사용량,0.6841,408418.9349,2816500.77,14.5,증가,14
07,hwaterCool,수도 사용량,-1.0,-445.0,21166.0,-2.1,감소,2
08,heat,난방 사용량,-0.1506,-94889.1786,4800668.25,-1.98,감소,15
08,hheat,난방 사용량,-0.8934,-2.2143,9.36,-23.66,감소,3
08,waterHot,급탕 사용량,-0.2413,-146053.6071,11295683.92,-1.29,감소,15
