month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.0818,993780.1071,111634129.92,0.89,증가,15
01,hheat,난방 사용량,-0.8404,-12004.7749,308887.3,-3.89,감소,9
01,waterHot,급탕 사용량,-0.0287,-79328.704,73455203.72,-0.11,감소,12
01,hwaterHot,급탕 사용량,-0.8948,-499.1437,15761.16,-3.17,감소,9
01,elect,전기 사용량,0.344,377819.3464,12057064.31,3.13,증가,15
01,waterCool,수도 사용량,0.389,223491.9565,2180227.17,10.25,증가,14
02,heat,난방 사용량,0.2543,2227191.4643,85477605.75,2.61,증가,15
02,hheat,난방 사용량,-0.6108,-5288.0932,219302.49,-2.41,감소,10
02,waterHot,급탕 사용량,0.1282,279228.1109,59290370.1,0.47,증가,13
02,hwaterHot,급탕 사용량,-0.585,-207.635,12435.7,-1.67,감소,10
02,elect,전기 사용량,0.4566,607407.85,11881309.45,5.11,증가,15
02,waterCool,수도 사용량,0.5752,305859.8694,2452587.89,12.47,증가,13
03,heat,난방 사용량,0.1024,686059.3407,63292785.71,1.08,증가,14
03,hheat,난방 사용량,-0.7893,-8879.6905,183024.42,-4.85,감소,8
03,waterHot,급탕 사용량,-0.2698,-694720.0631,61730676.82,-1.13,감소,11
03,hwaterHot,급탕 사용량,-0.86,-367.6071,12656.75,-2.9,감소,8
03,elect,전기 사용량,0.3455,380851.3187,11272972.57,3.38,증가,14
03,waterCool,수도 사용량,0.5864,370935.9223,1584708.54,23.41,증가,12
04,heat,난방 사용량,-0.1145,-398163.9121,39446901.14,-1.01,감소,14
04,hheat,난방 사용량,-0.6757,-6463.3929,118462.25,-5.46,감소,8
04,waterHot,급탕 사용량,-0.4321,-990322.9757,51103521.37,-1.94,감소,11
04,hwaterHot,급탕 사용량,-0.777,-323.4048,11413.92,-2.83,감소,8
04,elect,전기 사용량,0.4792,469520.8484,6644683.06,7.07,증가,14
04,waterCool,수도 사용량,0.2956,247453.7904,3765155.11,6.57,증가,13
05,heat,난방 사용량,0.2235,352234.3077,12515219.14,2.81,증가,14
05,hheat,난방 사용량,-0.2383,-1069.8571,51925.0,-2.06,감소,8
05,waterHot,급탕 사용량,-0.1995,-407821.9387,37553909.38,-1.09,감소,11
05,hwaterHot,급탕 사용량,-0.8933,-434.0357,11063.25,-3.92,감소,8
05,elect,전기 사용량,0.5154,505748.7775,5204302.28,9.72,증가,13
05,waterCool,수도 사용량,0.3872,290634.2236,2713631.62,10.71,증가,12
06,heat,난방 사용량,-0.313,-140238.1099,4744990.57,-2.96,감소,14
06,hheat,난방 사용량,-0.842,-2115.0,9778.5,-21.63,감소,4
06,waterHot,급탕 사용량,-0.1534,-173755.8792,22624304.95,-0.77,감소,11
06,hwaterHot,급탕 사용량,-0.7997,-174.0238,8092.33,-2.15,감소,8
06,elect,전기 사용량,0.5936,553275.1978,5880901.57,9.41,증가,14
06,waterCool,수도 사용량,0.6895,420212.1573,1224060.08,34.33,증가,12
07,heat,난방 사용량,-0.1822,-42763.0769,1952701.54,-2.19,감소,13
07,waterHot,급탕 사용량,-0.3355,-384993.6384,19921667.95,-1.93,감소,11
07,hwaterHot,급탕 사용량,-0.2665,-68.5714,6375.75,-1.08,감소,8
07,elect,전기 사용량,0.7053,812651.1802,6830954.54,11.9,증가,14
07,waterCool,수도 사용량,0.5215,280411.1394,2244667.76,12.49,증가,13
08,heat,난방 사용량,0.5276,238259.3956,266629.01,89.36,증가,13
08,hheat,난방 사용량,1.0,4332.5,8575.0,50.52,증가,2
08,waterHot,급탕 사용량,-0.2593,-184315.2091,15354917.4,-1.2,감소,12
08,hwaterHot,급탕 사용량,-0.4295,-176.8214,6095.25,-2.9,감소,8
08,elect,전기 사용량,0.5717,717502.0607,8373478.51,8.57,증가,15
08,waterCool,수도 사용량,0.4961,278096.8804,1415627.41,19.64,증가,13
09,heat,난방 사용량,0.0265,17718.5,3739581.17,0.47,증가,15
09,hheat,난방 사용량,-0.8183,-3985.9,22634.2,-17.61,감소,5
09,waterHot,급탕 사용량,-0.5393,-483091.1977,22272324.82,-2.17,감소,12
09,hwaterHot,급탕 사용량,-0.4938,-171.7381,6970.58,-2.46,감소,8
09,elect,전기 사용량,0.5106,619303.6694,8875537.93,6.98,증가,14
09,waterCool,수도 사용량,0.4236,179658.1399,1479134.72,12.15,증가,14
10,heat,난방 사용량,0.2822,706265.4643,19846122.42,3.56,증가,15
10,hheat,난방 사용량,-0.3834,-3297.7619,93890.17,-3.51,감소,8
10,waterHot,급탕 사용량,-0.6588,-1168256.4259,39918124.86,-2.93,감소,12
10,hwaterHot,급탕 사용량,-0.9254,-422.2976,10030.67,-4.21,감소,8
10,elect,전기 사용량,0.6501,590610.2643,5525427.35,10.69,증가,15
10,waterCool,수도 사용량,0.5181,236589.5714,616751.57,38.36,증가,14
