month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.4299,289753.3015,7533007.43,3.85,증가,16
01,helect,전기 사용량,0.643,2161.8688,32207.11,6.71,증가,9
01,waterCool,수도 사용량,0.9785,235319.4728,3752905.98,6.27,증가,14
01,hwaterCool,수도 사용량,0.1202,14.0357,5990.04,0.23,증가,7
02,elect,전기 사용량,0.184,91424.0,8427422.57,1.08,증가,14
02,helect,전기 사용량,0.7519,3158.7815,27536.65,11.47,증가,8
03,elect,전기 사용량,0.0228,9331.0,7259868.33,0.13,증가,15
03,helect,전기 사용량,0.6879,2617.1597,24892.41,10.51,증가,8
03,waterCool,수도 사용량,0.9817,218346.9565,3668922.17,5.95,증가,13
03,hwaterCool,수도 사용량,-0.1232,-19.9286,5834.79,-0.34,감소,7
04,elect,전기 사용량,0.1489,60523.6429,7174652.5,0.84,증가,15
04,helect,전기 사용량,0.7808,3602.7007,23258.41,15.49,증가,7
05,elect,전기 사용량,0.3759,249676.3214,5911654.08,4.22,증가,15
05,helect,전기 사용량,0.8436,3127.5279,20866.7,14.99,증가,7
05,waterCool,수도 사용량,0.9855,227743.3765,3818471.36,5.96,증가,14
05,hwaterCool,수도 사용량,0.4534,93.2,6068.2,1.54,증가,5
06,elect,전기 사용량,0.5623,579674.4286,5374585.67,10.79,증가,15
06,helect,전기 사용량,0.8885,4064.5467,19600.9,20.74,증가,8
06,waterCool,수도 사용량,1.0,504180.0,6682030.0,7.55,증가,2
06,hwaterCool,수도 사용량,1.0,168.0,5839.0,2.88,증가,2
07,elect,전기 사용량,0.5271,672979.6607,6086718.37,11.06,증가,15
07,helect,전기 사용량,0.8955,5278.8974,28651.18,18.42,증가,9
07,waterCool,수도 사용량,0.9798,199773.889,4301074.8,4.64,증가,14
07,hwaterCool,수도 사용량,0.6207,61.9193,6271.06,0.99,증가,6
08,elect,전기 사용량,0.4156,692073.2088,10581529.14,6.54,증가,14
08,helect,전기 사용량,0.5417,3664.5385,47150.09,7.77,증가,9
08,hwaterCool,수도 사용량,-1.0,-68.5,6627.0,-1.03,감소,2
09,elect,전기 사용량,0.4118,419911.6429,6065365.5,6.92,증가,15
09,helect,전기 사용량,-0.1186,-244.5965,49901.91,-0.49,감소,8
09,waterCool,수도 사용량,0.9635,220588.2748,4301004.59,5.13,증가,14
09,hwaterCool,수도 사용량,0.3153,47.7857,6547.07,0.73,증가,7
10,elect,전기 사용량,-0.0539,-8540.5714,7670282.73,-0.11,감소,15
10,helect,전기 사용량,0.1818,308.3058,42624.64,0.72,증가,8
11,elect,전기 사용량,0.3639,235948.1464,6879864.11,3.43,증가,15
11,helect,전기 사용량,0.0655,41.7143,44836.29,0.09,증가,8
11,waterCool,수도 사용량,0.9851,217323.6645,4071889.99,5.34,증가,14
11,hwaterCool,수도 사용량,0.0906,8.0357,6165.61,0.13,증가,7
12,elect,전기 사용량,0.5295,410422.2321,7293264.71,5.63,증가,15
12,helect,전기 사용량,0.2521,158.45,45622.64,0.35,증가,9
12,waterCool,수도 사용량,-1.0,-106920.0,7038860.0,-1.52,감소,2
12,hwaterCool,수도 사용량,-1.0,-109.0,5918.0,-1.84,감소,2
