month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.5635,813609.1071,25012588.25,3.25,증가,15
01,hheat,난방 사용량,0.4319,402.4441,29669.64,1.36,증가,12
01,waterHot,급탕 사용량,-0.6134,-351535.3571,8508293.21,-4.13,감소,7
01,hwaterHot,급탕 사용량,-0.9094,-45.9371,2154.82,-2.13,감소,12
01,elect,전기 사용량,-0.7432,-519074.4607,17361482.42,-2.99,감소,15
01,helect,전기 사용량,-0.8841,-6647.7413,139429.24,-4.77,감소,12
01,waterCool,수도 사용량,-0.0395,-5226.0,5096997.33,-0.1,감소,15
01,hwaterCool,수도 사용량,-0.8178,-288.9406,5876.09,-4.92,감소,12
02,heat,난방 사용량,0.7111,892505.0357,18785723.42,4.75,증가,15
02,hheat,난방 사용량,0.447,237.7727,26311.0,0.9,증가,12
02,waterHot,급탕 사용량,-0.2227,-45032.1429,6603475.0,-0.68,감소,7
02,hwaterHot,급탕 사용량,-0.9036,-61.8916,2149.32,-2.88,감소,12
02,elect,전기 사용량,-0.6748,-414458.3857,13990508.7,-2.96,감소,15
02,helect,전기 사용량,-0.4804,-48110405.4301,368923025.62,-13.04,감소,12
02,waterCool,수도 사용량,-0.3103,-40688.8929,4916651.58,-0.83,감소,15
02,hwaterCool,수도 사용량,-0.8253,-253.1818,5119.73,-4.95,감소,11
03,heat,난방 사용량,0.4812,361540.022,16401904.86,2.2,증가,14
03,hheat,난방 사용량,-0.0759,-36.7909,20250.41,-0.18,감소,11
03,waterHot,급탕 사용량,0.1374,20580.3571,6136553.21,0.34,증가,7
03,hwaterHot,급탕 사용량,-0.8836,-59.9727,2133.05,-2.81,감소,11
03,elect,전기 사용량,-0.7685,-528772.3209,14891468.8,-3.55,감소,14
03,helect,전기 사용량,-0.8377,-4989.1545,118903.68,-4.2,감소,11
03,waterCool,수도 사용량,-0.1044,-16260.7473,5203089.14,-0.31,감소,14
03,hwaterCool,수도 사용량,-0.797,-331.7909,6341.59,-5.23,감소,11
04,heat,난방 사용량,0.3782,192952.2198,9462956.29,2.04,증가,14
04,hheat,난방 사용량,-0.2755,-211.1273,11726.09,-1.8,감소,11
04,waterHot,급탕 사용량,-0.3233,-80923.9286,5482086.07,-1.48,감소,7
04,hwaterHot,급탕 사용량,-0.8632,-47.6636,1806.23,-2.64,감소,11
04,elect,전기 사용량,-0.726,-469546.3692,13527370.11,-3.47,감소,14
04,helect,전기 사용량,-0.9263,-5549.7909,120535.32,-4.6,감소,11
04,waterCool,수도 사용량,-0.1359,-20766.989,5098902.57,-0.41,감소,14
04,hwaterCool,수도 사용량,-0.8096,-260.0909,5960.36,-4.36,감소,11
05,heat,난방 사용량,0.4684,273193.6264,3940457.14,6.93,증가,14
05,hheat,난방 사용량,-0.3114,-255.7636,6698.55,-3.82,감소,11
05,waterHot,급탕 사용량,-0.2823,-42750.7453,4501262.36,-0.95,감소,6
05,hwaterHot,급탕 사용량,-0.92,-45.8091,1692.14,-2.71,감소,11
05,elect,전기 사용량,-0.7309,-483720.2286,13929834.34,-3.47,감소,14
05,helect,전기 사용량,-0.9293,-5593.0818,123329.68,-4.54,감소,11
05,waterCool,수도 사용량,-0.3478,-36315.3846,5593308.57,-0.65,감소,14
05,hwaterCool,수도 사용량,-0.04,-35.0455,6113.86,-0.57,감소,11
06,heat,난방 사용량,0.7856,205003.5824,282581.71,72.55,증가,14
06,hheat,난방 사용량,0.2832,368.8382,1105.65,33.36,증가,8
06,waterHot,급탕 사용량,-0.4039,-18327.1429,3387224.29,-0.54,감소,7
06,hwaterHot,급탕 사용량,-0.509,-31.7182,1386.77,-2.29,감소,11
06,elect,전기 사용량,-0.7732,-527892.3868,14076407.23,-3.75,감소,14
06,helect,전기 사용량,-0.8889,-4876.8727,120817.18,-4.04,감소,11
06,waterCool,수도 사용량,-0.1525,-22738.1319,5493708.57,-0.41,감소,14
06,hwaterCool,수도 사용량,0.1499,268.8273,5622.77,4.78,증가,11
07,heat,난방 사용량,0.6157,163377.8022,335048.57,48.76,증가,14
07,waterHot,급탕 사용량,-0.5295,-74080.7143,3212029.29,-2.31,감소,7
07,hwaterHot,급탕 사용량,-0.5616,-31.9909,1131.77,-2.83,감소,11
07,elect,전기 사용량,-0.611,-445537.9846,16539151.4,-2.69,감소,14
07,helect,전기 사용량,-0.6557,-3092.4909,135145.0,-2.29,감소,11
07,waterCool,수도 사용량,-0.1731,-25498.2637,6034036.57,-0.42,감소,14
07,hwaterCool,수도 사용량,-0.8617,-239.4727,6858.55,-3.49,감소,11
08,heat,난방 사용량,0.85,171349.439,-205103.85,-83.54,증가,13
08,hheat,난방 사용량,-1.0,-86.0,362.0,-23.76,감소,2
08,waterHot,급탕 사용량,-0.4264,-74940.0,2398978.57,-3.12,감소,7
08,hwaterHot,급탕 사용량,-0.5056,-19.4091,921.95,-2.11,감소,11
08,elect,전기 사용량,-0.3896,-384835.1033,15974730.74,-2.41,감소,14
08,helect,전기 사용량,-0.453,-2389.6182,135764.91,-1.76,감소,11
08,waterCool,수도 사용량,0.0841,7005.4505,5788281.71,0.12,증가,14
08,hwaterCool,수도 사용량,-0.0133,-11.3091,6825.45,-0.17,감소,11
09,heat,난방 사용량,0.5781,123258.6429,1106037.5,11.14,증가,15
09,hheat,난방 사용량,0.3942,94.2274,900.55,10.46,증가,9
09,waterHot,급탕 사용량,0.279,40795.2381,2439036.67,1.67,증가,8
09,hwaterHot,급탕 사용량,-0.7617,-31.4455,1116.77,-2.82,감소,11
09,elect,전기 사용량,-0.473,-315018.8964,13311175.68,-2.37,감소,15
09,helect,전기 사용량,-0.6925,-4567.9,121488.77,-3.76,감소,11
09,waterCool,수도 사용량,-0.207,-25990.75,5633667.92,-0.46,감소,15
09,hwaterCool,수도 사용량,-0.8194,-238.4545,6523.73,-3.66,감소,11
10,heat,난방 사용량,0.4774,266900.1429,5601593.0,4.76,증가,15
10,hheat,난방 사용량,-0.3122,-172.0195,9535.81,-1.8,감소,10
10,waterHot,급탕 사용량,-0.2501,-75951.9048,3947399.17,-1.92,감소,8
10,hwaterHot,급탕 사용량,-0.8088,-39.9455,1389.27,-2.88,감소,11
10,elect,전기 사용량,-0.7465,-456326.0321,14301901.16,-3.19,감소,15
10,helect,전기 사용량,-0.8858,-5371.5364,120067.05,-4.47,감소,11
10,waterCool,수도 사용량,-0.3648,-42323.3929,5332107.75,-0.79,감소,15
10,hwaterCool,수도 사용량,-0.8976,-245.1182,6171.59,-3.97,감소,11
11,heat,난방 사용량,0.6732,440267.2857,12442431.67,3.54,증가,15
11,hheat,난방 사용량,-0.5602,-334.4545,20170.64,-1.66,감소,11
11,waterHot,급탕 사용량,-0.4162,-176409.4048,5165931.67,-3.41,감소,8
11,hwaterHot,급탕 사용량,-0.8525,-39.8364,1636.82,-2.43,감소,11
11,elect,전기 사용량,-0.7197,-446958.1786,14287600.05,-3.13,감소,15
11,helect,전기 사용량,-0.8394,-5138.5091,118063.0,-4.35,감소,11
