month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.2484,637603.1786,26061775.48,2.45,증가,15
01,hheat,난방 사용량,-0.2412,-3513.7091,51696.55,-6.8,감소,11
01,waterHot,급탕 사용량,-0.1286,-44961.8315,12258856.2,-0.37,감소,14
01,hwaterHot,급탕 사용량,-0.1972,-66.9,4073.23,-1.64,감소,11
01,elect,전기 사용량,0.0211,22220.0929,14848939.62,0.15,증가,15
01,helect,전기 사용량,-0.2893,-57014.8671,641036.6,-8.89,감소,12
01,waterCool,수도 사용량,-0.2196,-41218.75,4171002.58,-0.99,감소,15
01,hwaterCool,수도 사용량,-0.244,-89.1119,5419.78,-1.64,감소,12
02,heat,난방 사용량,0.3624,688448.75,18140476.75,3.8,증가,15
02,hheat,난방 사용량,-0.6735,-698.4545,21416.64,-3.26,감소,11
02,waterHot,급탕 사용량,0.1355,83394.5,10312931.83,0.81,증가,15
02,hwaterHot,급탕 사용량,-0.1319,-29.1909,4157.86,-0.7,감소,11
02,elect,전기 사용량,-0.0338,-30182.75,12520697.25,-0.24,감소,15
02,helect,전기 사용량,0.2997,2362.4126,95086.73,2.48,증가,12
02,waterCool,수도 사용량,-0.0438,-11430.3929,3642959.42,-0.31,감소,15
02,hwaterCool,수도 사용량,-0.0715,-48.4301,5124.28,-0.95,감소,12
03,heat,난방 사용량,0.0078,10788.7033,15160274.86,0.07,증가,14
03,hheat,난방 사용량,-0.7665,-647.8182,14768.98,-4.39,감소,10
03,waterHot,급탕 사용량,-0.0672,-20868.5894,11627231.22,-0.18,감소,13
03,hwaterHot,급탕 사용량,0.0334,8.503,4007.84,0.21,증가,10
03,elect,전기 사용량,-0.113,-114284.2857,13756897.14,-0.83,감소,14
03,helect,전기 사용량,0.2836,2622.4182,100894.27,2.6,증가,11
03,waterCool,수도 사용량,-0.0893,-22121.6396,3888490.51,-0.57,감소,14
03,hwaterCool,수도 사용량,-0.1441,-71.9636,5252.09,-1.37,감소,11
04,heat,난방 사용량,-0.2386,-185796.989,8063824.0,-2.3,감소,14
04,hheat,난방 사용량,-0.7817,-313.7879,6618.95,-4.74,감소,10
04,waterHot,급탕 사용량,-0.2016,-51562.9182,10254941.29,-0.5,감소,13
04,hwaterHot,급탕 사용량,0.2224,45.703,3379.04,1.35,증가,10
04,elect,전기 사용량,-0.1754,-179607.6374,12631635.82,-1.42,감소,13
04,helect,전기 사용량,0.1769,1603.4364,96501.91,1.66,증가,11
04,waterCool,수도 사용량,0.0494,15257.2637,3848200.29,0.4,증가,14
04,hwaterCool,수도 사용량,0.0627,37.8909,4911.73,0.77,증가,11
05,heat,난방 사용량,0.0175,5363.033,2065783.14,0.26,증가,14
05,hheat,난방 사용량,-0.1227,-15.4303,1785.44,-0.86,감소,10
05,waterHot,급탕 사용량,0.0301,5945.4235,8499564.06,0.07,증가,13
05,hwaterHot,급탕 사용량,0.2223,42.9576,3168.29,1.36,증가,10
05,elect,전기 사용량,-0.0803,-70167.0769,12294867.43,-0.57,감소,14
05,helect,전기 사용량,0.293,2493.0818,94975.23,2.62,증가,11
05,waterCool,수도 사용량,-0.0968,-28418.8791,4656514.86,-0.61,감소,14
05,hwaterCool,수도 사용량,0.0352,18.4455,5319.41,0.35,증가,11
06,heat,난방 사용량,-0.2276,-28984.021,551716.28,-5.25,감소,12
06,hheat,난방 사용량,0.5479,12952.9667,-30014.76,-43.16,증가,9
06,waterHot,급탕 사용량,-0.4946,-73567.9756,6431750.91,-1.14,감소,13
06,hwaterHot,급탕 사용량,0.13,18.3455,2599.15,0.71,증가,10
06,elect,전기 사용량,-0.0263,-24314.3956,11517972.86,-0.21,감소,14
06,helect,전기 사용량,0.2468,2755.2636,97405.86,2.83,증가,11
06,waterCool,수도 사용량,0.111,36430.0659,4499023.14,0.81,증가,14
06,hwaterCool,수도 사용량,0.0761,45.3091,5573.55,0.81,증가,11
07,heat,난방 사용량,-0.4115,-40691.3065,499835.37,-8.14,감소,9
07,hheat,난방 사용량,0.3146,7.6757,50.51,15.2,증가,5
07,waterHot,급탕 사용량,-0.6321,-116084.1134,5621974.0,-2.06,감소,13
07,hwaterHot,급탕 사용량,0.0116,1.7455,2234.55,0.08,증가,10
07,elect,전기 사용량,-0.5122,-370322.148,18284632.77,-2.03,감소,12
07,helect,전기 사용량,0.3003,1927.303,129520.44,1.49,증가,10
07,waterCool,수도 사용량,0.0825,29438.3077,4773690.29,0.62,증가,14
07,hwaterCool,수도 사용량,-0.0431,-71.0364,7650.09,-0.93,감소,11
08,heat,난방 사용량,0.5064,24077.7315,98470.37,24.45,증가,7
08,hheat,난방 사용량,0.8379,41.7703,-16.09,-259.53,증가,5
08,waterHot,급탕 사용량,-0.3579,-66401.8844,4064358.14,-1.63,감소,13
08,hwaterHot,급탕 사용량,-0.0366,-6.5515,1962.58,-0.33,감소,10
08,elect,전기 사용량,-0.1916,-164815.9277,18302890.01,-0.9,감소,12
08,helect,전기 사용량,0.7191,3853.7576,129825.69,2.97,증가,10
08,waterCool,수도 사용량,0.0482,18702.1758,5280300.86,0.35,증가,14
08,hwaterCool,수도 사용량,0.208,145.0273,5021.86,2.89,증가,11
09,heat,난방 사용량,-0.6072,-46406.5572,797502.94,-5.82,감소,12
09,hheat,난방 사용량,0.2482,11.6548,226.33,5.15,증가,8
09,waterHot,급탕 사용량,-0.145,-17626.8851,5004016.81,-0.35,감소,14
09,hwaterHot,급탕 사용량,-0.1197,-19.1636,2372.84,-0.81,감소,10
09,elect,전기 사용량,-0.5385,-486483.3633,14833960.69,-3.28,감소,14
09,helect,전기 사용량,0.6637,3975.3273,98991.53,4.02,증가,10
09,waterCool,수도 사용량,0.0814,24730.4643,4664826.75,0.53,증가,15
09,hwaterCool,수도 사용량,0.0138,7.7727,5811.59,0.13,증가,11
10,heat,난방 사용량,0.322,181488.7371,4227046.25,4.29,증가,14
