month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.0862,124168.5714,26389690.67,0.47,증가,15
01,hheat,난방 사용량,-0.4591,-3807.8741,255399.81,-1.49,감소,12
01,waterHot,급탕 사용량,-0.6598,-62614.2857,5795700.0,-1.08,감소,15
01,hwaterHot,급탕 사용량,-0.619,-25.4895,1901.69,-1.34,감소,12
01,hgas,가스 사용량,-0.8158,-39.5,130.17,-30.35,감소,3
01,elect,전기 사용량,-0.477,-172070.7036,16081402.39,-1.07,감소,15
01,helect,전기 사용량,-0.6766,-2761.6189,88869.49,-3.11,감소,12
01,waterCool,수도 사용량,0.9112,50939.0,1105360.33,4.61,증가,15
01,hwaterCool,수도 사용량,-0.6672,-21.8916,1601.32,-1.37,감소,12
02,heat,난방 사용량,0.2102,228695.7857,21167940.83,1.08,증가,15
02,hheat,난방 사용량,-0.3709,-2587.0982,211112.87,-1.23,감소,11
02,waterHot,급탕 사용량,-0.3235,-19489.6786,5205235.08,-0.37,감소,15
02,hwaterHot,급탕 사용량,-0.3205,-8.9712,1727.49,-0.52,감소,11
02,hgas,가스 사용량,-1.0,-27.0,203.0,-13.3,감소,2
02,elect,전기 사용량,-0.3383,-111834.7286,15763668.7,-0.71,감소,15
02,helect,전기 사용량,-0.6702,-2688.4509,89024.06,-3.02,감소,11
02,waterCool,수도 사용량,0.5436,41377.2857,1164606.33,3.55,증가,15
02,hwaterCool,수도 사용량,-0.5977,-23.7461,1862.23,-1.28,감소,11
03,heat,난방 사용량,-0.1923,-164347.0357,17147325.92,-0.96,감소,15
03,hheat,난방 사용량,-0.7624,-4867.9091,147367.73,-3.3,감소,11
03,waterHot,급탕 사용량,-0.4546,-49579.8214,5739422.08,-0.86,감소,15
03,hwaterHot,급탕 사용량,-0.3604,-16.8727,1848.18,-0.91,감소,11
03,hgas,가스 사용량,-1.0,-8.0,126.0,-6.35,감소,2
03,elect,전기 사용량,-0.4476,-120365.0964,13592240.47,-0.89,감소,15
03,helect,전기 사용량,-0.6886,-2677.8273,79856.5,-3.35,감소,11
03,waterCool,수도 사용량,0.9376,49614.1429,1266349.0,3.92,증가,15
03,hwaterCool,수도 사용량,-0.5035,-20.7818,1885.82,-1.1,감소,11
04,heat,난방 사용량,-0.6942,-328959.4505,8759142.86,-3.76,감소,14
04,hheat,난방 사용량,-0.5273,-2894.8091,64577.68,-4.48,감소,11
04,waterHot,급탕 사용량,-0.5513,-54164.8352,5231142.86,-1.04,감소,14
04,hwaterHot,급탕 사용량,-0.2957,-11.3818,1645.0,-0.69,감소,11
04,hgas,가스 사용량,-1.0,-34.0,153.0,-22.22,감소,2
04,elect,전기 사용량,-0.2534,-69473.2352,13614226.6,-0.51,감소,14
04,helect,전기 사용량,-0.4712,-1634.0818,77530.23,-2.11,감소,11
04,waterCool,수도 사용량,0.9445,56773.9121,1227854.57,4.62,증가,14
04,hwaterCool,수도 사용량,-0.3244,-10.3273,1727.18,-0.6,감소,11
05,heat,난방 사용량,-0.1527,-40512.1071,2639726.08,-1.53,감소,15
05,hheat,난방 사용량,-0.4378,-575.8,14627.0,-3.94,감소,11
05,waterHot,급탕 사용량,-0.2012,-16135.7143,4415350.0,-0.37,감소,15
05,hwaterHot,급탕 사용량,-0.3253,-10.9545,1489.41,-0.74,감소,11
05,hgas,가스 사용량,1.0,48.0,130.0,36.92,증가,2
05,elect,전기 사용량,-0.5172,-124058.3964,13114725.24,-0.95,감소,15
