month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.1124,150359.5357,30729219.92,0.49,증가,15
01,hheat,난방 사용량,-0.315,-280.6329,23514.23,-1.19,감소,12
01,waterHot,급탕 사용량,-0.8856,-791711.049,11830817.44,-6.69,감소,12
01,hwaterHot,급탕 사용량,-0.7936,-38.3986,2590.69,-1.48,감소,12
01,elect,전기 사용량,-0.4198,-384460.2679,20259347.54,-1.9,감소,15
01,helect,전기 사용량,-0.8767,-1760.8077,120306.19,-1.46,감소,12
01,waterCool,수도 사용량,0.8386,232266.5,3501613.83,6.63,증가,15
01,hwaterCool,수도 사용량,-0.3753,-24.2063,4359.38,-0.56,감소,12
02,heat,난방 사용량,0.3753,423229.0109,22157332.21,1.91,증가,14
02,hheat,난방 사용량,-0.1862,-225.2,19295.0,-1.17,감소,11
02,waterHot,급탕 사용량,-0.846,-663226.516,10714432.86,-6.19,감소,11
02,hwaterHot,급탕 사용량,-0.5711,-39.6909,2440.64,-1.63,감소,11
02,elect,전기 사용량,-0.0249,-24395.4464,13311325.79,-0.18,감소,15
02,helect,전기 사용량,-0.8982,-1697.0364,106445.0,-1.59,감소,11
02,waterCool,수도 사용량,0.8602,227651.0543,3315203.03,6.87,증가,14
02,hwaterCool,수도 사용량,-0.3839,-28.5909,4128.23,-0.69,감소,11
03,heat,난방 사용량,-0.2057,-105781.9341,17278665.43,-0.61,감소,14
03,hheat,난방 사용량,-0.7179,-503.5818,13726.36,-3.67,감소,11
03,waterHot,급탕 사용량,-0.6243,-426373.3544,9778564.23,-4.36,감소,13
03,hwaterHot,급탕 사용량,-0.7157,-38.8636,2497.59,-1.56,감소,11
03,elect,전기 사용량,-0.7132,-452666.7033,17852133.57,-2.54,감소,14
03,helect,전기 사용량,-0.8977,-1781.9909,112120.86,-1.59,감소,11
03,waterCool,수도 사용량,0.8653,216905.0769,3804526.29,5.7,증가,14
03,hwaterCool,수도 사용량,-0.1976,-27.9,4783.95,-0.58,감소,11
04,heat,난방 사용량,-0.5021,-237689.1648,8994096.0,-2.64,감소,14
04,hheat,난방 사용량,-0.7901,-296.3364,6099.95,-4.86,감소,11
04,waterHot,급탕 사용량,-0.4871,-291372.5495,8067245.14,-3.61,감소,14
04,hwaterHot,급탕 사용량,-0.7624,-38.0091,2163.5,-1.76,감소,11
04,elect,전기 사용량,-0.6249,-358051.6923,15792901.71,-2.27,감소,14
04,helect,전기 사용량,-0.9457,-1711.2727,105414.82,-1.62,감소,11
04,waterCool,수도 사용량,0.885,205233.7582,3796954.86,5.41,증가,14
04,hwaterCool,수도 사용량,-0.5704,-34.6909,4735.55,-0.73,감소,11
05,heat,난방 사용량,-0.3109,-73235.5824,2701137.71,-2.71,감소,14
