month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.3738,579576.7143,29798907.0,1.94,증가,15
01,hheat,난방 사용량,-0.0944,-53.8811,26377.35,-0.2,감소,12
01,waterHot,급탕 사용량,-0.7813,-337665.5714,14659437.0,-2.3,감소,15
01,hwaterHot,급탕 사용량,-0.1886,-9.4545,2958.17,-0.32,감소,12
01,elect,전기 사용량,-0.6321,-412833.5607,24351365.19,-1.7,감소,15
01,helect,전기 사용량,-0.5382,-472.3252,111016.21,-0.43,감소,12
01,waterCool,수도 사용량,0.8193,230801.4286,4785677.33,4.82,증가,15
01,hwaterCool,수도 사용량,-0.5613,-80.5979,7796.04,-1.03,감소,12
02,heat,난방 사용량,0.4524,626009.1429,21730107.33,2.88,증가,15
02,hheat,난방 사용량,-0.2452,-164.4441,21832.86,-0.75,감소,12
02,waterHot,급탕 사용량,-0.6789,-266030.8214,13106929.08,-2.03,감소,15
02,hwaterHot,급탕 사용량,-0.2528,-12.6503,2773.08,-0.46,감소,12
02,elect,전기 사용량,-0.1948,-106783.4786,18066686.62,-0.59,감소,15
02,helect,전기 사용량,-0.5402,-569.951,99936.4,-0.57,감소,12
02,waterCool,수도 사용량,0.9057,246777.8214,4556987.25,5.42,증가,15
02,hwaterCool,수도 사용량,-0.5365,-81.7622,7208.36,-1.13,감소,12
03,heat,난방 사용량,0.1127,91084.3077,15805232.0,0.58,증가,14
03,hheat,난방 사용량,-0.589,-303.0455,15928.23,-1.9,감소,11
03,waterHot,급탕 사용량,-0.7394,-321764.4176,13797699.43,-2.33,감소,14
03,hwaterHot,급탕 사용량,-0.2717,-12.1909,3025.86,-0.4,감소,11
03,elect,전기 사용량,-0.566,-290673.9725,20132774.22,-1.44,감소,13
03,helect,전기 사용량,-0.5405,-592.4909,105205.09,-0.56,감소,11
03,waterCool,수도 사용량,0.7898,170951.4725,5264492.57,3.25,증가,14
03,hwaterCool,수도 사용량,-0.5222,-74.1545,7931.32,-0.93,감소,11
04,heat,난방 사용량,-0.2409,-141075.7143,8326931.43,-1.69,감소,14
04,hheat,난방 사용량,-0.3785,-185.3,6935.5,-2.67,감소,11
04,waterHot,급탕 사용량,-0.4611,-130383.7143,10376770.57,-1.26,감소,14
04,hwaterHot,급탕 사용량,-0.0552,-2.5545,2667.5,-0.1,감소,11
04,elect,전기 사용량,-0.2938,-131564.3912,17301038.97,-0.76,감소,14
04,helect,전기 사용량,-0.6946,-753.0545,99940.64,-0.75,감소,11
04,waterCool,수도 사용량,0.7935,204541.4066,5030750.86,4.07,증가,14
04,hwaterCool,수도 사용량,-0.4281,-59.2636,7603.05,-0.78,감소,11
05,heat,난방 사용량,0.1657,35873.6923,2584218.86,1.39,증가,14
05,hheat,난방 사용량,-0.2743,-46.4273,2093.95,-2.22,감소,11
05,waterHot,급탕 사용량,0.1868,40677.011,7272509.43,0.56,증가,14
05,hwaterHot,급탕 사용량,0.0748,3.2364,2412.73,0.13,증가,11
05,elect,전기 사용량,-0.535,-215349.811,18204366.77,-1.18,감소,14
05,helect,전기 사용량,-0.6874,-906.3636,102354.91,-0.89,감소,11
05,waterCool,수도 사용량,0.6799,162814.4835,5480149.43,2.97,증가,14
05,hwaterCool,수도 사용량,-0.5683,-87.0273,8050.59,-1.08,감소,11
06,heat,난방 사용량,0.0505,6821.978,1312845.71,0.52,증가,14
06,hheat,난방 사용량,-0.5701,-112.5273,1045.45,-10.76,감소,11
06,waterHot,급탕 사용량,0.0861,24532.8352,5305242.29,0.46,증가,14
06,hwaterHot,급탕 사용량,-0.4275,-16.9909,2099.86,-0.81,감소,11
06,elect,전기 사용량,-0.0626,-32486.9824,17858706.17,-0.18,감소,14
06,helect,전기 사용량,0.5513,722.3182,100903.23,0.72,증가,11
06,waterCool,수도 사용량,0.7713,187108.7912,5374930.0,3.48,증가,14
06,hwaterCool,수도 사용량,-0.6393,-95.8091,7989.59,-1.2,감소,11
07,heat,난방 사용량,0.0127,1149.3689,1240646.92,0.09,증가,12
07,hheat,난방 사용량,-1.0,-79.0,86.0,-91.86,감소,2
07,waterHot,급탕 사용량,0.3903,87462.9011,3515222.57,2.49,증가,14
07,hwaterHot,급탕 사용량,0.0062,0.1636,1721.45,0.01,증가,11
