requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201904,A10020888,0,0,0,0,0,0,273250,0,0,0
201905,A10020888,0,0,0,0,0,0,1678580,0,0,0
201906,A10020888,0,0,0,0,0,0,1920500,0,1661080,0
201907,A10020888,0,0,0,0,0,0,3182940,0,0,0
201908,A10020888,0,0,0,0,0,0,2619390,0,0,0
201909,A10020888,0,0,0,0,0,0,1607460,0,0,0
201910,A10020888,0,0,0,0,0,0,1384780,0,1782210,0
201911,A10020888,0,0,0,0,0,0,1483340,0,0,0
201912,A10020888,0,0,0,0,0,0,1690350,0,0,0
202001,A10020888,0,0,0,0,0,0,1462640,0,0,0
202002,A10020888,0,0,0,0,0,0,1437170,0,0,0
202003,A10020888,0,0,0,0,0,0,1503500,0,0,0
202004,A10020888,0,0,0,0,0,0,1250370,0,1919960,0
202005,A10020888,0,0,0,0,0,0,1637750,0,0,0
202006,A10020888,0,0,0,0,0,0,2535990,0,0,0
202007,A10020888,0,0,0,0,0,0,2261830,0,0,0
202008,A10020888,0,0,0,0,0,0,3080840,0,0,0
202009,A10020888,0,0,0,0,0,0,1634140,0,0,0
202010,A10020888,0,0,0,0,0,0,1408620,0,0,0
202011,A10020888,0,0,0,0,0,0,1466390,0,0,0
202012,A10020888,0,0,0,0,0,0,1712590,0,0,0
202101,A10020888,0,0,0,0,0,0,1475660,0,0,0
202102,A10020888,0,0,0,0,0,0,1281810,0,2024340,0
202103,A10020888,0,0,0,0,0,0,1363100,0,0,0
202104,A10020888,0,0,0,0,0,0,1239180,0,0,0
202105,A10020888,0,0,0,0,0,0,1609950,0,0,0
202106,A10020888,0,0,0,0,0,0,2782040,0,1891200,0
202107,A10020888,0,0,0,0,0,0,4821910,0,0,0
202108,A10020888,0,0,0,0,0,0,3006400,0,0,0
202109,A10020888,0,0,0,0,0,0,2096700,0,0,0
202110,A10020888,0,0,0,0,0,0,1735620,0,0,0
202111,A10020888,0,0,0,0,0,0,1775420,0,0,0
202112,A10020888,0,0,0,0,0,0,1776720,0,0,0
202201,A10020888,0,0,0,0,0,0,1908780,0,0,0
202202,A10020888,0,0,0,0,0,0,1618730,0,2159000,0
202203,A10020888,0,0,0,0,0,0,1647150,0,0,0
202204,A10020888,0,0,0,0,0,0,1702280,0,0,0
202205,A10020888,0,0,0,0,0,0,2275050,0,0,0
202206,A10020888,0,0,0,0,0,0,3667440,0,0,0
202207,A10020888,0,0,0,0,0,0,4424130,0,0,0
202208,A10020888,0,0,0,0,0,0,3579330,0,0,0
202209,A10020888,0,0,0,0,0,0,2581120,0,0,0
202210,A10020888,0,0,0,0,0,0,2249870,0,0,0
202211,A10020888,0,0,0,0,0,0,2398430,0,0,0
202212,A10020888,0,0,0,0,0,0,2561900,0,0,0
202301,A10020888,0,0,0,0,0,0,2664330,53966,0,0
202302,A10020888,0,0,0,0,0,0,2381000,41202,0,1847
202303,A10020888,0,0,0,0,0,0,2420750,39752,0,0
202304,A10020888,0,0,0,0,0,0,2384390,40217,0,1916
202305,A10020888,0,0,0,0,0,0,3411250,40217,0,0
202306,A10020888,0,0,0,0,0,0,4625750,69181,0,1820
202307,A10020888,0,0,0,0,0,0,5683850,80157,0,0
202308,A10020888,0,0,0,0,0,0,3177850,90157,0,1860
202309,A10020888,0,0,0,0,0,0,3177850,52288,0,0
202310,A10020888,0,0,0,0,0,0,2741930,36210,0,1943
202311,A10020888,0,0,0,0,0,0,2606010,36353,0,0
202312,A10020888,0,0,0,0,0,0,2835790,36353,0,1883
202401,A10020888,0,0,0,0,0,0,2861450,36353,0,0
202402,A10020888,0,0,0,0,0,0,2524150,37279,0,1842
202403,A10020888,0,0,0,0,0,0,2645710,39824,0,0
202404,A10020888,0,0,0,0,0,0,2694070,39384,0,2123
202405,A10020888,0,0,0,0,0,0,3119290,45755,0,0
202406,A10020888,0,0,0,0,0,0,4860110,65999,0,1490
202407,A10020888,0,0,0,0,0,0,6177150,84288,0,0
202408,A10020888,0,0,0,0,0,0,6361410,83924,0,1852
202409,A10020888,0,0,0,0,0,0,3612770,53550,0,0
202410,A10020888,0,0,0,0,0,0,2467990,27105,0,1821
202411,A10020888,0,0,0,0,0,0,2406520,26023,0,0
202412,A10020888,0,0,0,0,0,0,2467440,26461,0,1914
202501,A10020888,0,0,0,0,0,0,2728120,29757,0,0
202502,A10020888,0,0,0,0,0,0,0,0,0,0
202503,A10020888,0,0,0,0,0,0,0,0,0,0
